issn,titulo,url
2179-4960,ARCHAI - REVISTA DE ESTUDOS SOBRE AS ORIGENS DO PENSAMENTO,https://periodicos.unb.br/index.php/archai/oai/
1982-9701,CERRADOS,https://periodicos.unb.br/index.php/cerrados/oai/
2358-9582,"REVISTA DE DESIGN, TECNOLOGIA E SOCIEDADE",https://periodicos.unb.br/index.php/design-tecnologia-sociedade/oai/
2525-7471,"REVISTA DE DESIGN, TECNOLOGIA E SOCIEDADE",https://periodicos.unb.br/index.php/design-tecnologia-sociedade/oai/
2525-9105,DRAMATURGIAS. REVISTA DO LABORATÓRIO DE DRAMATURGIA (LADI-UNB),https://periodicos.unb.br/index.php/dramaturgias/oai/
2238-362X,REVISTA DE ESTÉTICA E SEMIÓTICA,https://periodicos.unb.br/index.php/esteticaesemiotica/oai/
2318-1729,"HISTÓRIA, HISTÓRIAS",https://periodicos.unb.br/index.php/hh/oai/
2448-1246,METAGRAPHIAS,https://periodicos.unb.br/index.php/metagraphias/oai/
2238-5436,REVISTA MUSEOLOGIA & INTERDISCIPLINARIDADE,https://periodicos.unb.br/index.php/museologia/oai/
1980-5802,MÚSICA EM CONTEXTO (UNB),https://periodicos.unb.br/index.php/Musica/oai/
1677-1893,PARTICIPAÇĂO (UNB),https://periodicos.unb.br/index.php/participacao/oai/
2238-6963,PARTICIPAÇĂO,https://periodicos.unb.br/index.php/participacao/oai/
1679-8775,REVISTA SUL-AMERICANA DE FILOSOFIA E EDUCAÇĂO,https://periodicos.unb.br/index.php/resafe/oai/
2318-8561,REVISTA CENÁRIO,https://periodicos.unb.br/index.php/revistacenario//oai/
1518-5494,REVISTA VIS (UNB),https://periodicos.unb.br/index.php/revistavis/oai/
2447-2484,REVISTA VIS: REVISTA DO PROGRAMA DE PÓS-GRADUAÇĂO EM ARTE,https://periodicos.unb.br/index.php/revistavis/oai/
0102-6992,SOCIEDADE E ESTADO (UNB. IMPRESSO),https://periodicos.unb.br/index.php/sociedade/oai/
1518-1243,INICIAÇĂO CIENTÍFICA - CESUMAR,https://periodicos.unicesumar.edu.br/index.php/iccesumar/oai/
2236-4633,ALMANACK,https://periodicos.unifesp.br/index.php/alm//oai/
1983-9391,REVISTA BRASILEIRA DE ECOTURISMO,https://periodicos.unifesp.br/index.php/ecoturismo/oai/
2317-7853,OLH@RES - REVISTA ELETRÔNICA DO DEPARTAMENTO DE EDUCAÇĂO DA UNIFESP,https://periodicos.unifesp.br/index.php/olhares/oai/
1982-6109,PAIDÉI@ (SANTOS),https://periodicos.unimesvirtual.com.br/index.php/paideia/oai/
1677-1303,DIALOGIA (UNINOVE. IMPRESSO),https://periodicos.uninove.br/dialogia//oai/
1983-9294,DIALOGIA,https://periodicos.uninove.br/dialogia//oai/
1517-1949,ECCOS REVISTA CIENTÍFICA (IMPRESSO),https://periodicos.uninove.br/eccos//oai/
1677-1028,CONSCIENTIAE SAÚDE (IMPRESSO),https://periodicos.uninove.br/saude/oai/
1808-1355,ESTUDOS DA LÍNGUA(GEM) (IMPRESSO),https://periodicos2.uesb.br/index.php/estudosdalinguagem/oai/
2178-2679,PRÁXIS EDUCACIONAL (ONLINE),https://periodicos2.uesb.br/index.php/praxis/oai/
2358-5587,ACENO - REVISTA DE ANTROPOLOGIA DO CENTRO-OESTE,https://periodicoscientificos.ufmt.br/ojs/index.php/aceno/oai/
2237-6844,POLIFONIA: ESTUDOS DA LINGUAGEM,https://periodicoscientificos.ufmt.br/ojs/index.php/polifonia/oai/
2319-0825,REVISTA DIÁLOGOS (REVDIA),https://periodicoscientificos.ufmt.br/ojs/index.php/revdia/oai/
2177-6059,ROTEIRO,https://portalperiodicos.unoesc.edu.br/roteiro/oai/
2316-7122,ESFERAS - REVISTA INTERPROGRAMAS DE PÓS-GRADUAÇĂO EM COMUNICAÇĂO DO CENTRO OESTE,https://portalrevistas.ucb.br/index.php/esf/oai/
1981-2132,COMUNICOLOGIA (BRASÍLIA),https://portalrevistas.ucb.br/index.php/RCEUCB/oai/
1519-9053,BRATHAIR (ONLINE),https://ppg.revistas.uema.br/index.php/brathair/oai/
1981-9943,"LINGUAGENS : REVISTA DE LETRAS, ARTES E COMUNICAÇĂO (FURB)",https://proxy.furb.br/ojs/index.php/linguagens/oai/
2236-6644,O TEATRO TRANSCENDE (ONLINE),https://proxy.furb.br/ojs/index.php/oteatrotranscende/oai/
2316-9230,REBECA - REVISTA BRASILEIRA DE ESTUDOS DE CINEMA E AUDIOVISUAL,https://rebeca.socine.org.br/1/oai/
2237-8987,QUIPUS,https://repositorio.unp.br/index.php/quipus/oai/
0103-4316,CLASSICA (SAO PAULO),https://revista.classica.org.br/classica/oai/
0034-9240,REVISTA DO SERVIÇO PÚBLICO,https://revista.enap.gov.br/index.php/RSP/oai/
1809-614X,"GEPROS. GESTĂO DA PRODUÇĂO, OPERAÇƠES E SISTEMAS",https://revista.feb.unesp.br/index.php/gepros/oai/
2317-0093,EDUCAÇĂO EM FOCO,https://revista.uemg.br/index.php/educacaoemfoco/oai/
1983-3733,PERSPECTIVAS EM POLÍTICAS PÚBLICAS,https://revista.uemg.br/index.php/revistappp/oai/
1984-5766,ARQ.URB,https://revistaarqurb.com.br/arqurb//oai/
1809-4465,ENSAIO - AVALIAÇĂO E POLÍTICAS PÚBLICAS EM EDUCAÇĂO,https://revistas.cesgranrio.org.br/index.php/ensaio/oai/
1808-5024,REVISTA MULHERES E LITERATURA,https://revistas.fibbauru.br/multiplicidadefib/oai/
2179-8753,REVISTA MULTIPLICIDADES,https://revistas.fibbauru.br/multiplicidadefib/oai/
1518-7926,EDUCAÇĂO EM REVISTA (UNESP. MARÍLIA),https://revistas.marilia.unesp.br/index.php/educacaoemrevista/oai/
0101-3173,TRANS/FORM/AÇĂO (UNESP. MARÍLIA. IMPRESSO),https://revistas.marilia.unesp.br/index.php/transformacao/oai/
2176-4174,CORDIS: REVISTA ELETRÔNICA DE HISTÓRIA SOCIAL DA CIDADE,https://revistas.pucsp.br/cordis/oai/
1982-2553,GALAXIA,https://revistas.pucsp.br/galaxia/oai/
2317-3971,ALGAZARRA,https://revistas.pucsp.br/index.php/algazarra/oai/
0104-1231,CADERNOS DE SUBJETIVIDADE (PUCSP),https://revistas.pucsp.br/index.php/cadernossubjetividade/oai/
1809-8428,COGNITIO-ESTUDOS (PUC-SP. ONLINE),https://revistas.pucsp.br/index.php/cognitio/oai/
1809-3876,REVISTA E-CURRICULUM (PUCSP),https://revistas.pucsp.br/index.php/curriculum/oai/
1983-4373,FRONTEIRAZ (SĂO PAULO),https://revistas.pucsp.br/index.php/fronteiraz/oai/
1517-2422,CADERNOS METRÓPOLE (PUCSP),https://revistas.pucsp.br/index.php/metropole/oai/
2318-9215,PARALAXE,https://revistas.pucsp.br/index.php/paralaxe/oai/
2179-0094,INTERDISCIPLINARIDADE,https://revistas.pucsp.br/interdisciplinaridade/oai/
2175-7291,LEITURA FLUTUANTE,https://revistas.pucsp.br/leituraflutuante/oai/
1415-854X,LUTAS SOCIAIS (PUCSP),https://revistas.pucsp.br/ls/oai/
2236-3912,REVISTA TESSITURAS & CRIAÇĂO,https://revistas.pucsp.br/tessituras/oai/
2447-4274,REVISTA CONTRAMĂO,https://revistas.ufpi.br/index.php/contramao/oai/
2182-9489,REVISTA VOX MUSEI,https://revistas.ufpi.br/index.php/voxmusei/oai/
1807-3883,DOIS PONTOS (UFPR),https://revistas.ufpr.br/doispontos/oai/
2179-7412,DOIS PONTOS (UFPR) DIGITAL,https://revistas.ufpr.br/doispontos/oai/
0104-4060,EDUCAR EM REVISTA (IMPRESSO),https://revistas.ufpr.br/educar/oai/
0100-6932,HISTÓRIA. QUESTƠES E DEBATES,https://revistas.ufpr.br/historia/oai/
1981-7126,MÚSICA EM PERSPECTIVA,https://revistas.ufpr.br/musica/oai/
1516-1692,ARTE & ENSAIO (UFRJ),https://revistas.ufrj.br/index.php/ae/oai/
1809-9556,ARQUIVOS EM MOVIMENTO (UFRJ. ONLINE),https://revistas.ufrj.br/index.php/am/oai/
1516-0033,REVISTA INTERFACES (UFRJ),https://revistas.ufrj.br/index.php/interfaces/oai/
1519-9002,ÍTACA (UFRJ),https://revistas.ufrj.br/index.php/Itaca/oai/
0103-7595,REVISTA BRASILEIRA DE MUSICA (RIO DE JANEIRO. 1934),https://revistas.ufrj.br/index.php/rbm/oai/
1982-8985,RECORDE: REVISTA DE HISTÓRIA DO ESPORTE,https://revistas.ufrj.br/index.php/Recorde/oai/
1984-7157,REDESCRIÇƠES,https://revistas.ufrj.br/index.php/Redescricoes/oai/
1982-5870,TRÁGICA: ESTUDOS SOBRE NIETZSCHE,https://revistas.ufrj.br/index.php/tragica/oai/
1984-767X,E-HUM,https://revistas.unibh.br/dchla/oai/
2317-2738,"REVISTA DIGITAL DO INSTITUTO LATINO-AMERICANO DE ARTE, CULTURA E HISTÓRIA- UNILA",https://revistas.unila.edu.br/sures/oai/
1983-3695,CONHECIMENTO & DIVERSIDADE,https://revistas.unilasalle.edu.br/index.php/conhecimento_diversidade/oai/
2357-7142,"FÓRUM: REVISTA DE EDUCAÇĂO, CIÊNCIA E CULTURA",https://revistas.unilasalle.edu.br/index.php/Educacao/oai/
1981-7207,MOUSEION (UNILASALLE),https://revistas.unilasalle.edu.br/index.php/Mouseion/oai/
1809-4309,PRÁXIS EDUCATIVA (UEPG. ONLINE),https://revistas2.uepg.br/index.php/praxiseducativa/oai/
2177-2886,REVISTA LATINO-AMERICANA DE GEOGRAFIA E GÊNERO,https://revistas2.uepg.br/index.php/rlagg/oai/
2238-7552,REVISTA PUBLICATIO,https://revistas2.uepg.br/index.php/sociais/oai/
1980-3710,SESSƠES DO IMAGINÁRIO (ONLINE),https://revistaseletronicas.pucrs.br/index.php/famecos/oai/
1981-2582,EDUCAÇĂO (PUCRS),https://revistaseletronicas.pucrs.br/ojs/index.php/faced//oai/
1677-4523,REVISTA FUNDAÇƠES (PORTO ALEGRE),https://revistaseletronicas.pucrs.br/ojs/index.php/fass/oai/
1415-0549,REVISTA FAMECOS,https://revistaseletronicas.pucrs.br/ojs/index.php/revistafamecos/oai/
1980-3729,REVISTA FAMECOS (ONLINE),https://revistaseletronicas.pucrs.br/ojs/index.php/revistafamecos/oai/
1981-982X,RGSA (ANPAD),https://rgsa.emnuvens.com.br/rgsa/about/editorialPolicies/oai/
1806-3993,REVISTA HISTÓRIA HOJE,https://rhhj.anpuh.org/RHHJ/oai/
1984-6150,TEMPORALIDADES,https://seer.ufmg.br/index.php/temporalidades/oai/
1983-201X,ANOS 90 (ONLINE) (PORTO ALEGRE),https://seer.ufrgs.br/anos90/oai/
