issn,titulo,url
2316-9877,NONA ARTE: REVISTA BRASILEIRA DE PESQUISA EM HISTÓRIAS EM QUADRINHOS,https://www.revistas.usp.br/nonaarte/oai/
2238-7714,NOVOS OLHARES,https://www.revistas.usp.br/novosolhares/oai/
2238-7838,REVISTA PESQUISATOR,https://www.revistas.usp.br/pesquisator/oai/
1518-9554,PÓS. REVISTA DO PROGRAMA DE PÓS-GRADUAÇĂO EM ARQUITETURA E URBANISMO DA FAUUSP,https://www.revistas.usp.br/posfau/oai/
1678-5177,REVISTA DE ANTROPOLOGIA,https://www.revistas.usp.br/psicousp/oai/
1678-9857,,https://www.revistas.usp.br/ra/oai/
1519-6453,RAPSÓDIA (USP),https://www.revistas.usp.br/rapsodia/about/oai/
2525-8354,REVISTA ARA,https://www.revistas.usp.br/revistaara/article/view/150915/oai/
2447-7117,REVISTA DA TULHA,https://www.revistas.usp.br/revistadatulha/oai/
0103-9989,REVISTA USP,https://www.revistas.usp.br/revusp/oai/
2316-9036,REVISTA USP,https://www.revistas.usp.br/revusp/oai/
2316-901X,REVISTA DO INSTITUTO DE ESTUDOS BRASILEIROS,https://www.revistas.usp.br/rieb/oai/
1982-677X,RUMORES (USP),https://www.revistas.usp.br/Rumores/oai/
1519-5279,SALA PRETA (USP),https://www.revistas.usp.br/salapreta/oai/
2238-3867,REVISTA SALA PRETA,https://www.revistas.usp.br/salapreta/oai/
1983-6023,SANKOFA (SĂO PAULO),https://www.revistas.usp.br/sankofa/oai/
0104-1290,SAÚDE E SOCIEDADE (USP. IMPRESSO),https://www.revistas.usp.br/sausoc/oai/
2316-7114,SIGNIFICAÇĂO. REVISTA DE CULTURA AUDIOVISUAL,https://www.revistas.usp.br/significacao/oai/
1516-5159,VIA ATLÂNTICA (USP),https://www.revistas.usp.br/viaatlantica/oai/
1984-3356,ANTÍTESES (LONDRINA),https://www.uel.br/revistas/uel/index.php/antiteses/oai/
1981-8920,INFORMAÇĂO & INFORMAÇĂO (UEL. ONLINE),https://www.uel.br/revistas/uel/index.php/informacao/oai/
2318-9568,REVISTA INTERDISCIPLINAR DE DIREITOS HUMANOS,https://www3.faac.unesp.br/ridh/index.php/ridh/oai/
1517-9737,TERESA (USP),revistas.usp.br/teresa/oai/
