,Título
228,154 - João Donato
229,155 - Itamar Assumpção
230,156 - Eumir Deodato
231,157 - Taiguara
232,158 - Moacir Santos
233,159 - Jane Duboc
234,160 - Astrud Gilberto
235,161 - Flora Purim
236,162 - Almir Sater
237,163 - Renato Teixeira
238,164 - Célia
239,045 - João Gilberto 80 anos
240,165 - Fafá de Belém
241,166 - Arnaldo Baptista
242,167 - Almir Guineto
243,170 - Roberto Mário
244,171 - Nilson Chaves
245,169 - Teca Calazans
246,173 - Vicente Celestino
247,172 - Fátima Guedes
248,174 - Zé Ramalho
249,175 - Pery Ribeiro
250,168 - Flavio Venturini
251,177 - Luiz Melodia
252,176 - Geraldo Azevedo
253,178 - Ney Matogrosso
254,179 - Mário Lago
255,182 - Almirante
256,181 - Jards Macalé
257,183 - Geraldo Vandré
258,184 - Paulo Vanzolini
259,192 - Tonico e Tinoco
260,191 - Anísio Silva
261,188 - Zizi Possi
262,180 - Sérgio Mendes
263,193 - Cancioneiro infantil de Vinicius de Moraes
264,185 - Elton Medeiros
265,190 - Cacaso
266,194 - Chico Buarque para as crianças
267,196 - Era uma vez Braguinha
268,197 - O folclore e as cantigas do Brasil por Heitor Villa-Lobos
269,202 - Linda Batista
270,201 - Marlene
271,199 - Sérgio Sampaio
272,198 - Pedro Caetano
273,200 - Emilinha Borba
274,203 - Leny Eversong
275,209 - Lobão
276,208 - Marcelo Nova
277,212 - Emílio Santiago
278,211 - Júlio Barroso
279,214 - Titãs
280,213 - Paralamas do Sucesso
281,216 - Blitz
282,215 - Barão Vermelho
283,218 - Kid Abelha
284,210 - Celso Blues Boy
285,219 - Bide e Marçal
286,220 - Rosana Toledo
287,226 - Haroldo Barbosa
288,225 - Bidu Sayão
289,222 - Paulo da Portela
290,223 - Cristina Buarque
291,224 - Haroldo Lobo
292,227 - Paulo Sérgio
293,228 - Os Cariocas
294,229 - Silas de Oliveira
295,231 - MPB4
296,232 - Wilson Moreira
297,221 - Ultraje a Rigor
298,233 - Waldir Azevedo
299,230 - Frenéticas
300,234 - Jacob do Bandolim
301,235 - Anjos do Inferno
302,237 - Fernanda Abreu
303,240 - Donga
304,241 - Demônios da Garoa
305,238 - Ernesto Nazareth
306,253 - Pepeu Gomes
307,242 - Tom Zé
308,254 - Monarco
309,239 - Reginaldo Rossi
310,256 - Arthur Moreira Lima
311,243 - Quarteto em Cy
312,257 - Chitãozinho & Xororó
313,258 - Dircinha Batista
314,244 - Genival Lacerda
315,259 - RPM
316,260 - Luiz Peixoto
317,245 - Wagner Tiso
318,255 - Sérgio Ricardo
319,246 - Ronaldo Bastos
320,247 - Arrigo Barnabé
321,248 - Raphael Rabello
322,249 - Hermínio Bello de Carvalho
323,250 - Roupa Nova
324,251 - Lulu Santos
325,252 - Egberto Gismonti
326,265 - Leandro e Leonardo
327,261 - Elba Ramalho
328,262 - Mauro Duarte
329,263 - Bibi Ferreira
330,264 - Blecaute
331,267 - Raça Negra
332,274 - Cassiano
333,273 - André Filho
334,271 - Legião Urbana
335,272 - Radamés Gnattali
336,278 - Plebe Rude
337,277 - Robertinho do Recife
338,276 - Zezé di Camargo &amp; Luciano
339,275 - Patrício Teixeira
340,296 - Raimundos
341,295 - Banda de Pífanos de Caruaru
342,293 - Golden Boys
343,292 - Marinês e Sua Gente
344,291 - Ira!
345,290 - Sérgio Reis
346,289 - 14 Bis
347,281 - Alcyr Pires Vermelho
348,294 - Walter Alfaiate
349,280 - Hebe Camargo
350,282 - Geraldo Filme
351,288 - Nelson Motta
352,279 - Dilermando Reis
353,269 - Boca Livre
354,270 - João da Baiana
355,297 - Márcia
356,298 - Secos &amp; Molhados
357,299 - Elomar
358,300 - Chico Buarque
359,305 - Kleiton &amp; Kledir
360,304 - Mutantes
361,303 - Manezinho Araújo
362,302 - Carequinha
363,301 - Racionais MCs
364,307 - Nação Zumbi
365,308 - Antônio Nóbrega
366,309 - Severino Araújo e a Orquestra Tabajara
367,306 - Hermeto Pascoal
368,031 - Noel Rosa
369,324 - Novos Baianos
370,320 - Maria Bethânia
371,325 - Capital Inicial
372,326 - Batatinha
373,327 - Especial 100 anos de samba
374,328 - Claudionor Germano
375,348 - Ritchie
376,347 - Áurea Martins
377,346 - Miguel Gustavo
378,345 - Carlinhos Vergueiro
379,344 - Wanderlea
380,343 - Passoca
381,342 - Lenine
382,340 - Fábio Jr.
383,338 - Carlos Gomes
384,339 - Moacyr Luz
385,337 - Irmãs Galvão
386,336 - DJ Marlboro
387,335 - Sidney Magal
388,334 - Guilherme Arantes
389,333 - Luli e Lucina
390,332 - Lô Borges
391,331 - Vassourinha
392,330 - Luiz Caldas
393,329 - Jorge Goulart
394,349 - Agnaldo Timóteo
395,319 - Marcelo Nova
396,318 - Riachão
397,316 - Roque Ferreira
398,315 - Arnaldo Antunes
399,314 - Celso Viáfora
400,313 - Wilson das Neves
401,311 - Maurício Tapajós
402,310 - Ná Ozzetti
403,323 - Luiz Carlos da Vila
404,317 - Altamiro Carrilho
405,358 - Ivan Lins
406,109 - Odair José
407,392 - Noca da Portela
408,390 - Synval Silva
409,389 - Paulo Moura
410,384 - Mamonas Assassinas
411,381 - Sebastião Tapajós
412,380 - Alípio Martins
413,379 - Michael Sullivan &amp; Paulo Massadas
414,378 - Adelino Moreira
415,376 - Leci Brandão
416,375 - Amelinha
417,372 - Miúcha
418,374 - Tetê Espíndola
419,391 - Guttemberg Guarabyra
420,368 - Xangô da Mangueira
421,369 - Neguinho da Beija-Flor
422,373 - Carolina Cardoso de Menezes
423,341 - Léo Jaime
424,352 - Vitor Ramil
425,388 - Os Originais do Samba
426,387 - Francis Hime
427,385 - Délcio Carvalho
428,370 - Luiz Antônio
429,363 - Baby do Brasil
430,366 - Marisa Monte
431,365 - Toninho Horta
432,364 - José Carlos Capinan
433,356 - Dori Caymmi
434,357 - Helena Meireles
435,359 - Ivon Curi
436,362 - Roberto Carlos
437,360 - Zeca Pagodinho
438,111 - Tom Jobim
439,283 - Imperatriz Leopoldinense
440,284 - Mocidade Independente de Padre Miguel
441,285 - União da Ilha do Governador
442,286 - Estácio de Sá
443,287 - Unidos de Vila Isabel
444,204 - Estação Primeira de Mangueira
445,205 - Império Serrano
446,206 - Portela
447,207 - Acadêmicos do Salgueiro
448,236 - Beija-Flor de Nilópolis
449,420 - Vai-Vai
450,421 - Nenê de Vila Matilde
451,422 - Camisa Verde e Branco
452,423 - Unidos do Peruche
453,426 - ÉPOCA DE OURO
454,424 - Canhoto da Paraíba
455,425 - TIA AMÉLIA
456,427 - Luperce Miranda
457,428 - Anacleto de Medeiros
458,429 - Luiz Eça
459,430 - Skank
460,431 - Edil Pacheco
461,432 - Zequinha de Abreu
