,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Editor,Título
1262,O Homem do Prrincípio ao Fim||reportagem,Wagner N. de Castro,,1966,Folha de Goias,Cine Teatro
1263,O Homem do Prrincípio ao Fim||reportagem,,,1966,Folha de Goiania,O homem do princípio ao fim no Teatro da AGT
1264,Teatro dos Sete||reportagem,,,1966,Folha da Tarde,"Moliere, catalogo, França e uma feijoada pra hoje"
1265,Teatro dos Sete||reportagem,,,1966,Folha da Tarde,Rotary Clube Norte recebe artistas
1266,O Homem do Prrincípio ao Fim||reportagem,,,1966,Folha da Tarde,Gente moça ir ao teatro é fundamental
1267,A Noite dos Campeões||reportagem,,,1966,O Globo,A volta de Fernanda
1268,O Homem do Prrincípio ao Fim||reportagem,,,1966,O Globo,Reportagem social
1269,O Homem do Prrincípio ao Fim||reportagem,,,1966,O Estado do Paraná,Fernanda em princípio
1270,A mulher de todos nós||reportagem,,,1966,O Estado do Paraná,Essa é a mulher de todos nós
1271,Fernanda Montenegro||reportagem,,,1966,O diálogo,Leia à página 5 entrevista de Fernanda Montenegro
1272,O Homem do Prrincípio ao Fim||reportagem,Accioly Netto,,1967,O cruzeiro,Teatro O homem do princípio ao fim
1273,A mulher de todos nós||reportagem,Afrânio Brasil Soares,,,O cruzeiro,"Fernanda Montenegro, sou uma artesã"
1274,O Homem do Prrincípio ao Fim,,"Fernanda Montenegro, Sergio Britto e Claudio Correa e Castro.||Direção Fernando Torres, cenografia Claudio Correa e Castro figurinos José Ronaldo e música de Oscar Castro Neves.",1966,,Programa O homem do princípio ao fim
1275,O Homem do Prrincípio ao Fim||reportagem,,,1966,Jornal do Brasil,"O homem, e principalmente a mulher, do princípio ao fim"
1276,O Homem do Prrincípio ao Fim||reportagem,Yan Michalki,,1966,Jornal do Brasil,Grandezas e misérias de uma temporada
1277,O Homem do Prrincípio ao Fim||reportagem,João Antonio,,1966,Jornal do Brasil,"Homem começo, meio e fim"
1278,O Homem do Prrincípio ao Fim||reportagem,,,1966,Jornal do Brasil,Fernanda Montenegro em O homem do princípio ao fim
1279,A mulher de todos nós||reportagem,,,1966,Jornal do Brasil,A parisiense via Millor
1280,O Homem do Prrincípio ao Fim||reportagem,Walter Galvani,,1966,Folha da Tarde,Dois atores e uma flor
1281,O Homem do Prrincípio ao Fim||reportagem,,,1966,Folha da Tarde,Hoje O homem do princípio ao fim
1282,A mulher de todos nós||reportagem,Luís Carlos Lisboa,,1966,Folha da Tarde,Uma feijoada
1283,A mulher de todos nós||reportagem,Walter Galvani,,1966,Folha da Tarde,Fernanda
