,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Identifier,Título
150,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: brasão da república do Brasil; bordo liso; verso: inscrição ""BRASIL 10 CRUZEIROS 1988 CRUZADOS"".",3||MCP0424,Moeda
151,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: brasão da república do Brasil; bordo liso; verso: inscrição ""BRASIL 10 CRUZEIROS 1987 CRUZADOS"".",3||MCP0423,Moeda
152,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: brasão da república do Brasil; bordo liso; verso: inscrição ""BRASIL 10 CRUZEIROS 1988 CRUZADOS"".",3||MCP0422,Moeda
153,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: brasão da república do Brasil; bordo liso; verso: inscrição ""BRASIL 10 CRUZEIROS 1988 CRUZADOS"".",3||MCP0421,Moeda
154,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: brasão da república do Brasil; bordo liso; verso: inscrição ""BRASIL 10 CRUZEIROS 1988 CRUZADOS"".",3||MCP0420,Moeda
155,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Não identificada,"Peça circular metálica na cor prata, anverso: brasão da república do Brasil; bordo liso; verso: inscrição ""BRASIL 10 CRUZEIROS 1987 CRUZADOS"".",3||MCP0419,Moeda
156,Estados Unidos da América,03 Objetos Pecuniários,Não identificado,Não identificada||Século XXI > 2008,"Moeda de 25 centavos de Dólar, em metal prateado, contendo no verso inscrições e efície de George Washington. No anverso, inscrições e contorno do mapa do estado do Novo México.",3||MCP0418,Moeda
157,Estados Unidos da América,03 Objetos Pecuniários,Não identificado,Não identificada||Século XXI > 2002,"Moeda de 25 centavos de Dólar, em metal prateado, contendo no verso inscrições e efície de George Washington. No anverso, inscrições e contorno do mapa do estado de Indiana, imagem de carro de corrida e estrelas.",3||MCP0417,Moeda
158,Estados Unidos da América,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1996,"Moeda de 25 centavos de Dólar, em metal prateado, contendo no verso inscrições e efície de águia. No anverso, inscrições e efície de George Washington.",3||MCP0415,Moeda
159,Estados Unidos da América,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1999,"Moeda de 25 centavos de Dólar, em metal prateado, contendo no verso inscrições e efície de George Washington. No anverso, inscrições e contorno do mapa do estado da Georgia.",3||MCP0414,Moeda
160,Brasil,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1938,"Moeda de 1000 Réis, em metal dourado, contendo no verso inscrições e ilustração de livro aberto. No anverso, inscrições e efígie de Anchieta.",3||MCP0413,Moeda
161,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1986,moeda metal prateado. Verso: Ao centro valor orlado na parte superior e inferior e envolto perolado. Anverso: brasão de armas da república com envolto perolado,3||MCP0412,Moeda||5 cruzados
162,Não identificado,03 Objetos Pecuniários,Não identificado,Não identificada||Século XX > 1988,moeda metal prateado. Verso: Ao centro valor orlado na parte superior e inferior e envolto perolado. Anverso: brasão de armas da república com envolto perolado,3||MCP0411,Moeda||5 cruzados
