,Assunto/ palavras-chave,Autor,Data,Identifier,Tipo do recurso,Título
68,Oil paint,José Correia De Lima,1853,,óleo sobre tela,"Retrato do intrépido marinheiro Simão, carvoeiro do vapor Pernambucana"
69,Oil paint,Antônio Henrique Amaral,1971,,óleo sobre tela,Seqüência um
70,Oil paint,RODOLFO AMOEDO,1895,,Pintura,Más notícias
71,Oil paint,Eliseu Visconti,1943,,óleo sobre tela,Autorretrato ao ar livre
72,Oil paint,Joaquim José da França Júnior,1888,,óleo sobre tela,"Morro da Viúva, Rio de Janeiro, RJ"
73,Oil paint,Artur Timóteo da Costa,1900/1922,,óleo sobre tela,Modelo em repouso
74,Oil paint,Pedro Américo,1880,,óleo sobre tela,Judite e Holofernes
75,Oil paint,Iberê Camargo,1961,,óleo sobre tela,Estrutura
76,Oil paint,João Batista da Costa,1922,,óleo sobre madeira,"Paisagem fluvial, Petrópolis, RJ"
77,Oil paint,Nicolas Antoine Taunay,1800/1830,,óleo sobre tela,Teatro da Loucura
78,Oil paint,Agostinho da Mota,1850/1878,,óleo sobre tela,Abóbora e ananás
79,Oil paint,Eugène Boudin,1890,,óleo sobre tela,O rio morto em Deauville
80,Oil paint,Lasar Segall,1949,,óleo sobre tela,Êxodo II
81,Oil paint,José Pancetti,1940,,óleo sobre tela,Oficinas
82,Oil paint,José Pancetti,1945,,óleo sobre tela,Marinha - Itanhaém
83,Oil paint,Candido Portinari,1944,,óleo sobre madeira,Purgatório
84,Oil paint,Giovanni Lanfranco,1605/1647,,óleo sobre tela,Angélica e Medoro
85,Oil paint,Angelina Agostini,1913,,óleo sobre tela,Vaidade
86,Oil paint,Eliseu Visconti,1919,,óleo sobre tela,Cura de sol
87,Oil paint,Estevão Silva,1889,,óleo sobre tela,Natureza-morta
88,Oil paint,Djanira,1974,,óleo sobre tela,"Mineiros de carvão, Santa Catarina"
89,Oil paint,ANTÔNIO BANDEIRA,1953,,óleo sobre tela,A grande cidade iluminada
90,Oil paint,Alberto da Veiga Guignard,1940,,óleo sobre tela,Léa e Maura
91,Oil paint,Henrique Bernardelli,1878/1886,,óleo sobre tela,Messalina
92,Oil paint,Alberto da Veiga Guignard,1952,,óleo sobre madeira,"Paisagem de Sabará, MG"
93,Oil paint,Frans Post,1637/1680,,óleo sobre madeira,Paisagem da Paraíba
94,Oil paint,Antônio Parreiras,1886,,óleo sobre tela,"Canto de praia, São Domingos, Niterói, RJ"
95,Oil paint,José Malhoa,1898,,óleo sobre madeira,A sesta
96,Oil paint,Henri Nicolas Vinet,1872,,óleo sobre madeira,"Vista da entrada da baía do Rio de Janeiro tomada da Praia de Icaraí em Niterói, RJ"
97,Oil paint,Inimá de Paula,1950,,óleo sobre tela,"Paisagem de Santa Teresa, Rio de Janeiro"
98,Oil paint,Di Cavalcanti,1940,,óleo sobre tela,Colonos
99,Oil paint,Eugène Boudin,1865,,óleo sobre tela,Vista da enseada de Trouville
100,Oil paint,Vítor Meireles,1857/1858,,óleo sobre tela,A bacante
101,Oil paint,Antônio Parreiras,1914,,óleo sobre tela,"Vieux parc, Paris"
102,Oil paint,Eliseu Visconti,1894,,óleo sobre tela,No verão
103,Oil paint,Eliseu Visconti,1900/1940,,óleo sobre tela,Autorretrato em três posições
104,Oil paint,Candido Portinari,1958,,óleo sobre madeira,Caçador de passarinho
105,Oil paint,Alfred Sisley,1897,,óleo sobre tela,Ventania
106,Oil paint,Alvise Benfatto del Friso,1937,,óleo sobre tela,Casamento da Virgem
107,Oil paint,Maria Leontina,1952,,óleo sobre tela,Natureza morta
108,Oil paint,Artur Timóteo da Costa,1919,,óleo sobre tela,Autorretrato
109,Oil paint,Alexandre Cabanel,1848/1880,,óleo sobre tela,Árabe
110,Oil paint,Pedro Alexandrino,1897,,óleo sobre tela,A copa
111,Oil paint,Belmiro de Almeida,1893,,óleo sobre tela,Bom tempo ou Idílio campestre
112,Oil paint,August Müller,1843,,óleo sobre tela,Retrato de Luísa Francisca Panasco
113,Oil paint,Roberto Burle Marx,1970,,óleo sobre tela,Composição nº 16
114,Oil paint,Milton Dacosta,1944,,óleo sobre tela,Interior de ateliê
115,Oil paint,Andrea Vaccaro,1620/1670,,óleo sobre tela,Santa Maria Madalena Penitente
116,Oil paint,Eliseu Visconti,1981/1988,,óleo sobre tela,Igreja de Santa Teresa
117,Oil paint,HENRIQUE BERNARDELLI,1885,,óleo sobre tela,Maternidade
118,Oil paint,Djanira,1956,,óleo e guache sobre papel,"Estudo para o cartaz da peça teatral ""Orfeu da Conceição"", de Vinicius de Moraes"
119,Oil paint,Djanira,1974,,óleo sobre tela,Trabalhador de cal
120,Oil paint,Candido Portinari,1932,,óleo sobre tela,"Retrato de Maria, esposa do artista"
121,Oil paint,Mário Navarro Da Costa,1911,,óleo sobre madeira,Marinha
122,Oil paint,Roberto Burle Marx,1938,,óleo sobre tela,Estrada de ferro
123,Oil paint,Alberto da Veiga Guignard,1938,,óleo sobre tela,"Trecho do Jardim Botânico, Rio de Janeiro, RJ"
124,Oil paint,"Baciccia, Giovanni Battista Gaulli, Dito",1925,,óleo sobre tela,Retrato do Cardeal Luigi Alessandro Omodei
125,Oil paint,Décio Vilares,1889,,óleo sobre tela,Retrato da artista Senhora Escobar
126,Oil paint,François Biard,1929,,óleo sobre tela,Retrato de mulher
127,Oil paint,Eliseu Visconti,1899,,óleo sobre tela,Retrato do crítico de arte Luís Gonzaga Duque Estrada
128,Oil paint,Estevão Silva,1891,,óleo sobre tela,Natureza-morta
129,Oil paint,Autor desconhecido,1600/1816,,óleo sobre tela,Cristo com Esfera
130,Oil paint,Autor desconhecido,1600/1859,,óleo sobre tela,Marte e Venus
131,Oil paint,Eugène Boudin,1889,,óleo sobre madeira,Havre. Ancoradouro da barra
132,Oil paint,Autor desconhecido,1600/1821,,óleo sobre tela,D. Afonso consultando o ermitão
133,Oil paint,Gustavo Dall'ara,1910,,óleo sobre tela,"Ilha da Boa Viagem, Niterói, RJ"
134,Oil paint,Candido Portinari,1944,,óleo sobre madeira,São João da Cruz
135,Oil paint,Djanira,1974,,óleo sobre tela,Trabalhadores de cal
136,Oil paint,Candido Portinari,1948,,óleo sobre tela,Brodósqui
137,Oil paint,Joseph Bail,1880/1910,,óleo sobre tela,O Cozinheiro
138,Oil paint,Candido Portinari,1960,,óleo sobre madeira,"Estudo para o painel ""Industrialização do Brasil"""
139,Oil paint,Teodoro de Bonna,1941,,óleo sobre tela,Autorretrato
140,Oil paint,Ivan Serpa,1957,,óleo sobre tela,Pintura 206
141,Oil paint,Nicolas Antoine Taunay,1816,,óleo sobre tela,Vista da enseada de Botafogo
142,Oil paint,Eliseu Visconti,,,óleo sobre tela,A caminho da escola
143,Oil paint,Lucílio De Albuquerque,1928,,óleo sobre tela,Gávea Golf
144,Oil paint,Andrea Vaccaro,1937,,óleo sobre tela,Loth e as filhas
145,Oil paint,Rodolfo Chambelland,1905,,óleo sobre tela,Bacantes em festa
146,Oil paint,Frans Post,1659,,óleo sobre madeira,Mocambos
147,Oil paint,Belmiro de Almeida,1893,,óleo sobre tela,Vaso com flores
148,Oil paint,Gustavo Dall'ara,1913,,óleo sobre tela,
149,Oil paint,Anita Malfatti,1948,,óleo sobre tela,"Paisagem de Ouro Preto, MG"
150,Oil paint,Félix Émile Taunay,1800/1881,,óleo sobre tela,"Morte do Visconde de Turenne, Marechal de França"
151,Oil paint,Eugène Boudin,1887,,óleo sobre madeira,Marinha. Por-do-sol
152,Oil paint,George Morren,1894,,óleo sobre tela,Corando a roupa
153,Oil paint,Rodolfo Amoedo,1892,,óleo sobre madeira,
154,Oil paint,Georgina de Albuquerque,1900/1960,,óleo sobre tela,A charrete
155,Oil paint,Rodolfo Amoedo,,,óleo sobre tela,Retrato do pintor Jean Baptiste Debret - cópia do original de Manuel de Araújo Porto-Alegre
156,Oil paint,Eugène Boudin,1885,,óleo sobre madeira,Deauville - A enseada
157,Oil paint,Eugène-Louis Boudin,1890,,óleo sobre madeira,Lavadeiras nas margens do Touques
158,Oil paint,Nicolas Antoine Taunay,1800/1825,,óleo sobre tela,São Mateus Evangelista
159,Oil paint,Angelina Agostini,1915,,óleo sobre tela,Autorretrato
160,Oil paint,Eugène Boudin,1892,,óleo sobre tela,Vacas no prado no Vale do Toques
161,Oil paint,Candido Portinari,1944,,óleo sobre madeira,Nossa Senhora do Carmo
162,Oil paint,Candido Portinari,1944,,óleo sobre madeira,São Simão Stock
163,Oil paint,Eliseu Visconti,1900/1940,,óleo sobre tela,Retrato de moça
164,Oil paint,Djanira,1956,,óleo e guache sobre cartão,"Estudo para o cartaz da peça teatral ""Orfeu da Conceição"", de Vinícius de Moraes ,"
165,Oil paint,Estevão Silva,1888,,óleo sobre tela,Frutas
166,Oil paint,Nicola Facchinetti,1850/1880,,óleo sobre tela,Panorama do Rio de Janeiro
167,Oil paint,Henrique Cavalleiro,1921,,óleo sobre tela,Vestido rosa
168,Oil paint,João Fahrion,1950,,óleo sobre tela,Nos bastidores
169,Oil paint,Autor desconhecido,1937,,óleo sobre tela,Martírio de São Sebastião
