,Assunto/ palavras-chave,Autor,Data,Identifier,Tipo do recurso,Título
854,Ink,Renina Katz,1996,,"água-tinta, água-forte e berseaux",C
855,Ink,Rossini Perez,1956,,relevo e água-tinta a cores,Composição abstrata
856,Ink,Carlos Martins,1985,,"água-forte, água-tinta e relevo","Protofonia, [da série] Il Guarany"
857,Ink,Helena Freddi,2000,,água tinta,Composição abstrata
858,Ink,Artur Luiz Piza,1956,,água-tinta,Composição abstrata
859,Ink,Rossini Perez,1966,,relevo e água-tinta a cores,Fossilizada I
860,Ink,Rossini Perez,1965,,relevo e água-tinta,Manuelina
861,Ink,"Nássara, Antônio Gabriel, dito",1943,,guache e nanquim sobre cartão,"""Provérbios Ilustrados"" - ilustração para a revista ""O Cruzeiro"""
862,Ink,Roberto Rodrigues,1923/1929,,nanquim sobre papel,
863,Ink,Vera Chaves Barcelos,1966,,água-forte e água-tinta,Tensão
864,Ink,Fayga Ostrower,1959,,água-tinta e ponta-seca,5901 [Composição abstrata]
865,Ink,Malu Fatorelli,1986,,"água-tinta, ponta-seca, água-forte e rulete",Sem título
866,Ink,Tomás Ianelli,1984,,"relevo, água-tinta e água-forte,",Composição
867,Ink,Rossini Perez,1964,,água-tinta a cores,Vinheta
868,Ink,Roberto Rodrigues,1929,,nanquim sobre papel,
869,Ink,Rossini Perez,1963,,água-tinta a cores,Vinheta
870,Ink,Renina Katz,2001,,"água-forte, água-tinta e ponta-seca",Quase paisagem
871,Ink,Edith Behring,1981,,água-tinta e carborundum,Composição abstrata
872,Ink,Roberto Rodrigues,1927,,nanquim sobre papel,
873,Ink,Isabel Pons,1969,14111,água-tinta e relevo,Abelha rainha
874,Ink,Sérvulo Esmeraldo,1956,,ponta-seca e água-tinta,Composição abstrata
875,Ink,Artur Luiz Piza,1956,,água-forte e água-tinta a cores,Composição abstrata
876,Ink,Walter Marques,1962,,"água-forte, água-tinta e relevo",Composição abstrata
877,Ink,Isis Braga,1981,,buril e água-tinta,Momento III
878,Ink,Angela Schilling,1984,,"água-forte, água-tinta e relevo",Bambual três
879,Ink,Arnaldo Battaglini,1984,,água-tinta,Sem título
880,Ink,Renina Katz,2002,,água-tinta e água-forte,O que falta é sempre demais
881,Ink,Marcio Périgo,1986,,"buril, água-tinta e rulete","Sem título, [da série] Caos Aparente"
882,Ink,Heloisa Pires Ferreira,1978,,água-tinta,Sem título
883,Ink,Renina Katz,1990,,água-tinta e água-forte,Composição abstrata
884,Ink,Edith Behring,1976,,"verniz-mole, água-forte e água-tinta",Composição abstrata
885,Ink,Roberto Rodrigues,1928,,nanquim sobre papel,
886,Ink,Rossini Perez,1963,,água-tinta,Vinheta
887,Ink,Tereza Miranda,1967,,"água-tinta, água-forte e relevo a cores",Germinação VII
888,Ink,Marcio Périgo,1979,,"buril, água-tinta e rulete","Sem título, [da série] Caos Aparente"
889,Ink,Roberto Morvan,1967,,tinta vinílica sobre aglomerado,Composição abstrata
890,Ink,Rossini Perez,1963,,água-tinta a cores,Vinheta
891,Ink,Renina Katz,1999,,"água-forte, tinta esferográfica e guache",Ode ao negro [4° estado]
892,Ink,Edith Behring,1963,,água-tinta,Composição abstrata
893,Ink,Roberto Rodrigues,1929,,nanquim sobre papel,
894,Ink,Roberto Rodrigues,1929,,nanquim sobre papel,
895,Ink,Candido Portinari,1941,,"matrix/cobre niquelado/água-tinta, água-forte","Retrato de Baptista Portinari, pai do artista"
896,Ink,Roberto Rodrigues,1929,,nanquim sobre papel,
897,Ink,Roberto Rodrigues,1929,,nanquim sobre papel,"Ilustração para o Jornal Crítica [edição 327], 04 de dezembro de 1929, p.8"
898,Ink,Farnese de Andrade,1965,,"água-tinta, água-forte e relevo",Composição abstrata
899,Ink,Rossini Perez,1968,,relevo e água-tinta a cores,Cintura bordada
900,Ink,Angela Schilling,1982,,água-forte e água-tinta,Momento dois
901,Ink,Modesto Brocos,1902,,buril e água-tinta,[Retrato] R.[odolpho] Bernardelli
902,Ink,Roberto Rodrigues,1927,,nanquim sobre papel,
903,Ink,Malu Fatorelli,1982,,água-tinta,Sem título
904,Ink,Malu Fatorelli,1987,,água-tinta e ponta-seca a cores,Sem título
905,Ink,Rossini Perez,1970,,água-forte e água-tinta a cores,Bem apertado
906,Ink,Renina Katz,1999,,água-forte e água-tinta,Ode ao negro
907,Ink,Angela Schilling,1989,,água tinta e nanquim com açúcar,Detalhe quatro
908,Ink,Rossini Perez,1969,,"ponta-seca, água-tinta e relevo a cores",Nó
909,Ink,Renina Katz,1977/2003,,"lápis-de-cor, grafite e tinta de esferográfica sobre papel vegetal colado em cartão",Estudo preparatório para [ paisagem do álbum ] territórios imaginários
910,Ink,"Cris Rocha, Cristiana Rocha Ioschpe, dito",2003,,água-forte e água-tinta,Composição Abstrata
911,Ink,Grandjean de Montigny,1801/1805,,"bico de pena, aguada de nanquim e tinta vermelha sobre papel",
912,Ink,Renina Katz,1983,,tinta de esferográfica e grafite sobre papel vegetal,Estudo preparatório para teorema
913,Ink,Renina Katz,1983,,"lápis-de-cor, tinta de esferográfica e grafite sobre papel vegetal colado em cartão","Estudo preparatório para [ paisagem do álbum ] ""Territórios Imaginários"""
914,Ink,Renina Katz,1983,,"lápis-de-cor, tinta de esferográfica e grafite sobre papel vegetal colado em cartão","Estudo preparatório para [ paisagem do álbum ] ""Territórios Imaginários"""
915,Ink,Renina Katz,1977/2003,,tinta de esferográfica e grafite sobre papel vegetal,Estudo preparatório para teorema
916,Ink,Roberto Rodrigues,1929,,nanquim sobre papel,
917,Ink,Rossini Perez,1962,,relevo e água-tinta a cores,Afrontamento I
918,Ink,Evandro Carlos Jardim,1972,,água-forte e água-tinta,Sem título
919,Ink,Rossini Perez,1959,,água-forte e água-tinta,Favela
920,Ink,Djanira,1940,,aquarela e nanquim sobre papel,Ciranda
921,Ink,Thereza Miranda,2002,,"fotogravura, água-tinta, ponta-seca a cores e tinta dourada","Corcovado. Ipanema. Leblon- Rio De Janeiro"""
922,Ink,Evandro Carlos Jardim,1968,,"xilogravura, água-forte e água-tinta",Pássaro atravessando o sol e sua sombra atravessando o rio
923,Ink,Grandjean de Montigny,1831,,bico de pena e aguada de nanquim sobre cartão,"Projeto de um monumento a erigir no Campo da Honra em memória do dia 7 de abril de 1831 [...]"""
924,Ink,Rossini Perez,1971,,"relevo, água-tinta e verniz-mole a cores",Liame
925,Ink,Rossini Perez,1975,,relevo e água-tinta,Torção no quadrado
926,Ink,Artur Luiz Piza,1956,,água-tinta e água-forte,Composição abstrata
927,Ink,Roberto Rodrigues,1928,,nanquim sobre papel,
928,Ink,Maristela Salvatori,1994,,água-tinta,Sem título
929,Ink,Renina Katz,1990,,água-forte e água-tinta,D
930,Ink,"Mendez, Mário Mendes, dito",1961,,nanquim sobre papel,Artistas e intelectuais brasileiros
931,Ink,Roberto Rodrigues,1928,,nanquim sobre papel,
932,Ink,Tereza Miranda,1967,,água-forte e água-tinta,Germinação X
933,Ink,Luís Trimano,1980/1994,,nanquim sobre papel,Retrato de Noel Rosa
934,Ink,Orlando Dasilva,1952,,água-forte e água-tinta,Menina com gato
935,Ink,Carlos Martins,1984,,água-forte e água-tinta,Homenagem a Anaïs Nin [Escritora francesa]
936,Ink,Carlos Oswald,1925,,água-tinta,"[Pedra da] Gávea"" [Rio de Janeiro, RJ]"
937,Ink,Rossini Perez,1977,,água-tinta e relevo a cores,Botão do Alamar
938,Ink,Roberto de Lamonica,1960,,água-forte e água-tinta,Composição abstrata
939,Ink,Tereza Miranda,1999,,fotogravura e água-tinta a cores,FLORESTA DA TIJUCA - RIO
940,Ink,Renina Katz,1993,,água-tinta e água-forte a cores,Composição abstrata
941,Ink,Rossini Perez,1975/1976,,relevo e água-tinta,Enroscada
942,Ink,Edith Behring,1978,,"verniz-mole, água-tinta e carborundum",Composição abstrata
943,Ink,Carlos Oswald,1933,,água-tinta,[Retrato do compositor e regente brasileiro] Alberto Nepomuceno
944,Ink,Rossini Perez,1971,,água-tinta e relevo a cores,Grande X
945,Modern art,,,,,
946,Modern art,Candido Portinari,,,têmpera sobre tela,A Primeira Missa no Brasil
947,Modern art,Candido Portinari,1935,,óleo sobre tela,Café
948,Modern art,Candido Portinari,1928,,óleo sobre tela,Retrato de Olegário Mariano
949,Modern art||Pintura Brasileira,Candido Portinari||Candido Portinari,1951,717,,Menino de Brodósqui
950,Modern art,Marc Chagall,1900/1985,,litografia a cores,Estudo do vitral Juda
951,Modern art||Gravura Estrangeira,Marc Chagall||Marc Chagall,,4813,,Cena de circo
952,Modern art||Gravura Estrangeira,Édouard Manet||Édouard Manet,1865,21326,,Retrato de [Charles] Baudelaire
953,Modern art||Escultura Estrangeira,SOL LeWitt (atribuído)||SOL LeWitt (atribuído),,21795,,3 x 4 x 6
954,Modern art,Candido Portinari,1920,,,Retrato de Colega da Escola
955,Modern art,Candido Portinari,1942,,,Velho
956,Modern art,Candido Portinari,1959,,,Retrato de Darclée Gama Rodrigues
957,Modern art,Pablo Picasso,1962,,linoleogravura,Natureza-morta
958,Modern art,Candido Portinari,1944,,nanquim e aguada sobre cartão,
959,Modern art,Candido Portinari,1944,,,Retrato de Yedda Ovalle Schmidt
960,Modern art,Salvador Dalí,1958,,rotogravura,"Santiago, O Grande"
961,Modern art,Candido Portinari,,,,
962,Modern art||Gravura Estrangeira,Paul Cézanne||Paul Cézanne,,21522,,Guilleumin e o enforcado
963,Modern art,Candido Portinari,1944,,óleo sobre madeira,Purgatório
964,Modern art,Candido Portinari,1936,,,Martelo e torquês
965,Modern art,Victor Vasarely,1940/1997,,serigrafia,Optical Cube
966,Modern art,Candido Portinari,1956,,,Caricatura de Santa Rosa
967,Modern art,Candido Portinari,1958,,óleo sobre madeira,Caçador de passarinho
968,Modern art,Candido Portinari,1944,,nanquim e aguada sobre cartão,
969,Modern art,Candido Portinari,1941,,,"Estudo para painel de azulejos da fachada do Palácio Capanema, Rio de Janeiro, RJ [não executado]"
970,Modern art,Candido Portinari,1932,,óleo sobre tela,"Retrato de Maria, esposa do artista"
971,Modern art,Pablo Picasso,1942,,água-tinta e água-forte,"O cavalo [ilustração para o livro História Natural, de Le Buffon]"
972,Modern art,Candido Portinari,,,,
973,Modern art,Candido Portinari,1946,,,Mensagem etérea IV
974,Modern art,Candido Portinari,1946,,nanquim sobre papel,Composição
975,Modern art,Candido Portinari,1961,,,Retrato de Jânio Quadros
976,Modern art,Joan Miró,1900/1983,,verniz-mole e litografia a cores,Composição abstrata
977,Modern art,Candido Portinari,1944,,óleo sobre madeira,São João da Cruz
978,Modern art,Candido Portinari,1948,,óleo sobre tela,Brodósqui
979,Modern art,Candido Portinari,1943,,bico de pena e nanquim sobre papel,
980,Modern art,Candido Portinari,1931,,,Retrato de Olegário Mariano
981,Modern art,Candido Portinari,1931,,,Retrato de Carlos de Lima Cavalcanti
982,Modern art,Candido Portinari,1960,,óleo sobre madeira,"Estudo para o painel ""Industrialização do Brasil"""
983,Modern art,Candido Portinari,1938,,carvão sobre papel,
984,Modern art,Candido Portinari,1926,,,Retrato de Olegário Mariano
985,Modern art,Candido Portinari,1956,,,Caricatura de Felícia Leiner
986,Modern art,Candido Portinari,1931,,,Retrato de José Mariano Filho
987,Modern art,Candido Portinari,1940,,,"Grupo de homens, ilustração para o livro ""O alienista"", de Machado de Assis"
988,Modern art,Candido Portinari,1933,,,Retrato de George Weil
989,Modern art,Candido Portinari,1944,,carvão sobre papel,
990,Modern art,Candido Portinari,1931,,,Retrato de Nestor de Figueiredo
991,Modern art,Candido Portinari,1932,,,Retrato de Jorge Félix
992,Modern art,Candido Portinari,1932,,,Retrato de Homem
993,Modern art,Candido Portinari,1932,,,Retrato de Victor Hugo da Costa
994,Modern art,Candido Portinari,1944,,nanquim e aguada sobre cartão,
995,Modern art,Candido Portinari,1938,,carvão sobre papel,
996,Modern art,Candido Portinari,1944,,,
997,Modern art,Candido Portinari,1932,,,Retrato de Homem
998,Modern art,Candido Portinari,1944,,,
999,Modern art,Candido Portinari,1932,,,Retrato de Renato Rabech
1000,Modern art,Candido Portinari,1932,,,Retrato de Homem
1001,Modern art,Candido Portinari,1956,,,
1002,Modern art,Candido Portinari,1946,,,"Simão Bacamarte, ilustração para o livro ""O alienista"", de Machado de Assis"
1003,Modern art,Candido Portinari,1932,,,Retrato de Homem
1004,Modern art,Candido Portinari,1943,,,"Estudo para ilustração do livro ""Memórias Póstumas de Brás Cubas"" de Machado de Assis (D. Eusébia)"
1005,Modern art,Candido Portinari,1948,,,"Esboço para a pintura ""Colheita de fumo"""
1006,Modern art,Candido Portinari,1955,,grafite e sanguínea sobre papel,
1007,Modern art,Candido Portinari,1943,,,
1008,Modern art,Candido Portinari,1951,,,"Estudo para o painel ""Abstrato"""
1009,Modern art,Candido Portinari,1944,,,
1010,Modern art,Candido Portinari,1944,,,
1011,Modern art,Candido Portinari,1955,,,
1012,Modern art,Candido Portinari,1943,,,"Estudo para ilustração do livro ""Memórias Póstumas de Brás Cubas"" de Machado de Assis (Damaceno)"
1013,Modern art,Candido Portinari,1956/1959,,,"Estudo para ""Retrato de Thais de Mello Lima"""
1014,Modern art,Candido Portinari,1941,,,"Estudo para painel de azulejos para a fachada do Palácio Gustavo Capanema, Rio de Janeiro, RJ [não executado]"
1015,Modern art,Candido Portinari,1944,,nanquim e aguada sobre cartão,
1016,Modern art,Candido Portinari,1944,,,
1017,Modern art,Candido Portinari,1944,,óleo sobre madeira,Nossa Senhora do Carmo
1018,Modern art,Candido Portinari,1944,,óleo sobre madeira,São Simão Stock
1019,Modern art,Candido Portinari,1946,,,Mensagem etérea I
1020,Modern art,Candido Portinari,,,,
1021,Modern art,Candido Portinari,1944,,,
1022,Modern art,Candido Portinari,1944,,,
1023,Modern art,Candido Portinari,1937,,carvão sobre papel,
1024,Modern art,Candido Portinari,1932,,,Retrato de Homem
1025,Modern art,Candido Portinari,1939,,,"Esboço para o painel ""Jangadas do Nordeste"""
1026,Modern art,Candido Portinari,1944,,nanquim e aguada sobre cartão,
1027,Modern art,Candido Portinari,1938,,carvão sobre papel,
1028,Modern art,Candido Portinari,1940,,,Mulher com pipa e barco
1029,Modern art,Maximilien Svabinsky,1917,,xilogravura,Kectia Chále Josefa Manesa
1030,Modern art,Candido Portinari,1935,,,Retrato de Oswald de Andrade
1031,Modern art,Candido Portinari,1932,,,Retrato de Lélio Landucci
1032,Modern art,Candido Portinari,1956,,,"Grupo, da Série Israel"
1033,Modern art,Candido Portinari,1943,,,
1034,Modern art,Candido Portinari,1951,,,"Estudo para o painel ""Abstrato"""
1035,Modern art,Candido Portinari,1944,,,
1036,Modern art,Candido Portinari,,,,Retrato de Olga Benário
1037,Modern art,Candido Portinari,1944,,,"Esboço [não utilizado] para a pintura mural ""São Francisco se despojando das vestes"" - São Francisco"
1038,Modern art,Candido Portinari,1937,,carvão sobre papel,
1039,Modern art,Candido Portinari,1944,,,
1040,Modern art,Candido Portinari,1944,,nanquim sobre papel,Mensagem etérea III
1041,Modern art,Candido Portinari,,,,Abstrato
1042,Modern art,Candido Portinari,1960,,,Carajás
1043,Modern art,Candido Portinari,1943,,nanquim sobre papel,
1044,Modern art||Gravura Estrangeira,Wassily Kandinsky||Wassily Kandinsky,1934,21558,,Composição abstrata
1045,Modern art,Adriano de Sousa Lopes,,,,Catedral
1046,Modern art,Candido Portinari,1946,,,Composição
1047,Modern art,Candido Portinari,1946,,,Composição
1048,Modern art,Candido Portinari,1949,,,Esboço para pintura mural para o monumento a Rui Barbosa [não executada]
1049,Modern art,Candido Portinari,1944,,,"Esboço [não utilizado] para a pintura mural ""São Francisco se despojando das vestes"" - São Francisco"
1050,Modern art,Candido Portinari,1946,,,Composição
1051,Modern art,Candido Portinari,1961,,,Retrato de Rapaz
1052,Modern art,Candido Portinari,1942,,,Galo
1053,Modern art,Candido Portinari,1946,,,Composição
1054,Modern art,Candido Portinari,1946,,,Composição
1055,Modern art,Sonia Castro,1964,,xilogravura,Figura
1056,Modern art,Candido Portinari,1944,,,
1057,Modern art,Candido Portinari,1945,,,
1058,Modern art||Gravura Brasileira,SONIA CASTRO||SONIA CASTRO,1964.0,3230,,Figuras
1059,Modern art,Candido Portinari,1923,,,Cabeça de Mulher
1060,Modern art,Candido Portinari,1946,,,Composição
1061,Modern art,Candido Portinari,1946,,,Mensagem etérea II
1062,Modern art,Candido Portinari,1956,,,Composição
1063,Modern art,Candido Portinari,1944,,nanquim e aguada sobre cartão,
1064,Modern art,Candido Portinari,1956,,,
1065,Modern art||Gravura Brasileira,SONIA CASTRO||SONIA CASTRO,1963.0,3234,,Menina com boneca
1066,Modern art,Candido Portinari,1954,,,"Estudo para a pintura ""Abstrato"""
1067,Modern art,Candido Portinari,1955,,óleo sobre tela colada em madeira,Cana-de-açúcar
1068,Modern art,Candido Portinari,1956,,,"Burro [Esboço], da Série Israel"
1069,Modern art,Candido Portinari,1954,,,"Estudo para a pintura ""Abstrato"""
1070,Modern art,Candido Portinari,1956,,,São José com Menino Jesus e criança
1071,Modern art||Gravura Brasileira,SONIA CASTRO||SONIA CASTRO,1964.0,3232,,Paisagem
1072,Modern art,Candido Portinari,1939,,,
1073,Modern art,Candido Portinari,1944,,,
1074,Modern art,Candido Portinari,1942,,,Carlos
1075,Modern art,Candido Portinari,1946,,,Composição
1076,Modern art,Candido Portinari,1941,,água-forte e água tinta,Retrato de Baptista Portinari
1077,Modern art,Candido Portinari,,,,Velho
1078,Modern art,Candido Portinari,1940,,,Cabeça
1079,Modern art,Candido Portinari,1956,,,Carneiro [Esboço] da Série Israel
1080,Modern art||Desenho Estrangeiro,Adriano de Sousa Lopes||Adriano de Sousa Lopes,,8530,,Cabeça de velho
1081,Modern art,Candido Portinari,1955,,,
1082,Modern art,Candido Portinari,1950,,,"Estudo para o painel de azulejos ""Pulando Carniça"""
1083,Modern art,Candido Portinari,1951,,,
1084,Modern art,Candido Portinari,1956,,,"""Barraca de Beduíno"" [esboço], da Série Israel"
1085,Modern art,Candido Portinari,1948,,,
1086,Modern art,Candido Portinari,1955,,,
1087,Modern art,Candido Portinari,1938,,óleo sobre tela,Abstrato
1088,Modern art,Candido Portinari,1939,,,Mulheres
1089,Modern art,Candido Portinari,1932,,,Retrato de Zaíde Mello Franco Chermont (Fragmento)
1090,Modern art,Candido Portinari,1933,,,Retrato de Manilo Judice
1091,Modern art,Candido Portinari,1946,,,Três homens
1092,Modern art,Candido Portinari,1940,,,Homem
1093,Modern art,Candido Portinari,1932,,,Retrato de Homem
1094,Modern art,Candido Portinari,1957,,,Cavalos e Bois
1095,Modern art,Candido Portinari,1952,,,"Estudo [não utilizado] para o tríptico ""Nossa Senhora d'Aparecida"", Igreja do Senhor Bom Jesus da Cana Verde, Batatais, SP"
1096,Modern art,Candido Portinari,1940,,,
1097,Modern art,Candido Portinari,1944,,,
1098,Modern art,Candido Portinari,,,,
1099,Modern art,Candido Portinari,1941,,,
1100,Modern art,Candido Portinari,1939,,,
1101,Modern art,Candido Portinari,1956,,,"Árabe [esboço], da série Israel"
1102,Modern art,Candido Portinari,1946,,,"Nossa Senhora com Menino Jesus, ilustração para o livro ""O alienista"", de Machado de Assis"
1103,Modern art,Candido Portinari,1956,,,"Árvore [Esboço], da Série Israel"
1104,Modern art,Candido Portinari,,,,
1105,Modern art,Candido Portinari,1944,,,
1106,Modern art,Candido Portinari,1941,,,"Estudo para painel de azulejos para a fachada do Palácio Gustavo Capanema, Rio de Janeiro, RJ [não executado]"
1107,Modern art,Candido Portinari,,,,
1108,Modern art,Candido Portinari,1955,,grafite e lápis de cor sobre papel,
1109,Modern art,Candido Portinari,,,,
1110,Modern art,Candido Portinari,,,,Esboço [não utilizado] para pintura mural São Francisco de Assis se despojando das vestes
1111,Modern art,Candido Portinari,1957,,,"Estudo para o ""Retrato de Manoel Kantor"""
1112,Modern art,Candido Portinari,1944,,,"Esboço [não utilizado] para a pintura mural ""São Francisco se Despojando das Vestes"""
1113,Modern art,Candido Portinari,1944,,,
1114,Modern art||Escultura Estrangeira,SOL LeWitt (atribuído)||SOL LeWitt (atribuído),,21794,,Complex form #78
1115,Modern art,Candido Portinari,,,,
1116,Modern art,Candido Portinari,1942,,,Índio
1117,Modern art,Candido Portinari,1942,,,Cabeça de homem
1118,Modern art,Candido Portinari,1959,,,
1119,Modern art,Candido Portinari,1943,,,
1120,Modern art,Candido Portinari,1956,,,
1121,Modern art,Candido Portinari,1960,,,
1122,Modern art,Candido Portinari,1960,,,Cavalo
1123,Modern art,Candido Portinari,1944,,,
1124,Modern art,Candido Portinari,1941,,"matrix/cobre niquelado/água-tinta, água-forte","Retrato de Baptista Portinari, pai do artista"
1125,Modern art,Candido Portinari,1958,,,"Esboço para a pintura ""Esquartejamento de Felipe dos Santos"""
1126,Modern art,Candido Portinari,1942,,,Família
1127,Modern art,Candido Portinari,1944,,,
1128,Modern art,Candido Portinari,1940,,,Retrato de Aníbal Machado
1129,Modern art,Candido Portinari,1956,,,"Cabeça de Judeu [esboço], da Série Israel"
1130,Modern art,Candido Portinari,1933,,,
1131,Modern art,Candido Portinari,1954,,,Vila Adriana
1132,Modern art,Candido Portinari,1956,,,"Beduíno e animais [esboço], da Série Israel"
1133,Modern art,Candido Portinari,,,,
1134,Modern art,Candido Portinari,1936,,,
1135,Modern art,Candido Portinari,1944,,,
1136,Modern art,Candido Portinari,,,,
1137,Modern art,Candido Portinari,1956,,,"Irrigando o deserto [esboço], da série Israel"
1138,Modern art,Candido Portinari,1956,,,"""Deserto de Neguev"" [esboço], da série Israel"
1139,Modern art,Candido Portinari,1956,,,"Monte Sion [esboço] , da Série Israel"
1140,Modern art,Candido Portinari,1939,,,Mulher sentada
1141,Modern art,Candido Portinari,1956,,,
1142,Modern art,Candido Portinari,1948,,,
1143,Modern art,Candido Portinari,1949,,,"Esboço para o painel ""A última ceia"""
1144,Modern art,Candido Portinari,1956,,,"Monte Elias [Esboço], da Série Israel"
1145,Modern art,Candido Portinari,1939,,,Moça
1146,Modern art,Candido Portinari,1951,,,
1147,Modern art||Gravura Estrangeira,Pierre Bonnard||Pierre Bonnard,,21526,,E ela veio...
1148,Modern art,Candido Portinari,1944,,,
1149,Modern art,Candido Portinari,,,,
1150,Modern art,Candido Portinari,1943,,,
1151,Modern art,Candido Portinari,1955,,,"Estudo para o painel ""A Tempestade Acalmada"""
1152,Modern art,Candido Portinari,1948,,,"Esboço para a pintura ""Colheita de cacau"""
1153,Modern art,Candido Portinari,1950,,,Cangaceiro
1154,Modern art,Candido Portinari,,,,
1155,Modern art,Candido Portinari,1948,,,"Esboço para a pintura ""Colheita de fumo"""
1156,Modern art,Niki de Saint-Palle,,,,Faucon Bleu
1157,Candido Portinari,,,,,
1158,Candido Portinari,Candido Portinari,,,têmpera sobre tela,A Primeira Missa no Brasil
1159,Candido Portinari,Candido Portinari,1935,,óleo sobre tela,Café
1160,Candido Portinari,Candido Portinari,1928,,óleo sobre tela,Retrato de Olegário Mariano
1161,Candido Portinari||Pintura Brasileira,Candido Portinari||Candido Portinari,1951,717,,Menino de Brodósqui
1162,Candido Portinari,Candido Portinari,1920,,,Retrato de Colega da Escola
1163,Candido Portinari,Candido Portinari,1942,,,Velho
1164,Candido Portinari,Candido Portinari,1959,,,Retrato de Darclée Gama Rodrigues
1165,Candido Portinari,Candido Portinari,1944,,nanquim e aguada sobre cartão,
1166,Candido Portinari,Candido Portinari,1944,,,Retrato de Yedda Ovalle Schmidt
1167,Candido Portinari,Candido Portinari,,,,
1168,Candido Portinari,Candido Portinari,1944,,óleo sobre madeira,Purgatório
1169,Candido Portinari,Candido Portinari,1936,,,Martelo e torquês
1170,Candido Portinari,Candido Portinari,1956,,,Caricatura de Santa Rosa
1171,Candido Portinari,Candido Portinari,1958,,óleo sobre madeira,Caçador de passarinho
1172,Candido Portinari,Candido Portinari,1944,,nanquim e aguada sobre cartão,
1173,Candido Portinari,Candido Portinari,1941,,,"Estudo para painel de azulejos da fachada do Palácio Capanema, Rio de Janeiro, RJ [não executado]"
1174,Candido Portinari,Candido Portinari,1932,,óleo sobre tela,"Retrato de Maria, esposa do artista"
1175,Candido Portinari,Candido Portinari,,,,
1176,Candido Portinari,Candido Portinari,1946,,,Mensagem etérea IV
1177,Candido Portinari,Candido Portinari,1946,,nanquim sobre papel,Composição
1178,Candido Portinari,Candido Portinari,1961,,,Retrato de Jânio Quadros
1179,Candido Portinari,Candido Portinari,1944,,óleo sobre madeira,São João da Cruz
1180,Candido Portinari,Candido Portinari,1948,,óleo sobre tela,Brodósqui
1181,Candido Portinari,Candido Portinari,1943,,bico de pena e nanquim sobre papel,
1182,Candido Portinari,Candido Portinari,1931,,,Retrato de Olegário Mariano
1183,Candido Portinari,Candido Portinari,1931,,,Retrato de Carlos de Lima Cavalcanti
1184,Candido Portinari,Candido Portinari,1960,,óleo sobre madeira,"Estudo para o painel ""Industrialização do Brasil"""
1185,Candido Portinari,Candido Portinari,1938,,carvão sobre papel,
1186,Candido Portinari,Candido Portinari,1926,,,Retrato de Olegário Mariano
1187,Candido Portinari,Candido Portinari,1956,,,Caricatura de Felícia Leiner
1188,Candido Portinari,Candido Portinari,1931,,,Retrato de José Mariano Filho
1189,Candido Portinari,Candido Portinari,1940,,,"Grupo de homens, ilustração para o livro ""O alienista"", de Machado de Assis"
1190,Candido Portinari,Candido Portinari,1933,,,Retrato de George Weil
1191,Candido Portinari,Candido Portinari,1944,,carvão sobre papel,
1192,Candido Portinari,Candido Portinari,1931,,,Retrato de Nestor de Figueiredo
1193,Candido Portinari,Candido Portinari,1932,,,Retrato de Jorge Félix
1194,Candido Portinari,Candido Portinari,1932,,,Retrato de Homem
1195,Candido Portinari,Candido Portinari,1932,,,Retrato de Victor Hugo da Costa
1196,Candido Portinari,Candido Portinari,1944,,nanquim e aguada sobre cartão,
1197,Candido Portinari,Candido Portinari,1938,,carvão sobre papel,
1198,Candido Portinari,Candido Portinari,1944,,,
1199,Candido Portinari,Candido Portinari,1932,,,Retrato de Homem
1200,Candido Portinari,Candido Portinari,1944,,,
1201,Candido Portinari,,1943,,,Vista da Exposição de pintura – Candido Portinari no Museu Nacional de Belas Artes
1202,Candido Portinari,Candido Portinari,1932,,,Retrato de Renato Rabech
1203,Candido Portinari,Candido Portinari,1932,,,Retrato de Homem
1204,Candido Portinari,Candido Portinari,1956,,,
1205,Candido Portinari,Candido Portinari,1946,,,"Simão Bacamarte, ilustração para o livro ""O alienista"", de Machado de Assis"
1206,Candido Portinari,Candido Portinari,1932,,,Retrato de Homem
1207,Candido Portinari,Candido Portinari,1943,,,"Estudo para ilustração do livro ""Memórias Póstumas de Brás Cubas"" de Machado de Assis (D. Eusébia)"
1208,Candido Portinari,Candido Portinari,1948,,,"Esboço para a pintura ""Colheita de fumo"""
1209,Candido Portinari,Candido Portinari,1955,,grafite e sanguínea sobre papel,
1210,Candido Portinari,Candido Portinari,1943,,,
1211,Candido Portinari,Candido Portinari,1951,,,"Estudo para o painel ""Abstrato"""
1212,Candido Portinari,Candido Portinari,1944,,,
1213,Candido Portinari,Candido Portinari,1944,,,
1214,Candido Portinari,Candido Portinari,1955,,,
1215,Candido Portinari,Candido Portinari,1943,,,"Estudo para ilustração do livro ""Memórias Póstumas de Brás Cubas"" de Machado de Assis (Damaceno)"
1216,Candido Portinari,Candido Portinari,1956/1959,,,"Estudo para ""Retrato de Thais de Mello Lima"""
1217,Candido Portinari,Candido Portinari,1941,,,"Estudo para painel de azulejos para a fachada do Palácio Gustavo Capanema, Rio de Janeiro, RJ [não executado]"
1218,Candido Portinari,Candido Portinari,1944,,nanquim e aguada sobre cartão,
1219,Candido Portinari,Candido Portinari,1944,,,
1220,Candido Portinari,Candido Portinari,1944,,óleo sobre madeira,Nossa Senhora do Carmo
