,Abrangência/ Cobertura,Assunto/ palavras-chave,Tipo do recurso,Título
129,"PA||Santarém Novo||-0,874723133895597   -47,32291199890056||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião de Cametá e Entorno
130,"PA||Santarém Novo||-0,9251853515543038   -47,31879212585321||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião de Cametá e Entorno
131,"PA||Santarém Novo||-0,9472623484017942   -47,33485319343363||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião de Cametá e Entorno
132,"PA||Santarém Novo||-0,9275561144175906   -47,39891507354531||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião de Cametá e Entorno
133,"PA||Santarém Novo||-0,9128273222926943   -47,32977845397828||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião de Cametá e Entorno
134,"PA||Santarém Novo||-0,9131706014594644   -47,32771851745505||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião de Cametá e Entorno
135,"PA||Santarém Novo||-0,9294012319269034   -47,39995577064418||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião de Cametá e Entorno
136,"PA||Santarém Novo||-0,9368567841205835   -47,333555004271155||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião de Cametá e Entorno
137,"PA||São João da Ponta||-0,8894571196438782   -47,93800863802001||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
138,"PA||São João da Ponta||-0,8973320909832194   -47,944126026519925||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
139,"PA||São João da Ponta||-0,8505052073713738   -47,92284879266311||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
140,"PA||São João da Ponta||-0,8504193861381554   -47,92281660615942||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
141,"PA||São João da Ponta||-0,8619945076741654   -47,94899496614507||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
142,"PA||São João da Ponta||-0,8695467459763868   -47,94968161165312||Nenhum registro encontrado",Nenhum registro encontrado||Nenhum registro encontrado,Grupos de detentores,Nenhum registro encontrado||Nenhum registro encontrado
143,"PA||Terra Alta||-1,0273779349495025   -47,840681755935826||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
144,"PA||Terra Alta||-0,964344819834334   -47,810962880051775||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
145,"PA||Maracanã||-0,7638087413433511   -47,45171027818502||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
146,"PA||Maracanã||-0,6257709909303883   -47,54365640321655||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
147,"PA||Maracanã||-0,7686255579869449   -47,456624085101296||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
148,"PA||Maracanã||-0,6249127351664442   -47,54365640321655||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
149,"PA||Maracanã||-0,6252560374888737   -47,541768128069656||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
150,"PA||Maracanã||-0,7914329495389288   -47,565800720843015||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Associação de detentores,Nenhum registro encontrado||INRC do Carimbó na Microrregião do Salgado Paraense
