,Abrangência/ Cobertura,Assunto/ palavras-chave,Tipo do recurso,Título
229,"PE||Feira Nova||-7,944392809615718   -35,38477697866211||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
230,"PE||Lagoa do Itaenga||-7,934391512780793   -35,29256313044939||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
231,"PE||Tracunhaém||-7,8003936009493575   -35,16901858390044||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
232,"PE||Carpina||-7,846186527875251   -35,25258507617419||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
233,"PE||Nazaré da Mata||-7,744361899682504   -35,223527571173946||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
234,"PE||Nazaré da Mata||-7,73959919368884   -35,223527571173946||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
235,"PE||Aliança||-7,599472703821761   -35,23471681285569||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
236,"PE||Ferreiros||-7,4517636678111625   -35,24315947589639||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
237,"PE||Lagoa do Carro||-7,845045603248525   -35,31001722004434||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
238,"PE||Nazaré da Mata||-7,741300166293676   -35,223184248420374||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
239,"PE||Itaquitinga||-7,659134687615979   -35,091905693969636||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
240,"PE||Paudalho||-7,901238656471933   -35,17397575025958||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
241,"PE||Aliança||-7,600940303237315   -35,23472396555818||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
242,"PE||Nazaré da Mata||-7,743001132033843   -35,223184248420374||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
243,"PE||Carpina||-7,845166200803598   -35,25155510791169||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
244,"PE||Glória do Goitá||-8,000806443716874   -35,29276073199828||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
245,"PE||Glória do Goitá||-8,001146424463037   -35,290014149967014||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
246,"PE||Glória do Goitá||-8,000466462687168   -35,29344737750542||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
247,"PE||Nazaré da Mata||-7,741640359990953   -35,22284092566591||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
248,"PE||Tracunhaém||-7,799373161833734   -35,166958647377214||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
249,"PE||Glória do Goitá||-8,001146424463037   -35,29344737750542||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
250,"PE||Nazaré da Mata||-7,741640359990953   -35,22146763465073||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
251,"PE||Aliança||-7,602195153326094   -35,231283585316376||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
252,"PE||Condado||-7,5859017588463145   -35,10137305098624||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
253,"PE||Buenos Aires||-7,721138880975835   -35,32621530738916||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
254,"PE||Vicência||-7,657710544038838   -35,322844126217944||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
255,"PE||Tracunhaém||-7,797672424442839   -35,167988615638826||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
256,"PE||Glória do Goitá||-8,002166364999972   -35,29310405475185||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
257,"PE||Nazaré da Mata||-7,742660939435091   -35,22249760291234||Nenhum registro encontrado",Nenhum registro encontrado||Identificação||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto||INRC do Maracatu Baque Solto
258,"PE||Chã de Alegria||-8,007331791365914   -35,20615663036395||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
259,"PE||Paudalho||-7,902258845460785   -35,17431907301405||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
260,"PE||Paudalho||-7,901918782744602   -35,17225913648992||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
261,"PE||Paudalho||-7,9025989078968   -35,17157249098278||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
262,"PE||Goiana||-7,560809606677352   -35,00669086199617||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
263,"PE||Itambé||-7,4122842824489625   -35,11109808706425||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
264,"PE||Lagoa do Carro||-7,845725821771693   -35,31104718830595||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
265,"PE||Nazaré da Mata||-7,742320746561641   -35,22249760291234||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
266,"PE||Goiana||-7,563532300710335   -35,005317570980985||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
267,"PE||Vicência||-7,6580508048439615   -35,322157480709905||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
268,"PE||Glória do Goitá||-8,000466462687168   -35,29310405475185||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
269,"PE||Lagoa do Itaenga||-7,934901566541053   -35,293078114581085||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
270,"PE||Condado||-7,585561440700217   -35,10205969649428||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
271,"PE||Glória do Goitá||-8,001146424463037   -35,297567250552774||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
272,"PE||Nazaré da Mata||-7,742320746561641   -35,223184248420374||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
273,"PE||Feira Nova||-7,950173241062902   -35,389240174463026||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
274,"PB||Caaporã||-7,51507155965524   -34,90847008328342||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
275,"PE||Aliança||-7,600153317816169   -35,232656876332456||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
276,"PE||Buenos Aires||-7,722839927984429   -35,3269019528972||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
277,"PE||Lagoa do Itaenga||-7,933881458387602   -35,291361500811426||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
278,"PE||Buenos Aires||-7,722839927984429   -35,3269019528972||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
279,"PE||Carpina||-7,846186527875251   -35,252241753419725||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
280,"PE||Chã de Alegria||-8,00767176666735   -35,20667161449476||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
281,"PE||Buenos Aires||-7,741550992744992   -35,338231603775846||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
282,"PE||Itambé||-7,41092246519914   -35,11109808706425||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
283,"PE||Aliança||-7,600833930731692   -35,232656876332456||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
284,"PE||Itaquitinga||-7,664919065004525   -35,1028920220947||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
285,"PE||Chã de Alegria||-8,007841754211698   -35,205984968987615||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
286,"PE||Aliança||-7,601514542568424   -35,23471681285569||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
287,"PE||Recife||-8,060986455831308   -34,90024136785991||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
288,"PE||Recife||-8,06914470575401   -34,90848111395281||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
289,"PE||Araçoiaba||-7,788280691193034   -35,091168215025675||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
290,"PE||Igarassu||-7,832606345892607   -34,908521592566835||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
291,"PE||Camaragibe||-8,016377248540499   -34,97309113858774||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
292,"PE||Araçoiaba||-7,788961002241286   -35,09013824676407||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
293,"PE||Araçoiaba||-7,786920065782238   -35,08945160125603||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
294,"PE||Araçoiaba||-7,790321621022775   -35,090824892271215||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
295,"PE||Recife||-8,056907269163998   -34,888568394225906||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
296,"PE||Araçoiaba||-7,787600379040047   -35,09013824676407||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
297,"PE||Araçoiaba||-7,788280691193034   -35,08910827850246||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
298,"PE||Olinda||-7,991021244009283   -34,84220210697614||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
299,"PE||Araçoiaba||-7,788620846855278   -35,08945160125603||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Baque Solto
300,"PE||Recife||-8,05796662079521   -34,879580679509374||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||INRC do Maracatu Nação
301,"PE||Recife||-8,069144705754175   -34,89749478582865||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
302,"PE||Recife||-8,060986455831308   -34,89200162176522||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
303,"PE||Recife||-8,057625659920625   -34,93121472134374||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
304,"PE||Recife||-8,061747629933313   -34,910588989094535||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
305,"PE||Recife||-8,069905864497713   -34,91196228011062||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
306,"PE||Recife||-8,064467059744835   -34,889989623860494||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
307,"PE||Recife||-8,060986455831308   -34,89886807684473||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
308,"PE||Recife||-8,058267002621909   -34,89474820379558||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
309,"PE||Recife||-8,066425307403263   -34,89474820379738||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
310,"PE||Recife||-8,0555475311382   -34,89749478582865||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
311,"PE||Recife||-8,058267002622266   -34,89200162176522||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
312,"PE||Recife||-8,067186471267787   -34,90097595198466||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
313,"PE||Recife||-8,060986455831397   -34,88650845770268||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
314,"PE||Recife||-8,06642530740255   -34,90298794989028||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
315,"PE||Recife||-8,047389007101913   -34,91534756903143||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
316,"PE||Recife||-8,06914470575401   -34,90298794989118||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
317,"PE||Recife||-8,05902818183999   -34,90372253401593||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
318,"PE||Recife||-8,071864085806759   -34,91122769598408||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
319,"PE||Recife||-8,064467059744569   -34,90097595198376||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
320,"PE||Recife||-8,06642530740344   -34,90573453192245||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
321,"PE||Igarassu||-7,83192610592577   -34,90714830155075||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
322,"PE||Olinda||-7,9905112601245625   -34,84065715458282||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
323,"PE||Olinda||-7,991021244009283   -34,84134380009086||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
324,"PE||Olinda||-7,991191238495828   -34,84065715458282||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
325,"PE||Olinda||-7,990681254823606   -34,84117213871363||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
326,"PE||Olinda||-7,990681254823606   -34,84117213871363||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
327,"PE||Jaboatão dos Guararapes||-8,17654910056781   -35,00173825510812||Nenhum registro encontrado",Nenhum registro encontrado||Identificação,Grupos de detentores,Nenhum registro encontrado||INRC do Maracatu Nação
328,"AM||Tefé||-3,3683000582710974   -64,72210752240585||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||""Edital PNPI 2005 - Artesanato e identidade cultural no Médio Solimões: A promoção de técnicas e conhecimentos tradicionais em comunidades ribeirinhas das reservas Aamirauá e Amanã""||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial"
329,"SP||Campinas||-22,82235781615996   -47,074808616253634||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,Instituição pública estadual,"Nenhum registro encontrado||Edital PNPI 2005 - Documentação e transmissão dos saberes tradicionais dos Asuriní do Xingu||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial"
330,"MT||Canarana||-13,530053488767406   -52,16667834064023||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,Instituição pública federal,"Nenhum registro encontrado||Edital PNPI 2005 - Canções Jowosi da etnia Kaiabi||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial"
331,"GO||Alto Paraíso de Goiás||-14,143675341873053   -47,51407242341401||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Edital PNPI 2005 - Mapeamento da Festa da Caçada da Rainha||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial"
332,"AL||Maceió||-9,551223295686047   -35,762607025629016||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,Instituição pública federal,"Nenhum registro encontrado||Edital PNPI 2005 - Modos de contruir, modos de alimentar: Memórias da paisagem Caeté nas Alagoas||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial"
333,"PI||São Raimundo Nonato||-9,010247540476996   -42,69107119703956||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Edital PNPI 2005 - Parque Nacional da Serra da Capivara: Pesquisa documental do Patrimônio Imaterial||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial"
334,"AC||Rio Branco||-9,964142024105877   -67,83401974679643||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Edital PNPI 2005 - Tradições musicais Kaxinawá||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial"
335,"MS||Campo Grande||-20,469237856659436   -54,63428228773388||Nenhum registro encontrado",Nenhum registro encontrado||Identificação||Apoio e fomento,Instituição pública federal,"Nenhum registro encontrado||Mapeamento Documental do Patrimônio Cultural Imaterial do Mato Grosso do Sul||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial"
336,"PB||João Pessoa||-7,112400434211693   -34,824941171490586||Nenhum registro encontrado",Nenhum registro encontrado||Identificação||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)","Nenhum registro encontrado||Mapeamento Documental do Patrimônio Cultural Imaterial da Paraíba||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial"
337,"CE||Fortaleza||-3,733305382284085   -38,527185100209415||Nenhum registro encontrado",Nenhum registro encontrado||Identificação||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Mapeamento Documental do Patrimônio Imaterial do Ceará||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2006 - Mapeamento e Documentação do Patrimônio Cultural Imaterial
338,"PE||Recife||-8,052186690068893   -34,895509154938175||Nenhum registro encontrado",Nenhum registro encontrado||Identificação||Apoio e fomento,Instituição pública federal,Nenhum registro encontrado||Mapeamento Documental do Patrimônio Cultural Imaterial de Pernambuco||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2006 - Mapeamento e Documentação do Patrimônio Cultural Imaterial
339,"SC||Joinville||-26,304741629436517   -48,84719199517927||Nenhum registro encontrado",Nenhum registro encontrado||Identificação||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Mapeamento Documental do Patrimônio Cultural Imaterial do Estado de Santa Catarina||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2006 - Mapeamento e Documentação do Patrimônio Cultural Imaterial
340,"DF||Brasília||-15,798877071204359   -47,871721940851856||Nenhum registro encontrado",Nenhum registro encontrado||Identificação||Apoio e fomento,Instituição pública federal,Nenhum registro encontrado||Mapeamento Documental do Patrimônio Imaterial do Distrito Federal||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2006 - Mapeamento e Documentação do Patrimônio Cultural Imaterial
341,"AL||Maceió||-9,54716050951768   -35,767413544183505||Nenhum registro encontrado",Nenhum registro encontrado||Identificação||Apoio e fomento,Instituição pública federal,Nenhum registro encontrado||Mapeamento Documental do Patrimônio Cultural Imaterial de Alagoas||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2006 - Mapeamento e Documentação do Patrimônio Cultural Imaterial
342,"MG||Belo Horizonte||-19,917933708469857   -43,93508497444129||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Identificação,Instituição pública estadual,Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2006 - Mapeamento e Documentação do Patrimônio Cultural Imaterial||Mapeamento Documental do Patrimônio Imaterial de Minas Gerais
343,"SC||Lages||-27,804742976935955   -50,32479917123488||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2007 - Inventário do Patrimônio Imaterial do Caminho das Tropas: Saberes e fazeres construídos na vida e na lida do povo da Coxilha Rica/SC
344,"AL||Maceió||-9,649392507449253   -35,71385519457426||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,Instituição pública municipal,Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2007 - Gira da Tradição
345,"TO||Babaçulândia||-7,203484804180321   -47,75887910149252||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital PNPI 2007 - Ilha de São José||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial
346,"PE||Recife||-8,063705890760446   -34,89474820379738||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital PNPI 2007 - Mercado São José: Memória e história
347,"GO||Pirenópolis||-15,853623336988782   -48,952113735273436||Nenhum registro encontrado",Nenhum registro encontrado||Apoio e fomento||Apoio e fomento||Apoio e fomento,"Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc)",Nenhum registro encontrado||Edital PNPI 2007 - Na trilhas das guerreiras - Caminhos de Pirenópolis||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial
