,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Contribuidor/ colaborador,Data,Direitos,Formato,Identifier
63,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,T. S. N.,adams,00/00/1907,T. S. N.,Tiff,CLS SOC DOS6 CP37||BR FCRB
64,BEL,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,23/08/1905,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP38||BR FCRB
65,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,10/04/01,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP39||BR FCRB
66,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,RMSP Amazon,adams,s/d,RMSP Amazon,Tiff,CLS SOC DOS6 CP4||BR FCRB
67,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Manuel Pontes Camara,adams,s/d,Manuel Pontes Camara,Tiff,CLS SOC DOS6 CP40||BR FCRB
68,DEU,Família Oliveira Castro||Coleção Lúcia Sanson,Manuel Pontes Camara,adams,11/08/06,Manuel Pontes Camara,Tiff,CLS SOC DOS6 CP41||BR FCRB
69,PRT,Família Oliveira Castro||Coleção Lúcia Sanson,Costa,adams,01/10/1905,Costa,Tiff,CLS SOC DOS6 CP30||BR FCRB
70,FRA,"Família Oliveira Castro  ,  Camponês||Coleção Lúcia Sanson",Raphael Tuck & Fils Ltd.,adams,13/06/1907,Raphael Tuck & Fils Ltd.,Tiff,CLS SOC DOS6 CP31||BR FCRB
71,FRA,"Família Oliveira Castro  ,  Camponês||Coleção Lúcia Sanson",Raphael Tuck & Fils Ltd.,adams,13/06/1907,Raphael Tuck & Fils Ltd.,Tiff,CLS SOC DOS6 CP32||BR FCRB
72,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Foucachon,adams,s/d,Foucachon,Tiff,CLS SOC DOS6 CP33||BR FCRB
73,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,E. Killinger & Favret,adams,s/d,E. Killinger,Tiff,CLS SOC DOS6 CP34||BR FCRB
74,DEU,Família Oliveira Castro||Coleção Lúcia Sanson,B. W. & Cie.,adams,s/d,B. W. & Cie.,Tiff,CLS SOC DOS6 CP35||BR FCRB
75,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Giletta,adams,2/02/1907,Giletta,Tiff,CLS SOC DOS6 CP36||BR FCRB
76,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP24||BR FCRB
77,DEU,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP25||BR FCRB
78,BRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP26||BR FCRB
79,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP27||BR FCRB
80,BRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,23/10/1906,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP28||BR FCRB
81,BRA,"Família Oliveira Castro  ,  RIo Antigo||Coleção Lúcia Sanson",Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP29||BR FCRB
82,ITA,Família Oliveira Castro||Coleção Lúcia Sanson,Stengel & Co.,adams,s/d,Stengel & Co.,Tiff,CLS SOC DOS6 CP3||BR FCRB
83,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP20||BR FCRB
84,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP21||BR FCRB
85,BRA,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,21/04/1907,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP22||BR FCRB
86,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,21/04/1907,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP23||BR FCRB
87,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,26/09/1906,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP16||BR FCRB
88,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,,adams,13/01/1908,,Tiff,CLS SOC DOS6 CP17||BR FCRB
89,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,00/00/1907,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 C18||BR FCRB
90,ARG,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,07/07/06,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP19||BR FCRB
91,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP2||BR FCRB
92,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,B. C. I.,adams,s/d,B. C. I.,Tiff,CLS SOC DOS6 CP137||BR FCRB
93,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,B. C. I.,adams,s/d,B. C. I.,Tiff,CLS SOC DOS6 CP138||BR FCRB
94,FRA,Família Oliveira Castro||Coleção Lúcia Sanson,G. Broekaert,adams,s/d,G. Broekaert,Tiff,CLS SOC DOS6 CP14||BR FCRB
95,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 CP15||BR FCRB
96,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Castorina Oliveira Castro,adams,s/d,Castorina Oliveira Castro,Tiff,CLS SOC DOS6 C13||BR FCRB
97,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Convent of Notre Dame,adams,16/09/1906,Convent of Notre Dame,Tiff,CLS SOC DOS6 CP130||BR FCRB
98,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Convent of Notre Dame,adams,s/d,Convent of Notre Dame,Tiff,CLS SOC DOS6 CP131||BR FCRB
99,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Convent of Notre Dame,adams,00/011906,Convent of Notre Dame,Tiff,CLS SOC DOS6 CP132||BR FCRB
100,GBR,Família Oliveira Castro||Coleção Lúcia Sanson,Convent of Notre Dame,adams,s/d,Convent of Notre Dame,Tiff,CLS SOC DOS6 CP133||BR FCRB
