,Abrangência/ Cobertura,Assunto/ palavras-chave,Data,Tipo do recurso,Título
10,"Minas Gerais||São João Del Rei||-65,39133971||Estadual||Estadual||Estadual||Estadual||Estadual||Estadual||Estadual||Estadual||Estadual||Regional||Regional||Local||Local||Local||Local||Local||Local||Local||Local||Nacional||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Saberes||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Não informado,Não informado||2006,Identificação,"Toque dos Sinos (Catas Altas)||Toque dos Sinos (Mariana)||Toque dos Sinos (Ouro Preto)||Toque de Ângelus||Toque de Procissão (Catas Altas)||Toque para Adoração ou Plenário||Entrada||Repique Dobrado Soleníssimo||Repique Zé Venero||Toque dos Sinos em Minas Gerais, tendo como referência São João dei-Rei e as cidades de Ouro Preto, Mariana, Catas Altas, Congonhas do Campo, Diamantina, Sabará, Serro e Tiradentes||Ofício de Sineiro||Repique Solene ou “Tengorengontengo”||Toque Fúnebre||Toque de Chamada de Missa||Toque de Alvorada||Toque Te Deum||Toque Fúnebre para Religiosos||Toque de Chamada para Missa de Quaresma||Toque de Aviso Fúnebre para Irmão||Toque de Aviso Fúnebre para Religioso||Repique de Glória, da Consagração Eucarística e da Benção do Santíssimo Sacramento||Toque do Setenário das Dores||Chamada para Adoração ao Santíssimo Sacramento||Toque de Procissão (Ouro Preto)"
11,"Bahia||Cocos||-60,91974562||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Saberes||Celebrações||Celebrações||Não informado,2004||2006,Identificação,Festa do Divino (Formoso)||Parteira.||Festa de Santo Antônio||Encontro dos Povos de Grande Sertão Veredas
12,"Minas Gerais||Arinos||-61,27131793||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Formas de expressão||Saberes||Não informado,2004||2005,Identificação,Folia (Médio São Francisco em Minas Gerais)||Toques de Viola||Viola de Dez Cordas
13,"Mato Grosso do Sul||Dourados||-77,03634033||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Formas de expressão||Formas de expressão||Formas de expressão||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Celebrações||Saberes||Saberes||Saberes||Não informado,Não informado||2008,Identificação,Jeroqui||Linguagem do Erval||Lenda do Tereré||Tereré na Cultura Kaiowá||Barbaquá||Cultura da Erva Mate||Barbaquazeiro||Mineiro||Ervateiro||Monteador||Reviro||Chimarrão||Culto à Nossa Senhora de Caacupé||Carreta-cora||Locro||Cozido
14,"Mato Grosso do Sul||Selvíria||-71,74867056||Local||Local||Local||Local||MS||Inocência",Celebrações||Formas de expressão||Formas de expressão||Celebrações||Não informado,Não informado||2009,Identificação,Festa do Padroeiro São João Batista||Catira (Selvíria)||Benzeção||Festa de Santo Reis
15,"Mato Grosso||Santo Antônio do Leverger||-71,33688458||Regional||Local||Regional||MS||MT||Água Clara, Anastácio, Angélica, Bonito, Corguinho, Figueirão, Guia Lopes da Laguna, Iguatemi, Inocência, Alcinópolis, Amambaí, Aquidauana, Coxim, Dourados, Jaraguari, Jardim, Bodoquena, Deodápolis, Fátima do Sul, Glória de Dourados, Itaporã, Ivinhema, Maracaju, Miranda, Laguna Carapã, Tacuru, Nioaque, Nova Alvorada do Sul, Nova Andradina, Novo Horizonte do Sul, Pedro Gomes, Ribas do Rio Pardo, Rio Brilhante, Rio Negro, Rio Verde de Mato Grosso, Rochedo, São Gabriel do Oeste, Sidrolândia, Sonora, Dois Irmãos do Buriti, Caarapó, Terenos, Vicentina, Camapuã, Campo Grande, Ladário, Jateí, Juti, Douradina, Bandeirantes||Salto do Céu, Jangada, Marcelândia, Matupá, Mirassol D'oeste, Nobres, Nova Olímpia, Nova Ubiratã, Nova Xavantina, Novo Horizonte do Norte, Novo São Joaquim, Paranatinga, Porto Estrela, Poxoréo, Primavera do Leste, Querência, São José dos Quatro Marcos, Reserva do Cabaçal, Ribeirão Cascalheira, Rio Branco, Santa Carmem, Santo Afonso, Rondonópolis, Rosário Oeste, União do Sul, Vale de São Domingos, Várzea Grande, Vera, Vila Rica, Nova Guarita, Nova Monte Verde, Água Boa, Cuiabá, Santa Rita do Trivelato, Guiratinga, Tangará da Serra, Tapurah, Ipiranga do Norte, Itanhangá, Itaúba, Itiquira, Jaciara, Santa Cruz do Xingu, Santo Antônio do Leste, Santo Antônio do Leverger, Sapezal, Serra Nova Dourada, Alto Garças, Alto Paraguai, Araputanga, Juscimeira, Lambari D'oeste, Lucas do Rio Verde, Pedra Preta, Peixoto de Azevedo, Planalto da Serra, Poconé, Pontes E Lacerda, Porto Alegre do Norte, Porto dos Gaúchos, Porto Esperidião, Sinop, Sorriso, Tabaporã, Terra Nova do Norte, Nova Marilândia, Tesouro, Nova Maringá, Alto Boa Vista, Canarana, Brasnorte, Campo Verde, Campos de Júlio, Juara, Canabrava do Norte, Carlinda, Castanheira, Chapada dos Guimarães, Cláudia, Colíder, Confresa, Conquista D'oeste, Cotriguaçu, Curvelândia, Nortelândia, Denise, Diamantino, Nossa Senhora do Livramento, Nova Bandeirantes, Nova Nazaré, Nova Lacerda, Nova Santa Helena, Nova Brasilândia, Nova Canaã do Norte, Nova Mutum, Dom Aquino, Feliz Natal, São José do Povo, São José do Rio Claro, São José do Xingu, Figueirópolis D'oeste, Gaúcha do Norte, General Carneiro, Jauru, Juruena, Campinápolis, Campo Novo do Parecis, Acorizal, Arenápolis, Aripuanã, Barão de Melgaço, Barra do Bugres, Indiavaí, Bom Jesus do Araguaia, São Pedro da Cipa, Glória D'oeste",Saberes||Formas de expressão||Saberes||Não informado,16/08/2004||14/01/2005,Reconhecimento,Modo de fazer Viola-de-Cocho||Roda de Tereré||Viola de Cocho
16,"Mato Grosso||Vila Bela da Santíssima Trindade||-74,95153254||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Formas de expressão||Formas de expressão||Lugares||Lugares||Saberes||Saberes||Saberes||Saberes||Saberes||Não informado,Não informado||2008,Identificação,Festança ou Festa das Três Pessoas da Santíssima Trindade ou Festa do Glorioso São Benedito ou Festa do Congo||Casa de Dona Astrogilda||Palácio dos Capitães-Generais||Ruínas da Fazenda Real de Casalvasco||Igreja de Santo Antonio dos Militantes||Igreja de São Francisco Xavier||Matriz de Vila Bela (Ruínas da Igreja Matriz da Santíssima Trindade)||Coral da Consciência Negra||Dança do Congo||Arraial de São Francisco Xavier||Vila Bela da Santíssima Trindade||Artesanato (Vila Bela da Santíssima Trindade)||Bolachinha||Canijinjim||Rapa||Aluá
17,"Pará||Belém||-49,93341545||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nacional||Local||Local||Estadual||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nacional||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Celebrações||Lugares||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Lugares||Lugares||Lugares||Formas de expressão||Lugares||Lugares||Lugares||Lugares||Lugares||Saberes||Saberes||Saberes||Saberes||Lugares||Não informado,05/10/2001||05/10/2004,Reconhecimento,"Círio de Nossa Senhora de Nazaré, na cidade de Belém, estado do Pará||Missa do Mandato||Peregrinações||Traslado da Imagem para Ananindeua||Romaria Rodoviária||Romaria Fluvial||Motorromaria||Celebração da Descida||Trasladação||Procissão Principal do Círio||Terço da Alvorada||Procissão da Festa||Missa de Encerramento da Festa||Celebração da Subida||Recírio||Colégio Gentil Bittencourt||Arrastão do Boi Pavulagem||Auto do Círio||Berlinda||Cartaz Oficial do Círio||Concurso de Redação||Corda (Círio de Nazaré)||Festa das Filhas da Chiquita ou Festa da Chiquita||Festival da Canção Mariana||Hinos à Nossa Senhora de Nazaré||Homenagens de Rua||Imagens de Nossa Senhora de Nazaré||Promessas (Ex-votos)||Igreja Catedral de Nossa Senhora da Graça||Museu do Círio||Palácio Lauro Sodré||Almoço do Círio||Barraca da Santa||Praça da República||Praça Santuário||Trapiche de Icoaraci||Ver-o-Peso||Brinquedos de Miriti||Maniçoba||Manto de Nossa Senhora||Pato no Tucupi||Praça Raimundo Vera Cruz"
18,"Pará||Belém||-49,9551506||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Lugares||Saberes||Não informado,2008||2009,Identificação,Ofício de cambista e rifeiro||Marcado de Carne||Ofício de Mateiro
19,"Pará||Cachoeira do Arari||-49,97616112||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Celebrações||Não informado,Não informado||Não informado,Reconhecimento,Festividades do Glorioso São Sebastião na Região do Marajó||Festividade do Glorioso São Sebastião de Cachoeira do Arari
