,Abrangência/ Cobertura,Assunto/ palavras-chave,Data,Tipo do recurso,Título
30,"Rio Grande do Sul||Pinheiro Machado||-84,96055617||Local||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Não informado,Não informado||2006,Identificação,Cerro dos Porongos
31,"Rio Grande do Sul||Pelotas||-84,11060809||Local||Local||Local||Local||Local||Local||Local||Nacional||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Não informado,Não informado||2008,Identificação,Amanteigados||Ameixa Recheada||Bem-Casado||Camafeu||Fatias de Braga||Ninho||Pastel de Santa Clara||Quindim||Compota de Pêssego||Figo Cristalizado||Marmelada Branca||Origone||Pessegada
32,"Rio Grande do Sul||São Miguel das Missões||-83,16606849||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Formas de expressão||Lugares||Lugares||Lugares||Saberes||Lugares||Lugares||Lugares||Saberes||Saberes||Saberes||Lugares||Lugares||Lugares||Formas de expressão||Lugares||Celebrações||Lugares||Lugares||Não informado,Não informado||2013,Identificação,"Tawá (ruínas da antiga aldeia)||Jerojy - Música e dança Mbyiá Guarani||Mata São Lourenço||Parque Arqueológico de São Miguel Arcanjo||Parque da Fonte Missioneira||Artesanato (Mbyá-Guarani)||Oó - Moradia Tradicional Mbyá-Guarani||Opy ( Casa de reza)||Tekoá Koenju||Pirá-Rupiá||Ofício de Caça||Ofício de Coleta||Acampamento do Rio Urucuá||Santuário de Caaró||Tava, Lugar de Referência para o Povo Guarani||Ayvu (fala dançada)||Tekoá Anhetenguá||Nhemongaraí (ritual de nominação)||Tekoá Yryapu||Tekoá Porã"
33,"Santa Catarina||Campos Novos||-78,70612034||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Formas de expressão||Não informado,2006||2006,Identificação,Narrativas Associadas às Visagens||Narrativas Associadas à São João Maria
34,"Santa Catarina||Tijucas||-75,90104654||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Lugares||Saberes||Lugares||Saberes||Não informado,Não informado||abr/07,Identificação,Casa de Maria Caetano||Casa de Regina Leopoldina Caetano||Engenhos (Sertão de Valongos)||Ervas-de-chá||Criação de Animais
35,"Rio Grande do Sul||Mampituba||-79,16986759||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Formas de expressão||Lugares||Não informado,Não informado||2008,Identificação,Narrativas sobre a Escravidão||Narrativas sobre os Sobrenaturais||Sistema de Grotas
36,"São Paulo||Registro||-72,34046597||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Não informado,Não informado||out/08,Identificação,Tooro Nagashi
37,"São Paulo||São Paulo||-70,16699259||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Celebrações||Lugares||Lugares||Lugares||Lugares||Lugares||Lugares||Formas de expressão||Lugares||Lugares||Não informado,2004||2010,Identificação,Lembrança do Genocídio||Sexta-Feira Santa da Igreja Ortodoxa Grega||Igreja de Nossa Senhora Auxiliadora||Instituto Cultural Israelita Brasileiro - ICB||Museu de Saúde Pública Emílio Ribas||Oficina Cultural Oswald de Andrade||Escola Estadual Prudente de Moraes||Colégio de Santa Inês||Dança Tradicional Coreana||Feira Kantuta||Igreja Santo Eduardo
38,"Tocantins||Natividade||-59,43171327||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Celebrações||Celebrações||Lugares||Lugares||Lugares||Lugares||Lugares||Formas de expressão||Formas de expressão||Formas de expressão||Lugares||Lugares||Lugares||Lugares||Saberes||Lugares||Saberes||Saberes||Saberes||Não informado,Não informado||Não informado,Identificação,"Festa do Divino Espírito Santo de Natividade||Romaria do Bonfim||Festa de Nossa Senhora da Natividade||Ruínas da Igreja de Nossa Senhora do Rosário dos Pretos||Casario||Igreja Nossa Senhora da Natividade||Igreja de São Benedito||Casa de Cultura Amália Hermano Teixeira||Folia do Divino Espírito Santo em Natividade||Catira (Natividade)||Sússia||Serra Natividade||Praças, Ruas e Becos||Centro Bom Jesus de Nazaré||Mãe Ana||Garimpo||Quilombo Redenção||Ourivesaria||Boleira||Benzedeira, Raizeira e Escultora (Dona Romana)"
39,"Amapá||Macapá||0,13205419437594473   -51,060479940289824||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
40,"Amapá||Mazagão||-51,64425661||Local||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Não informado,Não informado||Não informado,Identificação,As Ruínas da Primeira Igreja
41,"Alagoas||Marechal Deodoro||-45,53885013||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Celebrações||Lugares||Não informado,Não informado||19/04/2010,Identificação,Filarmônicas e Bandas de Pífano||Festa de Nossa Senhora do Carmo||Igreja Matriz de Nossa Senhora da Conceição (Marechal Deodoro)
42,"Rio Grande do Sul||Bagé||-85,43402947||Estadual||Estadual||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Lugares||Lugares||Não informado,Não informado||10/04/2014,Identificação,Marcação||Propriedade Rural de Criação de Rebanhos||Mangueira de Pedras
43,"Tocantins||Porto Nacional||-59,12109077||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Celebrações||Lugares||Não informado,Não informado||30/06/2005,Identificação,Feira do Cabaçaco||Festejo do Divino Espírito Santo||Caetanato (Comsaúde)
44,"Distrito Federal||Brasília||-63,3358747||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Celebrações||Celebrações||Lugares||Não informado,Não informado||10/06/2008,Identificação,Consagração de Enlevo||Dia do Doutrinador||Escalada||Estrela de Nerú
45,"Ceará||Juazeiro do Norte||-46,5270809||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
46,"Ceará||Fortaleza||-42,25893762||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
47,"Ceará||Crato||-46,65221107||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
48,"Ceará||Juazeiro do Norte||-46,52711116||Nenhum registro encontrado||CE||Juazeiro do Norte",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
49,"Piauí||Tanque do Piauí||-48,88056522||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
50,"Amapá||Pedra Branca do Amapari||1,1214426706459804   -52,86462215036533||Local||Nacional||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Saberes||Não informado,13/05/2002||20/12/2002,Reconhecimento,Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi||Arte Kusiwá
51,"Amapá||Macapá||0,030362600000004424   -51,0513425||Nenhum registro encontrado||AP||Pedra Branca do Amapari, Cutias, Ferreira Gomes, Pracuúba, Tartarugalzinho, Serra do Navio, Porto Grande",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
52,"Acre||Rio Branco||-77,77178694||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
53,"Acre||Xapuri||-79,15845473||Local||Local||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Celebrações||Celebrações||Celebrações||Celebrações||Não informado,ago/06||jul/08,Identificação,Corte de Seringa||Celebração de São Sebastião||Festa de São João||Celebração do São João do Guarani||“Os terços” – festa do terço
54,"Acre||Rio Branco||-77,77165254||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
55,"Acre||Rio Branco||-77,77943355||Nenhum registro encontrado||AC||Bujari, Rio Branco",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
56,"Acre||Rio Branco||-77,79735115||Nenhum registro encontrado||AC||Bujari, Rio Branco",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
57,"Acre||Xapuri||-79,15717678||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
58,"Acre||Rio Branco||-77,77929198||Nenhum registro encontrado||AC||Bujari, Rio Branco",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
59,"Piauí||Oeiras||-49,14127242||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
60,,,,,
61,"Piauí||Picos||-48,54900276||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
62,"Goiás||Goiânia||-65,93961506||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
63,"Goiás||Aruanã||-65,99916929||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
64,"Goiás||Aruanã||-65,95863601||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
65,"Goiás||Goiânia||-65,93859964||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
66,"Goiás||Goiás||-66,07228416||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
67,"Amapá||Macapá||0,030362600000004424   -51,0513425||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
68,"Pará||Belém||-49,94042868||Local||PA||Ananindeua",Saberes||Não informado,Não informado||2006,Identificação,Tacacá
69,"Piauí||Picos||-48,54872688||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
70,"Maranhão||São Luís||-46,86317717||Estadual||Regional||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Formas de expressão||Não informado,mar/07||20/11/2007,Reconhecimento,Tambor de Crioula do Maranhão||Tambor de Crioula no Piauí
71,"Minas Gerais||Cônego Marinho||-59,71140306||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,2001||2002,Identificação,Nenhum registro encontrado
72,"Rio de Janeiro||Rio de Janeiro||-66,09377022||Estadual||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Não informado,19/09/2004||20/11/2007,Reconhecimento,"Matrizes do Samba no Rio de Janeiro: Partido Alto, Samba de Terreiro e Samba-Enredo"
73,"Maranhão||São Luís||-46,83129015||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Não informado,14/04/2008||30/08/2011,Reconhecimento,Complexo Cultural do Bumba-meu-boi do Maranhão
74,"Maranhão||São Luís||-46,83752989||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
75,"Pará||Anajás||-50,63802998||Local||Local||Local||Local||Local||Estadual||Local||PA||Santa Cruz do Arari, Anajás",Celebrações||Lugares||Formas de expressão||Saberes||Celebrações||Lugares||Lugares||Não informado,Não informado||Não informado,Identificação,Festividades do Glorioso São Sebastião na Região do Marajó||Igreja Matriz do Menino Deus||Grupo Parafolclórico Tribo dos Anajás||Encantaria||Festival do Tucumã||Museu do Marajó||Capela de Santana
76,,,,,
77,"Paraná||Paranaguá||-74,02773542||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
78,"Santa Catarina||Florianópolis||-76,13817279||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,Não informado||Não informado,Identificação,Nenhum registro encontrado
79,"Santa Catarina||Florianópolis||-76,1386376||Local||Estadual||Local||Estadual||Estadual||Estadual||Estadual||Estadual||Estadual||Estadual||Estadual||Estadual||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Saberes||Não informado,Não informado||Não informado,Identificação,Ofício de Carpinteiro||Ofício do Taipeiro||Ofício de Calceteiro||Ofício de Canteiro||Ofício de Pedreiro||Ofício de Marceneiro||Ofício de Oleiro||Ofício de Pintor||Ofício de Carpinteiro Enxaimel||Ofício de Ferreiro||Ofício de Caeiro||Ofício de Serrador
80,"Rio de Janeiro||Rio de Janeiro||-66,08218828||Regional||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Não informado,22/11/2002||15/12/2005,Reconhecimento,Jongo no Sudeste
81,"Rio Grande do Norte||Natal||-40,98307413||Estadual||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Saberes||Não informado,Não informado||Não informado,Identificação,"Ranchos de pesca de Lagoa do Sal||Carpintaria naval para a construção e reforma de botes, bateiras e barcos a motor"
82,"Bahia||Salvador||-51,43195905||Local||Nacional||Nacional||Local||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Celebrações||Lugares||Lugares||Lugares||Formas de expressão||Não informado,24/03/2010||05/06/2013,Reconhecimento,Festa do Senhor Bom Jesus do Bonfim||Lavagem do Senhor do Bonfim||Igreja de Nosso Senhor do Bonfim||Mercado Modelo||Elevador Lacerda||Terno de Reis
83,"Sergipe||Divina Pastora||-47,83025159||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Não informado,20/11/2006||28/01/2009,Reconhecimento,"Modo de Fazer Renda Irlandesa, tendo como referência este ofício em Divina Pastora/SE"
84,"Amazonas||São Gabriel da Cachoeira||0,6055872431271401   -69,19295486093277||Nenhum registro encontrado||Nenhum registro encontrado||Nenhum registro encontrado",Nenhum registro encontrado||Não informado,15/07/2005||10/08/2006,Reconhecimento,Nenhum registro encontrado
85,"Bahia||Salvador||-51,48942282||Local||Não informado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/86/",Formas de expressão,13/08/2004||05/10/2004,Reconhecimento,Samba de Roda do Recôncavo Baiano
86,"São Paulo||Cananéia||-73,07591134||Regional||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Não informado,26/07/2008||29/11/2012,Reconhecimento,Fandango Caiçara
87,"Rio Grande do Norte||Caicó||-43,55693741||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Celebrações||Não informado,04/01/2008||13/12/2010,Reconhecimento,Festa de Sant'Ana de Caicó no estado do Rio Grande do Norte||Procissão de encerramento da Festa de Sant'ana de Caicó
88,,,,,
89,"Piauí||Teresina||-47,89911376||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Não informado,out/08||abr/14,Reconhecimento,Produção Tradicional e Práticas Socioculturais Associadas à Cajuína no Piauí
90,"Mato Grosso||Juína||-71,15173285||Local||MT||Nova Marilândia, Nova Maringá, Alto Boa Vista, Canarana, Brasnorte, Campo Verde, Campos de Júlio, Juara, Canabrava do Norte, Carlinda, Castanheira, Chapada dos Guimarães, Cláudia, Colíder, Confresa, Conquista D'oeste, Cotriguaçu, Curvelândia, Nortelândia, Denise, Diamantino, Nossa Senhora do Livramento, Nova Bandeirantes, Nova Nazaré, Nova Lacerda, Nova Santa Helena, Nova Brasilândia, Nova Canaã do Norte, Nova Mutum, Dom Aquino, Feliz Natal, São José do Povo, São José do Rio Claro, São José do Xingu, Figueirópolis D'oeste, Gaúcha do Norte, General Carneiro, Jauru, Juruena, Campinápolis, Campo Novo do Parecis, Acorizal, Arenápolis, Aripuanã, Barra do Bugres, Indiavaí, Bom Jesus do Araguaia, São Pedro da Cipa, Glória D'oeste, Salto do Céu, Jangada, Marcelândia, Matupá, Mirassol D'oeste, Nobres, Nova Olímpia, Nova Ubiratã, Nova Xavantina, Novo Horizonte do Norte, Novo São Joaquim, Paranatinga, Porto Estrela, Poxoréo, Primavera do Leste, Querência, São José dos Quatro Marcos, Reserva do Cabaçal, Ribeirão Cascalheira, Rio Branco, Santa Carmem, Santo Afonso, Rondonópolis, Rosário Oeste, União do Sul, Vale de São Domingos, Várzea Grande, Vera, Vila Rica, Nova Guarita, Nova Monte Verde, Água Boa, Cuiabá, Santa Rita do Trivelato, Guiratinga, Tangará da Serra, Tapurah, Ipiranga do Norte, Itanhangá, Itaúba, Jaciara, Santa Cruz do Xingu, Santo Antônio do Leste, Sapezal, Serra Nova Dourada, Alto Garças, Alto Paraguai, Araputanga, Juscimeira, Lambari D'oeste, Lucas do Rio Verde, Pedra Preta, Peixoto de Azevedo, Planalto da Serra, Pontes E Lacerda, Porto Alegre do Norte, Porto dos Gaúchos, Porto Esperidião, Sinop, Sorriso, Tabaporã, Terra Nova do Norte, Tesouro",Celebrações||Não informado,14/08/2006||05/11/2010,Reconhecimento,Ritual Yaokwa do Povo Indígena Enawene Nawe
91,"Mato Grosso||Cocalinho||-66,00992877||Regional||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Não informado,29/03/2010||25/01/2012,Reconhecimento,Rtixòkò: expressão artística e cosmológica do Povo Karajá
92,"Mato Grosso||Cocalinho||-66,00895081||Regional||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Não informado,02/04/2010||25/01/2012,Reconhecimento,Saberes e Práticas Associados aos Modos de Fazer Bonecas Karajá
93,"Amazonas||Santa Isabel do Rio Negro||-66,14717423||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Não informado,28/06/2007||05/11/2010,Reconhecimento,Sistema Agrícola Tradicional do Rio Negro
94,"Pará||Belém||-49,9241244||Local||Nenhum registro encontrado||Nenhum registro encontrado",Saberes||Não informado,2010||2011,Identificação,Alfaiate
95,"Rio de Janeiro||Rio de Janeiro||-66,09110092||Local||Nenhum registro encontrado||Nenhum registro encontrado",Lugares||Não informado,Não informado||Não informado,Identificação,Saara
96,"Rio de Janeiro||Paraty||-67,93498692||Local||Nenhum registro encontrado||Nenhum registro encontrado",Celebrações||Não informado,15/06/2005||abr/13,Reconhecimento,Festa do Divino Espírito Santo de Paraty
97,"Paraíba||João Pessoa||-42,00199732||Local||Local||Nenhum registro encontrado||Nenhum registro encontrado",Formas de expressão||Formas de expressão||Não informado,Não informado||2009,Identificação,Coco (Caaporã)||Samba de Coco
98,,,,,
99,"Amapá||Pedra Branca do Amapari||1,0204710110718849   -52,855341845184434||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/100/,Não informado||2004,Apoio e fomento,Nenhum registro encontrado
100,"Amapá||Pedra Branca do Amapari||1,0753934620027152   -52,877314501434554||IEPE - Instituto de Pesquisa e Formação em Educação Índigena||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/101/,2004||2005,Apoio e fomento,Nenhum registro encontrado
101,"Amapá||Pedra Branca do Amapari||1,0753934620027152   -52,888300829559626||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/102/,Não informado||2006,Apoio e fomento,Nenhum registro encontrado
102,"Amapá||Pedra Branca do Amapari||1,086377835213655   -52,8663281733095||IEPE - Instituto de Pesquisa e Formação em Educação Índigena||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/103/,2006||2006,Apoio e fomento,Nenhum registro encontrado
103,"Amapá||Macapá||0,015152913406733217   -51,06766021382158||IEPE - Instituto de Pesquisa e Formação em Educação Índigena||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/104/,abr/10||dez/10,Apoio e fomento,Nenhum registro encontrado
104,"Amapá||Pedra Branca do Amapari||1,1303149246874469   -52,91027348580887||IEPE - Instituto de Pesquisa e Formação em Educação Índigena||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/105/,dez/09||nov/10,Apoio e fomento,Nenhum registro encontrado
105,"Amapá||Pedra Branca do Amapari||1,1193307136316806   -52,8992871576838||IEPE - Instituto de Pesquisa e Formação em Educação Índigena||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/106/,2009||2010,Apoio e fomento,Nenhum registro encontrado
106,"Amapá||Pedra Branca do Amapari||1,14129909419564   -52,954218798309135||IEPE - Instituto de Pesquisa e Formação em Educação Índigena||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/107/,Não informado||2009,Apoio e fomento,Nenhum registro encontrado
107,"Distrito Federal||Brasília||-63,70218472||IEPE - Instituto de Pesquisa e Formação em Educação Índigena||Não informado||Não informado",Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/108/,2008||2008,Apoio e fomento,Nenhum registro encontrado
108,,,,,
109,"Distrito Federal||Brasília||-63,74046125||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/110/,Não informado||Não informado,Apoio e fomento,Nenhum registro encontrado
110,"Espírito Santo||Vitória||-60,57215829||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/111/,Não informado||2008,Apoio e fomento,Nenhum registro encontrado
111,"Maranhão||São Luís||-46,80181932||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/112/,18/05/2010||20/05/2010,Apoio e fomento,Nenhum registro encontrado
112,,,,,
113,"Espírito Santo||Vitória||-60,57242927||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/114/,Não informado||2011,Apoio e fomento,Nenhum registro encontrado
114,"Espírito Santo||Vitória||-60,57210066||Nenhum registro encontrado||Não informado||Não informado",Nenhum registro encontrado||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/115/,mai/12||mai/12,Apoio e fomento,Nenhum registro encontrado
115,"Pará||Belém||-49,94035886||Secretaria de Cultura do Estado do Pará||Museu do Círio||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/116/,Não informado||2009,Apoio e fomento,Local
116,"Pará||Belém||-49,94038567||Secretaria de Cultura do Estado do Pará||Museu do Círio||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/117/,Não informado||Não informado,Apoio e fomento,Local
117,"Pará||Belém||-49,92137694||Secretaria de Cultura do Estado do Pará||Museu do Círio||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/118/,14/05/2008||08/11/2008,Apoio e fomento,Local
118,"Pará||Cametá||-51,74116017||Secretaria de Cultura do Estado do Pará||Museu do Círio||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/119/,Não informado||ago/10,Apoio e fomento,Local
119,"Pará||Igarapé-Miri||-50,94532996||Secretaria de Cultura do Estado do Pará||Museu do Círio||Não informado||Não informado",Partícipe||Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/120/,Não informado||2009,Apoio e fomento,Local
120,"Rio de Janeiro||Porciúncula||-63,00843606||Associação Sementes D’África - Ponto de Cultura Jongo - História, Sabedoria e Identidade Negra||Centro de Referência de Estudo Afro do Sul Fluminense - Ponto de Cultura Jongo de Pinheiral||Associação Cultural Jongo da Serrinha - Ponto de Cultura “Escola de Jongo da Serrinha”||Associação Jongo Dito Ribeiro - Ponto de Cultura Comunidade Jongo Dito Ribeiro||Associação da Comunidade Negra Remanescente de Quilombo da Fazenda São José da Serra - Ponto de Cultura “Núcleo de Cultura Popular do Vale do Paraíba - Quilombo São José da Serra”||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/121/,Não informado||2007,Apoio e fomento,Nenhum registro encontrado
121,"São Paulo||Guaratinguetá||-68,01284375||Associação Sementes D’África - Ponto de Cultura Jongo - História, Sabedoria e Identidade Negra||Centro de Referência de Estudo Afro do Sul Fluminense - Ponto de Cultura Jongo de Pinheiral||Associação Cultural Jongo da Serrinha - Ponto de Cultura “Escola de Jongo da Serrinha”||Associação Jongo Dito Ribeiro - Ponto de Cultura Comunidade Jongo Dito Ribeiro||Associação da Comunidade Negra Remanescente de Quilombo da Fazenda São José da Serra - Ponto de Cultura “Núcleo de Cultura Popular do Vale do Paraíba - Quilombo São José da Serra”||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/122/,Não informado||2007,Apoio e fomento,Nenhum registro encontrado
122,"Rio de Janeiro||Angra dos Reis||-67,32826949||Associação Sementes D’África - Ponto de Cultura Jongo - História, Sabedoria e Identidade Negra||Centro de Referência de Estudo Afro do Sul Fluminense - Ponto de Cultura Jongo de Pinheiral||Associação Cultural Jongo da Serrinha - Ponto de Cultura “Escola de Jongo da Serrinha”||Associação Jongo Dito Ribeiro - Ponto de Cultura Comunidade Jongo Dito Ribeiro||Associação da Comunidade Negra Remanescente de Quilombo da Fazenda São José da Serra - Ponto de Cultura “Núcleo de Cultura Popular do Vale do Paraíba - Quilombo São José da Serra”||Não informado||Não informado",Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||Referência/Partícipe||https://sicg.iphan.gov.br/sicg/bemImaterial/acao/123/,nov/08||dez/08,Apoio e fomento,Nenhum registro encontrado
