Agente,Document,Link do Item,Tipo do Programa,Título,Data,Número do Programa
,121800,https://www.funarte.gov.br/musica-nas-americas/programa-20-q-arte-e-outros-quartetos/,Repertório,Programa 20 – Q-Arte e outros quartetos,18/10/2018,10
Liduíno Pitombeira,121798,https://www.funarte.gov.br/musica-nas-americas/programa-21/,Entrevista,Programa 21,25/10/2018,9
Cauã Canilha,121889,https://www.funarte.gov.br/musica-nas-americas/programa-22/,Intérpretes,Programa 22,01/11/2018,8
,121893,https://www.funarte.gov.br/musica-nas-americas/programa-23-o-silencio/,Repertório,Programa 23 – O silêncio,08/11/2018,7
Francisco Mário | Marcos Souza,121794,https://www.funarte.gov.br/musica-nas-americas/programa-24-marcos-souza-sobre-francisco-mario/,Entrevista,Programa 24 – Marcos Souza sobre Francisco Mário,15/11/2018,6
,121792,https://www.funarte.gov.br/musica-nas-americas/programa-25-caminos/,Repertório,Programa 25 – Caminos,22/11/2018,5
Sica Malaguti,121790,https://www.funarte.gov.br/musica-nas-americas/programa-26/,Intérpretes,Programa 26,29/11/2018,4
Ricardo Tacuchian,121788,https://www.funarte.gov.br/musica-nas-americas/programa-27/,Entrevista,Programa 27,06/12/2018,3
Mario da Silva,121786,https://www.funarte.gov.br/musica-nas-americas/programa-28/,Intérpretes,Programa 28,13/12/2018,2
Orquestra Ouro Preto,121784,https://www.funarte.gov.br/musica-nas-americas/programa-29/,Intérpretes,Programa 29,20/12/2018,1
