Acervo,Agente,Classificação,Descrição,Descrição Física,Document,Imprenta,Inf. publicação,Link do Item,Título,Assuntos,Conteúdo,Locais
Othon Bastos,Othon Bastos,TA,"Peça Na Selva das Cidades. 1969 - Teatro Oficina, São Paulo. Grupo Teatro Oficina. Autor: Bertolt Brecht , direção: José Celso Martinez Corrêa, cenografia: Lina Bo Bardi, figurino: Edinísio Ribeiro e Lina Bo Bardi Elenco: Carlos Gregório, Cecília Rabelo,","1 dossiê (1 foto: p&b; 17,5 x 23,5cm).",127491,"[S.l.: s.n.], 1969.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/na-selva-das-cidades-sp-sao-paulo-1969-cena-do-espetaculo/,"Na Selva das Cidades / SP-São Paulo, 1969 : Cena do espetáculo",,,"No verso da fotografia, consta carimbo com identificação do fotografo Edson Cláudio."
Othon Bastos,Othon Bastos,TA,"Peça Murro em Ponta de Faca. Texto de Augusto Boal e direção de Leon Hirszman, substituido por Paulo José, antes da estréia do espetáculo. Cenografia de Gianni Ratto. Estreou em 1978 no Teatro TAIB, em São Paulo. Em 1979 houve uma nova estréia no Teatro","287 fots. (234 fots. e 53 duplicatas) : nº dig. 26, p&b, higienizadas/em bom estado de conservação ; 11,5cm x 17,5cm a 23cm x 17,5cm.",127471,"[S.l.: s.n.], [1977-79].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/murro-em-ponta-de-faca-sp-sao-paulo-e-rj-rio-de-janeiro-1977-79-cenas-do-espetaculo-e-ensaios/,"Murro em Ponta de Faca / SP - São Paulo e RJ - Rio de Janeiro, [1977-79]: Cenas do espetáculo e ensaios",,,
Othon Bastos,Othon Bastos,TA,"Peça Um Grito Parado no Ar, de Guarnieri. Direção de Fernando Peixoto. Cenas do espetáculo, ensaios e leitura da peça, registrados durante a excursão da peça. 1973-74. Segunda Produção da ""Othon Bastos Produções Artisticas Ltda"". Estreou em Curitiba (Tea","198 fot. (158 fots. e 40 duplicatas) : nº dig. 25, p&b, higienizadas/bom estado de conservação ; 8,5 x 6cm a 17,5 x 24cm.",127469,"[S.l.: s.n.], [1973-74].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/um-grito-parado-no-ar-excursao-1973-74-cenas-do-espetaculo-ensaios-e-leitura-da-peca-registrados-durante-a-excursao/,"Um Grito Parado no Ar / Excursão, [1973-74]: Cenas do espetáculo, ensaios e leitura da peça, registrados durante a excursão",,,"1. No verso da fot. 123, consta carimbo ""CARLOS"" 2. No verso da fot. 124, consta carimbo MEC - SEC - INACEN 3. No verso da fot. 125, consta carimbo ""Iolanda Huzak, 23/08/73"""
Othon Bastos,Othon Bastos,TA,"Peça Ponto de Partida - São Paulo, 1976. De Gianfrancesco Guarnieri. Direção: Fernando Peixoto. Elenco: Antonio Petrin, Gianfrancesco Guarnieri, Martha Overbeck, Othon Bastos, Sérgio Ricardo, Sonia Loureiro e Ana Maria Braga Fot. 1 e 2: Antônio Petrin F","196 fots. (165 fots. e 31 duplicatas) : nº dig. 24, p&b, higienizadas/em bom estado de conservação ; 17,5 x 11,5cm a 23,3 x 17,7cm.",127467,"São Paulo : [s.n.], 1976.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/ponto-de-partida-sp-sao-paulo-1976-cenas-do-espetaculo-2/,"Ponto de Partida / SP - São Paulo, 1976: Cenas do espetáculo",,,"1. No verso das fot. 45 e 63, consta carimbo Othon Bastos Produções Artisticas Ltda. 2. No verso da fot. 47, consta carimbo de credito obrigatório ao Ministério da Cultura, NACEN-INST. NAC. DE ARTES CÊNICAS, CNACEN/ARQ FOTOGRÁFICO E FOTOGRAFO 3. No verso"
Othon Bastos,Othon Bastos,TA,"Peça Historia da Paixão do Senhor. Apresentação na Igreja de São Francisco - Bahia, [1960-66]. Autoria e direção de João Augusto. Fot. 1: Othon Bastos Fot. 2: Othon Bastos Fot. 3: Platéia assistindo ao espetáculo, na Igreja de São Francisco Fot. 4: (esq","6 fots. : nº dig. 21, p&b, higienizadas/em bom estado de conservação ; 8,5cm x 11,5cm a 23,5 x 17,5cm.",127461,"Bahia : [s.n.], [1960-66].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/historia-da-paixao-do-senhor-ba-bahia-1960-66-cenas-do-espetaculo-e-fotos-externas/,"História da Paixão do Senhor / BA-Bahia, [1960-66]: Cenas do espetáculo e fotos externas",,,"1. Consta no verso das fotos, o carimbo ""R. Dias Lima"" 2. Consta no verso da foto 2, carimbo da Sociedade Teatro dos Novos."
Othon Bastos,Othon Bastos,TA,"Peça Brasil Antigo. Bahia, [19--] - Ensaios. Fot. 1: Othon Bastos e Martha Overbeck Fot. 2: Othon Bastos (de costa), João Augusto (sentado) e Carmem Bittencourt (de pé)","2 fots. : nº dig. 18, p&b, higienizadas/em bom estado de conservação ; 11,5cm x 8,5cm a 17,4cm x 11,2cm.",127455,"Bahia : [s.n.] ; [s.n.], [19--].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/brasil-antigo-ba-bahia-19-ensaios-da-peca/,"Brasil Antigo / BA-Bahia, [19--]: Ensaios da peça",,,
Othon Bastos,Othon Bastos,TA,"Cenas da peça ""O Beijo no Asfalto"". São Paulo, [1970-71]. De Nelson Rodrigues Fot. 1: Renato Dobal e Martha Overbeck Fot. 2: Martha Overbeck, Claudio Humberti e Tessy Calado Fot. 3: Flávio Santiago e Martha Overbeck Fot. 4: Martha Overbeck Fot. 5: Marth","8 fots. : nº dig. 17, p&b, higienizadas/em bom estado de conservação ; 11,7cm x 17,4cm a 23,5cm x 17,5cm.",127453,"São Paulo : [s.n.], [1970 - 71].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/o-beijo-no-asfalto-sp-sao-paulo-1970-71-cenas-do-espetaculo/,"O Beijo no Asfalto / SP - São Paulo, [1970-71]: Cenas do espetáculo",,,
Othon Bastos,Othon Bastos,TA,"Peça O Auto do Nascimento. Teatro Duse - Rio de Janeiro, 1955. Nas fotos, Othon Bastos caracterizado.","2 fots. : nº dig. 15, p&b, higienizadas/em bom estado de conservação ; 8,5cm x 11,5cm x 17,5cm x 23,5cm.",127449,"Rio de Janeiro : [s.n.], 1955.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/o-auto-do-nascimento-rj-rio-de-janeiro-1955-foto-do-ator-caracterizado/,"O Auto do Nascimento / RJ-Rio de Janeiro, 1955: Foto do ator caracterizado",,,"Consta no verso da fot. 2, carimbo ""R. Dias Lima"""
Othon Bastos,Othon Bastos,TA,"Peça Caminho de Volta. Cenas do espetáculo, ensaios e entrevista de 1974-75 em São Paulo e Rio de Janeiro. Autoria: Consuelo de Castro. Direção: Fernando Peixoto e Mario Masotti Fot. 1: Flávio São Thiago - 1º elenco/SP, 1974 Fot. 2: (esq. p/dir.) Renato","45 fots. (42 fots. e 3 duplicatas) : nº dig. 14, p&b, higienizadas/em bom estado de conservação ; 18 x 11,5cm a 25x18,5cm.",127447,"[S.l.: s.n.], [1974-75].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/caminho-de-volta-1974-75-cenas-do-espetaculo-ensaios-e-entrevista/,"Caminho de Volta / [1974 - 75]: Cenas do espetáculo, ensaios e entrevista",,,"1. No verso das fots. 4 a 13 consta carimbo ""Foto de Iolanda Huzak"" 2. No verso das fots. 14, 15, 40, 41 e 42 consta carimbo de doação : MEC-DAC-SNT. Divisão de documentação - Doação de Documentos. Doação de Ruth Merzeck, 29/01/79. 3. No verso das fot. 2"
Othon Bastos,Othon Bastos,TA,"Peça Castro Alves Pede Passagem. Teatro Princesa Isabel, [1970] - Rio de Janeiro. Autoria e direção de Gianfrancesco Guarnieri. Fot. 1: Martha Overbeck Fot. 2: (esq. p/ dir.) Luis Carlos de Moraes e Zanoni Ferrite Fot. 3: (esq. p/ dir.) Regina Viana, Za","143 fots. (136 fots. e 7 duplicatas) : nº dig. 13, p&b, higienizadas/em bom estado de conservação ; 5,5cm x 7,2cm a 23cm x 17,5cm.",127445,"Rio de Janeiro : [s.n.], [1972].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/castro-alves-pede-passagem-rj-rio-de-janeiro-1972-cenas-da-peca-fotos-dos-atores-ensaios-e-bastidores/,"Castro Alves Pede Passagem / RJ - Rio de Janeiro, [1972]: Cenas da peça, fotos dos atores ensaios e bastidores",,,1. Fot. 1 a 81 com resíduos de cola no verso
Othon Bastos,Othon Bastos,TA,"Peça Auto dos Ciganos. Fotos de apresentações em diversos locais. Grupo da Universidade Federal da Bahia, década de 60. Fot. 1: (esq. p/ dir.) Echio Reis e Othon Bastos, (abaixo) Martha Overbeck Fot. 2: Othon Bastos e Carmem Bittencourt Fot. 3: Walderma","59 fots. : nº dig. 12, p&b, higienizadas/bom estado de conservação ; 8,5 x 11,5cm. a 23,6 x 17,7cm.",127443,"Bahia : [s.n.], [1960].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/o-auto-dos-ciganos-ba-bahia-1960-cenas-do-espetaculo/,"O Auto dos Ciganos / BA - Bahia, [1960]: Cenas do espetáculo",,,"No verso das fotos 51 a 59, consta carimbo com a identificação ""R. Dias Lima"""
Othon Bastos,Othon Bastos,TA,"Peça Com a Pulga Atrás da Orelha - Teatro Procópio Ferreira - São Paulo, 1984. Fot. 1: Othon Bastos e Luiz Roberto Galizia Fot. 2: (esq. p/ dir.) Ileana Kwasinski, Othon Bastos, Luiz Roberto Galizia, Eliane Grondi, Renato Borghi, Francarlos Reis, Luiz A","12 fots. : nº dig. 11, coloridas, higienizadas/em bom estado de conservação ; 14,5 x 9,5cm a 24 x 19,6cm.",127441,"São Paulo : [s.n.], 1984.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/com-a-pulga-atras-da-orelha-sao-paulo-1984-cenas-do-espetaculo/,"Com a Pulga Atrás da Orelha / São Paulo, 1984: Cenas do espetáculo",,,"1. Na frente das fotos (parte inferior da lateral direita) de 1 a 10, consta data de out. 84. 2. No verso das fotos, consta marca d'água da KODAK. 3. No verso das fotos, consta ""FUNDACEN - Centro de Estudos Projeto Memória - Campanha de Doação. Doação: O"
Othon Bastos,Othon Bastos,TA,"Peça O Auto da Compadecida. Grupo da Universidade Federal da Bahia - Escola de Teatro da Bahia - Teatro Santo Antônio -Bahia, déc. de 60. Fot. 1: Carlos Petrovich, Othon Bastos e Echio Reis Fot. 2: Carlos Petroviche Echio Reis Fot. 3: Echio Reis, Othon","10 fots. : nº dig. 9, p&b, higienizadas/em bom estado de conservação ; 8,5 x 13,5cm a 13,5 x 8,5cm.",127437,"Bahia : [s.n.], [1960].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/o-auto-da-compadecida-ba-bahia-1960-cenas-do-espetaculo/,"O Auto da Compadecida / BA - Bahia, [1960]: Cenas do espetáculo",,,"1. Marca de dobra na parte superior da foto 2 2. Nas fots. 9 e 10, consta carimbo ""Agfa-Brovira"""
Othon Bastos,Othon Bastos,TA,"Peça Um Bonde Chamado Desejo. A apresentação foi na Universidade Federal da Bahia, com direção de Charles Mach Gall. 1959. (Grupo da Escola de Teatro da Bahia) Fot. 1: Othon Bastos Fot. 2: Othon Bastos Fot. 3: Othon Bastos Fot. 4: Othon Bastos Fot. 5: O","41 fots. ( 39 fots. e 2 duplicatas) : nº dig. 8, p&b, em bom estado de conservação ; 8,7 x 13,5cm. a 17,5 x 23cm.",127435,"Bahia : [s.n.], 1959.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/um-bonde-chamado-desejo-ba-bahia-1959-cenas-do-espetaculo-e-bastidores/,"Um Bonde Chamado Desejo / BA - Bahia, 1959: Cenas do espetáculo e bastidores",,,"1. No verso da fot. 38, constam carimbos do ""Acervo Paschoal Carlos Magno"" e ""Carlos Especializado em Fografias Técnicas"" 2. No verso da fot. 39, consta a marca d'água ""Agfa Brovira""."
Othon Bastos,Othon Bastos,TA,"Peça Fedra. Teatro Duse - Rio de Janeiro, 1955 Fot. 1: Othon Bastos e Élida Fot. 2: (esq. p/ dir.) Mirian Pérsia, Thereza Raquel, Mario Teixeira, Othon Bastos, Antônio Ganzarolli e Herminia Luz Fot. 3: Antônio Grazarolli e Othon Bastos Fot. 4: Mirian Pé","6 fot. : nº dig. 7, 5 p&b e 1 sépia, higienizada/bom estado de conservação ; 23 x 17cm a 22,2 x 29,3cm.",127433,"Rio de Janeiro : [s.n.], 1955.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/fedra-rj-rio-de-janeiro-1955-cena-do-espetaculo/,"Fedra / RJ - Rio de Janeiro, 1955: Cena do espetáculo",,,"1. No verso das fotos, de 1a 5, consta o carimbo ""Foto de Arthur Veiga"" 2. Foto 6: Consta na frente da foto, o registro ""Arthur Rio"""
Othon Bastos,Othon Bastos,TA,"Peça O Primo da Califórnia. Teatro Maison de France - Rio de Janeiro, 1967. Diretor: Aufredo Souto de Almeida Fot. 1: Othon Bastos, Roberto do Cleto, Luiz Oswaldo e Fros do Amaral Fot. 2: Othon Bastos","3 fots. (2 fots. e 1 duplicata) : nº dig. 6, p&b, higienizadas/em bom estado de conservação ; 16,5 x 11,5cm.",127431,"Rio de Janeiro : [s.n.], 1967.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/o-primo-da-california-rj-rio-de-janeiro-1967-cenas-do-espetaculo/,"O Primo da Califórnia / RJ - Rio de Janeiro, 1967: Cenas do espetáculo",,,
Othon Bastos,Othon Bastos,TA,"Peça Don Juan. Teatro Oficina - São Paulo, 1970 Na foto, Martha Overbeck","1 fot. : nº dig. 4, p&b, higienizada/em bm estado de conservação ; 16,22cm.",127427,"São Paulo : [s.n.] ; [s.n.], 1970.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/don-juan-sp-sao-paulo-1970-cena-da-peca/,"Don Juan / SP - São Paulo, 1970: Cena da peça",,,
Othon Bastos,Othon Bastos,TA,"Peça Tom Paine. Estreou no Teatro Vereda em São Paulo, 1970. Direção: Ademar Guerra; assistente de direção: Carlos de Moura; coreografia: Marika Gidali; cenários e figurinos: Joel de Carvalho; música: Claudio Petralha; músicos: Tadeu Passarelli, Eduardo","4 fots. (2 fots. e 2 duplicatas) : nº dig. 3, p&b, higienizada/bom estado de conservação ; 17,5 x 23,5cm.",127425,"São Paulo : [s.n.], 1970.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/tom-paine-sp-sao-paulo-1970-cenas-do-ensaio/,"Tom Paine / SP - São Paulo, 1970: Cenas do ensaio",,,"Foto 2 com rasgo de 1cm, na parte inferior."
Othon Bastos,Othon Bastos,TA,"Peça ""Da Necessidade de Ser Polígano"" - Bahia, 1959-60. Fot. 1, 2 e 3: Martha Overbeck e Othon Bastos Fot. 4: (esq. p/ dir.) Martha Overbeck Fot. 5: (esq. p/ dir.) Thereza Sá, Othon Bastos e Martha Overbeck Fot. 6: (esq. p/ dir.) Thereza Sá, Wilson Mello","9 fots. : nº dig. 2, p&b, higienizadas/ em bom estado de conservação ; 17,5 x 23,5cm a 23 x 17,5cm.",127423,"Bahia : [s.n.], [1959-60].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/da-necessidade-de-ser-poligamo-ba-bahia-1959-60-cenas-do-espetaculo/,"Da Necessidade de Ser Polígamo / BA - Bahia, [1959-60]: Cenas do espetáculo",,,"No verso das fotos, consta o carimbo ""R. Dias Lima"""
Othon Bastos,Othon Bastos,TA,"Peça As Três Irmãs. Bahia, [1958-59] - De Anton Tchekov e direção, Ziembinski Fot. 1: Antônio Patiño e Othon Bastos Fot. 2: Sonia Robatto e Claudio Reis, (ao fundo esq p/ dir.) Antônio Patiño, João Gama, Nilda Spencer, atores não identificados, Domitila","14 fots. (13 fots. e 1 duplicata) : nº dig. 1, p&b, higienizadas/em bom estado de conservação ; 8,5 x 13,2 a 22,16,7cm.",127421,"Bahia : [s.n.], [1958-59].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/as-tres-irmas-ba-bahia-1958-59-cenas-do-espetaculo/,"As Três Irmãs / BA - Bahia, [1958-59]: Cenas do espetáculo",,,
Maria Della Costa e Sandro Polônio,Maria Della Costa | Sandro Polônio,ESP.TV,"Cena do teleteatro ""Um Caso Extraordinário"", 1975. TV Cultura. Programa Teatro Dois. De Eugenio Heltai. Direção e adaptação Antunes Filho. Fot. 1: Sandro Polônio","1 dossiê (1 foto: p&b; 23,5 x 18cm) : Nº dig. 221.",127375,"[S.l.: s.n.], 1975.",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/um-caso-extraordinario-1975-cena-do-teleteatro/,"Um Caso Extraordinário, 1975 : Cena do teleteatro",,,"No verso da foto consta o registro ""DOAÇÃO: Sandro Polônio / Maria Della Costa SP 13/4/81"""
Maria Della Costa e Sandro Polônio,Maria Della Costa | Sandro Polônio,ESP.TV,"Cenas da novela ""Estupido Cupido"", 1976. TV Globo. Escrita por Mário Prata. Dreção Régis Cardoso. Elenco: Antônio Patiño, Arthur Costa Filho, Carlos Kroeber, Célia Biar, Djenane Machado, Elizabeth Savalla, Emiliano Queiroz, Françoise Forton, Heloísa Mill","1 dossiê (2 fotos: p&b; 16 x 23,5cm e 17,5 x 11,8cm) : Nº dig. 219.",127373,"[S.l.: s.n.], 1976.",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/estupido-cupido-1976-cenas-da-novela/,"Estupido Cupido, 1976 : Cenas da novela",,,"No verso da foto consta o registro ""DOAÇÃO: Sandro Polônio / Maria Della Costa SP 13/4/81"""
Maria Della Costa e Sandro Polônio,Maria Della Costa | Sandro Polônio,ESP.CV,"Cenas do filme ""Como ganhar na loteria sem perder a esportiva"", 1971. Produção Herbert Richers e J.B Tanko Fot. 1: Maria Della Costa e ator não identificado Fot. 2: Maria Della Costa Fot. 3: Maria Della Costa e Mario Benvernitti","1 dossiê (3 fotos: p&b; 17,5 x 24cm) : N° dig. 218.",127371,"[S.l.: s.n.], 1971.",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/como-ganhar-na-loteria-sem-perder-a-esportiva-1971-cenas-do-filme/,"Como ganhar na loteria sem perder a esportiva, 1971 : Cenas do filme",,,"No verso da foto consta o registro ""DOAÇÃO: Sandro Polônio / Maria Della Costa SP 13/4/81"""
Maria Della Costa e Sandro Polônio,Maria Della Costa | Sandro Polônio,ESP.CV,"Cenas do filme ""O Cavalo 13"", 1946. Kanitar Filmes. Direção Luis de Barros. Produção Claudio Luiz. Argumento Henrique Pogetti e Raymundo Magalhães Junior. Elenco: Maria Della Costa, Manoel Vieira, Silva Filho, Zé Trindade, Jorge Diniz, Olga Latour, Jenny","1 dossiê (11 fotos: p&b; 17 x 21,5cm a 24 x 17,5cm) : Nº dig. 192.",127315,"[S.l.: s.n.], 1946.",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/o-cavalo-13-1946-cenas-do-filme/,"O Cavalo 13, 1946 : Cenas do filme",,,
Maria Della Costa e Sandro Polônio,Maria Della Costa | Sandro Polônio,ESP.CV,"Cenas do filme ""Inocência"", 1949. Direção Luis de Barros e Fernando de Barros. Elenco: Maria Della Costa, Claudio Nonelli, [Harnisch Jr., Zé Trindade, Sadi Cabral, Amadeu Celeste, Nieta Junqueira, João dos [Nupcias?], Manoel Vieira e Jesus Ruas Fot. 1:","1 dossiê (12 fotos: p&b; 5,5 x 11,1cm a 24 x 11,3cm) : Nº dig. 191.",127313,"[S.l.: s.n.], 1949.",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/inocencia-1949-cenas-do-filme/,"Inocência, 1949 : Cenas do filme",,,"No verso das fotos consta o registro ""DOAÇÃO: Sandro Polônio / Maria Della Costa RJ 22/10/84"", RJ 3/9/84 e SP 13/4/81"""
Maria Della Costa e Sandro Polônio,Maria Della Costa | Sandro Polônio,ESP.TV,"Cenas do teleteatro ""Manequim"", [entre 195- e 6-]. Fot. 1: Maria Della Costa e Sandro Polônio","1 dossiê (1 foto: p&b; 15,4 x 17cm) : Nº dig. 220.",127161,"[S.l.: s.n.], [entre 195- e 6-].",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/manequim-entre-195-e-6-cenas-do-teleteatro/,"Manequim, [entre 195- e 6-] : Cenas do teleteatro",,,"No verso da foto consta o registro ""DOAÇÃO: Sandro Polônio / Maria Della Costa RJ 3/9/84."
Maria Della Costa e Sandro Polônio,Maria Della Costa | Sandro Polônio,ESP.TV,"Cenas de ""O Canto da Cotovia"". De Jean-Paul Sartre. Direção e cenário Gianni Ratto. Produção Sandro Polônio. Cia. Maria Della Costa. Fot. 1: Cia. Maria Della Costa. Fot. 2: Cia. Maria Della Costa.","1 dossiê (2 fotos: p&b; 17 x 23,5cm) : Nº dig. 67.",127005,"[S.l.: s.n.], 1970.",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/o-canto-da-cotovia-1970-cenas-do-teleteatro/,"O Canto da Cotovia, 1970 : Cenas do teleteatro",,,"No verso das fotos consta o carimbo ""INACEN/CENACEN-SEC-MEC Campanha de Doação Projeto Memória das Artes Cênicas. DOAÇÃO: Maria Della Costa /Sandro Polônio RJ 03/9/84"""
Maria Della Costa e Sandro Polônio,Maria Della Costa | Sandro Polônio,ESP.CV,"Cenas do filme ""Caminhos do Sul"", 1949. Direção de Fernando de Barros. Produção Capital Filmes Fot. 1: Luiza Barreto Leire e Sadi Cabral Fot. 2: Maria Della Costa e Orlando Villar Fot. 3: Orlando Villar Fot. 4: Maria Della Costa e Roberto Acácio Fot. 5:","1 dossiê (12 fotos: p&b; 23,8 x 17,5cm a 17,5 x 24,2cm) : N° dig. 10.",126961,"[S.l.: s.n.], 1949.",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/caminhos-do-sul-1949-cenas-do-filme/,"Caminhos do Sul, 1949 : Cenas do filme",,,"No verso das fotos consta o registro ""Doação de Maria Della Costa / Sandro Polônio RJ 22/10/84, RJ 3/9/84 e SP 13/4/81"""
Maria Della Costa e Sandro Polônio,Maria Della Costa | Sandro Polônio,ESP.CV,"Cenas do filme ""Cristo de Lama"", 1966. Direção de Wilson Silva. Fot. 1: Maria Della Costa e Geraldo Del Rey Fot. 2: Maria Della Costa e Geraldo Del Rey Fot. 3: Maria Della Costa e Geraldo Del Rey Fot. 4: Maria Della Costa e Geraldo Del Rey","1 dossiê (4 fotos: p&b; 17,6 x 24cm) : N° dig. 09.",126959,"[S.l.: s.n.], 1966.",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/cristo-de-lama-1966-cenas-do-filme/,"Cristo de Lama, 1966 : Cenas do filme",,,"1. No verso das fotos consta o registro ""Doação Maria Della Costa e Sandro Polônio RJ 22/10/84. 2. Fotos 2 a 4 com ranhuras e desgastes."
Maria Della Costa e Sandro Polônio,Maria Della Costa | Sandro Polônio,ESP.CV,"Cenas do filme ""O Brasileiro João de Souza"", 1944. Direção de Bob Chust. Diretor artistico Ziembinski. Cia. Cinex e Cinédia Fot. 1: Sandro Polônio e ator não identificado Fot. 2: Sandro Polônio Fot. 3: Sandro Polônio e ator não identificado Fot. 4: Sandr","1 dossiê (35 docs.: 32 fotos., 2 duplicatas, p&b; 6 x 9cm a 17,5 x 24cm, 1 negativo, p&b; 5,7 x 9cm) : Nº dig. 6.",126953,"[S.l.: s.n.], 1944.",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/o-brasileiro-joao-de-souza-1944-cenas-do-filme/,"O Brasileiro João de Souza, 1944 : Cenas do filme",,,"1. No verso das fotos consta o registro ""DOAÇÃO: Sandro Polônio e Maria Della Costa SP 13/4/81, RJ 03/9/84 e RJ 22/10/84"
Maria Della Costa e Sandro Polônio,Maria Della Costa | Sandro Polônio,ESP.CV,"Cenas do filme ""Areião"", 1952. Direção de Camillo Mastrocinque. Produção de Inca Film. Fot. 1: Orlando Villar e Maria Della Costa (+1 duplicata) Fot. 2: Maria Della Costa Fot. 3: Orlando Villar e Maria Della Costa Fot. 4: Maria Della Costa e Carlos Cotr","50 docs. (24 fotos, 2 duplicatas, p&b; 13,5 x 2cm1 a 17,5 x 23cm, 24 negativos, p&b; 6 x 6cm) : Nº dig. 5.",126951,"[S.l.: s.n.], 1952.",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/areiao-1952-cenas-do-filme/,"Areião, 1952 : Cenas do filme",,,"1. No verso das fotos consta o registro Doação Maria Della Costa e Sandro Polônio SP 13/4/81, RJ 22/10/84 e RJ 3/9/84. da foto 1 a 10 consta o carimbo "" FOTO RACANELLI"""
Maria Della Costa e Sandro Polônio,Maria Della Costa | Sandro Polônio,ESP.CV,"Cenário do filme ""Tristezas não pagam dívidas"", 1943. Direção de Rui Costa e José carlos [Burde?]. Cenário de Sandro Polônio Fot. 1: Cenário Fot. 2: Cenário","1 dossiê (2 fotos: p&b; 8,7 x 12cm) : N° dig. 04.",126949,"[S.l.: s.n.], 1943.",Dossiê de fotografias,https://www.funarte.gov.br/colecoes-cedoc/tristezas-nao-pagam-dividas-1943-cenario-do-filme/,"Tristezas não pagam dívidas, 1943: Cenário do filme",,,"No verso das fotos consta ""Doação de Maria Della Costa e Sandro Polônio SP 13/4/81"""
Ítalo Rossi,Ítalo Rossi,ESP.TA,"Cena da peça ""O marido vai a caça"" e caricaturas (feitas por Lan). Teatro Senac. RJ - Rio de Janeiro, 1971. De Georges Feydeau. Tradução Mario da Silva. Direção Amie Haddad Fot. 1: Caricaturas de Fermanda Montenegro, Ítalo Rossi e Sergio Britto Fot. 2:","13 docs. (3 fots., 3 duplicatas e 7 negativos) : nº dig. 62, p&b, higienizadas/em bom estado de conservação ; 9cm x 12cm a 19,5 cm x 20,5 cm.",126941,"Rio de Janeiro : [s.n.], 1977.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/o-marido-vai-a-caca-rj-rio-de-janeiro-1971-fotos-de-caricaturas/,"O marido vai a caça / RJ - Rio de Janeiro, 1971: Fotos de caricaturas",,,
Ítalo Rossi,Ítalo Rossi,ESP.TA,"Fotos dos ensaios da peça ""Nicolau"". RJ - Rio de Janeiro, 1984. Texto e direção de Bráulio Pedroso. Cenário Irenio Maia. Figurinos Sílvia Sangirardi Fot. 1: Ítalo Rossi Fot. 2: Ítalo Rossi Fot. 3: Ítalo Rossi Fot. 4: Ítalo Rossi Fot. 5: Ítalo Rossi Fot.","6 fots. : nº dig. 97, p&b, higienizadas/em bom estado de conservação ; 17,5 cm x 23,5 cm a 24 cm x 17,5 cm.",126937,"Rio de Janeiro : [s.n.], 1984.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/nicolau-rj-rio-de-janeiro-1984-fotos-dos-ensaios-e-atriz-do-elenco/,"Nicolau / RJ - Rio de Janeiro, 1984: Fotos dos ensaios e atriz do elenco",,,
Ítalo Rossi,Ítalo Rossi,ESP.TA,"Cenas da peça ""A Margem da Vida"". S.l, 1957. De Tennesse Williams. Fot. 1: Fernanda Montenegro","1 fot. : p&b, higienizada/em bom estado de conservação ; 18cm x 24cm.",126925,"S.l : [s.n.], 1957.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/a-margem-da-vida-s-l-1957-cena-do-espetaculo/,"A Margem da Vida / S.l, 1957: Cena do espetáculo",,,"Na frente fa foto consta a dedicatória ""Ao Jonjoca (brasileiro) nas vésperas do grande estalo. A Vivi (brasileira) a melhor. Fefê Montê..."""
