Acervo,Agente,Classificação,Descrição,Descrição Física,Document,Imprenta,Inf. publicação,Link do Item,Título,Assuntos,Conteúdo,Locais
Sérgio Britto,Sergio Britto,ESP.TA,"Cena da peça ""Desejo"". Teatro Popular de Arte. SP - São Paulo, 1952. Autor Eugene O'Neill. Fot. 1: Sergio Britto","1 fot. : p&b, higienizada/em bom estado de conservação ; 16cm x 22,5cm.",128317,"[S.l.: s.n.], 1952.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/desejo-sp-sao-paulo-1952-cena-do-espetaculo/,"Desejo / SP - São Paulo, 1952: Cena do espetáculo",,,"No verso das fotos constam registros a caneta e ""INACEN-CENACEN Projeto Memória / Campanha de Doação. Doação: Sergio Brito - RJ, 12/11/84"""
Sérgio Britto,Sergio Britto,ESP.TA,"Foto da plateia no Teatro João Caetano. Peça ""Fogo no Pandeiro"". Teatro de Revista. RJ - Rio de Janeiro, 1946. Fot. 1: Platéia","1 fot. : p&b, higienizada/em bom estado de conservação ; 24cm x 18,5cm.",128313,"[S.l.: s.n.], 1946.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/fogo-no-pandeiro-rj-rio-de-janeiro-1946-plateia/,"Fogo no Pandeiro / RJ - Rio de Janeiro, 1946: Platéia",,,"Consta no verso da foto: ""27/06/946 Teatro João Caetano. Divulgação do Teatro (SNT). 5ªf. vesperal"""
Sérgio Britto,Sergio Britto,ESP.TA,"Imagem da entrada do Teatro João Caetano. Em cartaz ""Jogo Franco"" com Dercy Gonçalves, João Cabral, Rosa Sandrini, Fredy Romanita, Evilasio Marçal e Lily Norman. Cia de Revistas. RJ - Rio de Janeiro, 1946.","1 fot. : p&b, higienizada/em bom estado de conservação ; 23cm x 27,5cm.",128307,"Rio de Janeiro : [s.n.], 1946.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/jogo-franco-rj-rio-de-janeiro-1946-imagem-da-entrada-do-teatro/,"Jogo Franco / RJ - Rio de Janeiro, 1946: Imagem da entrada do teatro",,,"No verso da foto consta o carimbo ""FOTÓGRAFO NARCISO SANTOS DIÁRIO DA NOITE"""
Sérgio Britto,Sergio Britto,ESP.TA,"As fotos fazem parte da Coleção Sergio Britto. São cenas de peças diversas e fotos para mural de divulgação, cujos nomes não foram identificados. Obs 1: O autor do espetáculo registrado nas fotos de 1 a 8 é o romancista J.B Priestley. A apresentação ocor","31 fots. : p&b, higienizadas/em bom estado de conservação ; 12cm x 17,5cm a 23cm x 29,5cm.",128291,"[S.l.: s.n.], [1947; 19--].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/espetaculos-nao-identificados-1947-19-cenas-das-pecas-e-fotos-para-mural-de-divulgacao/,"Espetáculos não identificados, [1947; 19--]: Cenas das peças e fotos para mural de divulgação",,,"1. No verso das fotos 1, 2 e de 4 a 8, constam registros feitos a caneta, o carimbo ""MEC SEAC SNT Campanha de Doação - Projeto Memória. Doação: Sergio Brito - RJ, 21/01/81"" e ""Foto de WALDYR DE SOUZA"" 2. No verso das fotos, de 9 a 18 e 31, constam regist"
Sérgio Britto,Sergio Britto,ESP.TA,"Cenas do espetáculo ""Missa Leiga"". Teatro Tereza Raquel - RJ - Rio de Janeiro, 1973. Direção de Ademar Guerra Fot. 1 Sergio Britto Fot. 2: Dulcilene Moraes, Sergio Britto, Eduardo Andrews e Sylvia Heller Fot. 3: Ada [Chaseliore?], Enio Gonçalves, Sylvia","3 fots. : p&b, higienizadas/em bom estado de conservação ; 18cm x 24cm a 23cm x 17cm.",128139,"Rio de Janeiro : [s.n.], 1973.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/missa-leiga-rj-rio-de-janeiro-1973-cenas-do-espetaculo/,"Missa Leiga / RJ - Rio de Janeiro, 1973: Cenas do espetáculo",,,"1. No verso da foto 1 constam registros feitos a caneta e o carimbo ""MEC SEAC SNT Campanha de Doação - Projeto Memória. Doação: Sergio Brito - RJ, 21/01/81"" 2. No verso das fotos 2 e 3, consta ""INACEN-CENACEN Projeto Memória / Campanha de Doação. Doação:"
Sérgio Britto,Sergio Britto,ESP.TA,"Fotos de Espetáculos estrangeiros não identificados, [19--] 10 fotografias com imagens de espetáculos, interior de teatro e outros.","10 fots. : nº dig. 321, p&b, higienizadas/em bom estado de conservação ; 18cm x 23,5cm a 24cm x 18cm.",128135,"[S.l.: s.n.], [19--].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/espetaculos-estrangeiros-nao-identificados-19-fotos-de-espetaculos-interior-de-teatro-e-outros/,"Espetáculos estrangeiros não identificados, [19--]: Fotos de espetáculos, interior de teatro e outros",,,"No verso das fotos consta o carimbo ""MEC SEAC SNT Campanha de Doação - Projeto Memória. Doação: Sergio Brito - RJ, 21/01/81"""
Sérgio Britto,Sergio Britto,ESP.TA,"Cenas, bastidores e cenário da peça ""O Canto da Cotovia"", Teatro Maria Della Costa - São Paulo, 1954. Autoria de Jean Anouilh e direção de Gianni Ratto. Fot. 1: Sergio Britto no camarim (+1 duplicata) Fot. 2: Sergio Britto e atrizes não identificadas Fo","6 fots. (5 fots. e 1 duplicata) : nº dig. 24, p&b, higienizadas/em bom estado de conservação ; 17,2cm x 19,9cm a 23,5cm x 18cm.",127567,"São Paulo : [s.n.], 1954.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/o-canto-da-cotovia-sp-sao-paulo-1954-cenas-do-espetaculo-bastidores-e-cenario/,"O Canto da Cotovia / SP - São Paulo, 1954: Cenas do espetáculo, bastidores e cenário",,,"1. No verso das fotos de 1 a 4, consta ""INACEN-CENACEN Projeto Memória / Campanha de Doação. Doação: Sergio Brito - RJ, 12/11/84"". Na foto 1, ""KEFFEL FILHO - O CRUZEIRO"" e na foto 4, ""STUDIO FOTO TV LTDA - SÃO PAULO. 2. No verso da foto 5 consta o carimb"
Sérgio Britto,Sergio Britto,ESP.TA,"Cenas da peça ""O Beijo no Asfalto"". De Nelson Roderigues. Teatro Ginástico, 1961 e Teatro Maison de France (direção de Fernando Torres), 1962. RJ - Rio de Janeiro. Cia. Teatro dos 7 Fot. 1: Fernanda Montenegro, Maria Esmeralda Forte e Zilka Sallaberry -","5 fots. : nº dig. 17, p&b, higienizadas/em bom estado de conservação ; 17,5cm x 23,5cm a 23,5cm x 29,5cm.",127555,"Rio de Janeiro : [s.n.], [1961-62].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/o-beijo-no-asfalto-rio-de-janeiro-1961-62-cenas-do-espetaculo/,"O Beijo no Asfalto / Rio de Janeiro, [1961-62]: Cenas do espetáculo",,,"1. No verso da foto 1, consta o carimbo""MEC SEAC SNT Campanha de Doação - Projeto Memória. Doação: Sergio Brito - RJ, 21/01/81"" 2. No verso das fotos de 2 a 5, consta o registro ""INACEN-CENACEN Projeto Memória / Campanha de Doação. Doação: Sergio Brito -"
Othon Bastos,Othon Bastos,TA,"Cenas da peça ""O Profundo Mar Azul"". RJ - Rio de Janeiro, 1955. De Terence Rattingan. Direção de Adolfo Celi. Fot. 1: Mauricio Barroso, Tônia Carrero e Paulo Autran","1 fot. : nº dig. 49, p&b, higienizada/em bom estado de conservação ; 5,5 cm x 6 cm.",127517,"Rio de Janeiro : [s.n.], 1955.",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/o-profundo-mar-azul-rj-rio-de-janeiro-1955-cena-do-espetaculo/,"O Profundo Mar Azul / RJ - Rio de Janeiro, 1955: Cena do espetáculo",,,"No verso da foto consta o carimbo ""MEC - DAC - SNT Divisão de Documentação DOAÇÃO de Mª Lygia Lupinacci. 07/11/78"""
Othon Bastos,Othon Bastos,TA,"Peça Vida de Cachorro, déc. de 60. (Grupo da Universidade Federal da Bahia) Fots. 1 e 2: Othon Bastos (dir.)","2 fot. : nº dig. 37, p&b, higienizadas/bom estado de conservação ; 24 x 17,7cm.",127493,"[S.l.: s.n.], [1960].",Dossiê de fotografias - Português,https://www.funarte.gov.br/colecoes-cedoc/vida-de-cachorro-ba-bahia-1960-cenas-do-espetaculo/,"Vida de Cachorro, [BA - Bahia?], [1960]: Cenas do espetáculo",,,
