colecao,link_item,Criador,Data,Tipo,Título,Dimensões físicas,Data de criação,Meio,Nº de registro,Autor,Coleção,Material/Técnica
Canvas,https://artsandculture.google.com/asset/caboclinhos/IwG8uM82sUUbUg,Djanira,1952,encáustica sobre tela,Caboclinhos,w118 x d166 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/sapucaieiras-engalanadas-rio-de-janeiro-rj/HgGDSvsdIkksuw,João Batista da Costa,1922,óleo sobre tela,"Sapucaieiras engalanadas, Rio de Janeiro, RJ",,,,,,,
Canvas,https://artsandculture.google.com/asset/vista-de-mourillon-toulon-frana/DgEuFdtD7pGBHw,Giovanni Battista Castagneto,1892,óleo sobre tela,"Vista de Mourillon, Toulon, França",,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-do-poeta-lus-nicolau-fagundes-varela/rwHIzksAsn3UPw,Pedro Américo,1868/1869,óleo sobre tela,Retrato do poeta Luís Nicolau Fagundes Varela,,,,,,,
Canvas,https://artsandculture.google.com/asset/tarantela/JAE9qoMgtUHefg,Henrique Bernardelli,1886/1890,óleo sobre tela,Tarantela,,,,,,,
Canvas,https://artsandculture.google.com/asset/alegoria-da-astronomia-urnia/KQFJxglwshmuaw,Francesco Cozza,1620/1675,óleo sobre tela,,,,,,,,
Canvas,https://artsandculture.google.com/asset/virgem-dolorosa/jAG7MAFcW-zkgg,Pedro Américo,1883,óleo sobre tela,Virgem dolorosa,,,,,,,
Canvas,https://artsandculture.google.com/asset/descanso-da-modelo/BAEd3CGsYQzGTQ,JOSÉ FERRAZ DE ALMEIDA JÚNIOR,1882,óleo sobre tela,Descanso da modelo,w100 x d130 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/maestro-francisco-manuel-ditando-o-hino-nacional-a-suas-enteadas/SgEhzHQ-nJGTQg,José Correia de Lima,1850,óleo sobre tela,Maestro Francisco Manuel ditando o Hino Nacional a suas enteadas,,,,,,,
Canvas,https://artsandculture.google.com/asset/mulher-no-banho/wQFoLfpdAkooEQ,Raphaël Collin,1880/1915,óleo sobre tela,Mulher no banho,,,,,,,
Canvas,https://artsandculture.google.com/asset/costureira/eAEpJNUkzWiPzw,Djanira,1951,têmpera sobre tela,Costureira,,,,,,,
Canvas,https://artsandculture.google.com/asset/paisagem-de-ouro-preto-mg/2QHARNpIOtDniA,Emeric Marcier,1967,óleo sobre tela,"Paisagem de Ouro Preto, MG",,,,,,,
Canvas,https://artsandculture.google.com/asset/so-sebastio-hedonista/1wGGZMRsSdRluQ,Glauco Rodrigues,1983,tinta acrílica sobre tela colada em madeira,São Sebastião hedonista,w130 x d97 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-de-jos-shaw-da-motta/9wG5AAgdIina5A,Djanira,1954,óleo sobre tela,Retrato de José Shaw da Motta,,,,,,,
Canvas,https://artsandculture.google.com/asset/paisagem-de-ouro-preto-mg/wgEn-NQ6XFVg7A,Emeric Marcier,1967,óleo sobre tela,"Paisagem de Ouro Preto, MG",w65 x d92 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/famlia-infeliz/SgHwdDk9sil9qg,Nicolas François Octave Tassaert,1854,óleo sobre tela,Família infeliz,,,,,,,
Canvas,https://artsandculture.google.com/asset/estudo-de-mulher/QQFb6_cKm65thg,Rodolfo Amoedo,1884,óleo sobre tela,Estudo de mulher,,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-do-imperador-dom-pedro-ii/owEpu5BvwLupOg,Félix Émile Taunay,1837,óleo sobre tela,Retrato do imperador dom Pedro II,,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-do-intrpido-marinheiro-simo-carvoeiro-do-vapor-pernambucana/zgH-IM4NIEf8Hg,José Correia De Lima,1853,óleo sobre tela,"Retrato do intrépido marinheiro Simão, carvoeiro do vapor Pernambucana",w93 x d73 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/seqncia-um/-AGVLRciw8qapg,Antônio Henrique Amaral,1971,óleo sobre tela,Seqüência um,,,,,,,
Canvas,https://artsandculture.google.com/asset/ms-notcias/pAFLlCjyAg-cFg,RODOLFO AMOEDO,1895,Pintura,Más notícias,w100 x d74 (cm),,óleo sobre tela,,,,
Canvas,https://artsandculture.google.com/asset/autorretrato-ao-ar-livre/oAFLPCWgWhopow,Eliseu Visconti,1943,óleo sobre tela,Autorretrato ao ar livre,,,,,,,
Canvas,https://artsandculture.google.com/asset/morro-da-viva-rio-de-janeiro-rj/sQHYoij-7fcBLA,Joaquim José da França Júnior,1888,óleo sobre tela,"Morro da Viúva, Rio de Janeiro, RJ",,,,,,,
Canvas,https://artsandculture.google.com/asset/modelo-em-repouso/agG3aOeTPVq-6w,Artur Timóteo da Costa,1900/1922,óleo sobre tela,Modelo em repouso,,,,,,,
Canvas,https://artsandculture.google.com/asset/sem-ttulo/YgH6yxNUF25HYw,Daniel Senise,2002,Tinta acrílica sobre tela,Sem Título,w110 x d110 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/judite-e-holofernes/hAHxMyqF_BZ6-w,Pedro Américo,1880,óleo sobre tela,Judite e Holofernes,w229 x d142 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/estrutura/wAGxPEOnVl69UA,Iberê Camargo,1961,óleo sobre tela,Estrutura,w90 x d128 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/teatro-da-loucura/pAHj0RcgI8bhNA,Nicolas Antoine Taunay,1800/1830,óleo sobre tela,Teatro da Loucura,,,,,,,
Canvas,https://artsandculture.google.com/asset/abbora-e-anans/OQFkheJ-OG5zkQ,Agostinho da Mota,1850/1878,óleo sobre tela,Abóbora e ananás,w54 x d70 18 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/o-rio-morto-em-deauville/1wHEEAaTju0Nmw,Eugène Boudin,1890,óleo sobre tela,O rio morto em Deauville,w74.5 x h50.5,,,,,,
Canvas,https://artsandculture.google.com/asset/xodo-ii/GwE8i8o9-x5SlA,Lasar Segall,1949,óleo sobre tela,Êxodo II,w110 x d81 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/oficinas/xQHsJFcnrRrSgg,José Pancetti,1940,óleo sobre tela,Oficinas,,,,,,,
Canvas,https://artsandculture.google.com/asset/marinha-itanham/PgHiFmibMI2_EQ,José Pancetti,1945,óleo sobre tela,Marinha - Itanhaém,w46 x d65 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/anglica-e-medoro/DQFrhyf2AhHLgQ,Giovanni Lanfranco,1605/1647,óleo sobre tela,Angélica e Medoro,w168.8 x h133.8 cm,,,,,,
Canvas,https://artsandculture.google.com/asset/vaidade/lwFhTmr1kEw73A,Angelina Agostini,1913,óleo sobre tela,Vaidade,,,,,,,
Canvas,https://artsandculture.google.com/asset/cura-de-sol/tgHeJ-nCpoPNww,Eliseu Visconti,1919,óleo sobre tela,Cura de sol,w167 x d104 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/natureza-morta/oAHMgXrFHI3zKA,Estevão Silva,1889,óleo sobre tela,Natureza-morta,,,,,,,
Canvas,https://artsandculture.google.com/asset/vista-da-baa-de-guanabara-tomada-de-santa-teresa-rio-de-janeiro-rj/GwHI4i2QHht64A,Djanira,1979,tinta acrílica sobre tela,"Vista da baía de Guanabara tomada de Santa Teresa, Rio de Janeiro, RJ",,,,,,,
Canvas,https://artsandculture.google.com/asset/mineiros-de-carvo-santa-catarina/QwE2BxG4qk4vPQ,Djanira,1974,óleo sobre tela,"Mineiros de carvão, Santa Catarina",,,,,,,
Canvas,https://artsandculture.google.com/asset/a-grande-cidade-iluminada/WAGvMA2meaHNVg,ANTÔNIO BANDEIRA,1953,óleo sobre tela,A grande cidade iluminada,w72 x d91 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/la-e-maura/yAEbWfihHFYINw,Alberto da Veiga Guignard,1940,óleo sobre tela,Léa e Maura,w104 x d86 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/messalina/YgE6Rn5MU5BIuQ,Henrique Bernardelli,1878/1886,óleo sobre tela,Messalina,,,,,,,
Canvas,https://artsandculture.google.com/asset/canto-de-praia-so-domingos-niteri-rj/NgGrVEXWrk1hhw,Antônio Parreiras,1886,óleo sobre tela,"Canto de praia, São Domingos, Niterói, RJ",w56 x d99 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/bandeirinhas/ewEZmXHKbYSsXQ,Alfredo Volpi,1969,têmpera sobre tela,Bandeirinhas,w48 x d72 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/paisagem-de-santa-teresa-rio-de-janeiro/OgGf0mjX0aSvwQ,Inimá de Paula,1950,óleo sobre tela,"Paisagem de Santa Teresa, Rio de Janeiro",,,,,,,
Canvas,https://artsandculture.google.com/asset/colonos/0QGgByeMsqlRsg,Di Cavalcanti,1940,óleo sobre tela,Colonos,w97 x d130 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/vista-da-enseada-de-trouville/oQEZorYg4oaR5A,Eugène Boudin,1865,óleo sobre tela,Vista da enseada de Trouville,w46.5 x h32.5,,,,,,
Canvas,https://artsandculture.google.com/asset/a-bacante/4gF0sdWt5Iflgw,Vítor Meireles,1857/1858,óleo sobre tela,A bacante,,,,,,,
Canvas,https://artsandculture.google.com/asset/vieux-parc-paris/0AGEHUGF79LemA,Antônio Parreiras,1914,óleo sobre tela,"Vieux parc, Paris",,,,,,,
Canvas,https://artsandculture.google.com/asset/no-vero/YwEvpjquuaDsPg,Eliseu Visconti,1894,óleo sobre tela,No verão,,,,,,,
Canvas,https://artsandculture.google.com/asset/autorretrato-em-trs-posies/OgGcIaj6L0a_jA,Eliseu Visconti,1900/1940,óleo sobre tela,Autorretrato em três posições,,,,,,,
Canvas,https://artsandculture.google.com/asset/ventania/DwE46qb5a7wVFw,Alfred Sisley,1897,óleo sobre tela,Ventania,,,,,,,
Canvas,https://artsandculture.google.com/asset/casamento-da-virgem/-QELSc8hlRhiuw,Alvise Benfatto del Friso,1937,óleo sobre tela,Casamento da Virgem,,,,,,,
Canvas,https://artsandculture.google.com/asset/natureza-morta/4AHyh4FVJd-uJw,Maria Leontina,1952,óleo sobre tela,Natureza morta,w73 x d100 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/autorretrato/uwHGVC_OMDjwCA,Artur Timóteo da Costa,1919,óleo sobre tela,Autorretrato,,,,,,,
Canvas,https://artsandculture.google.com/asset/rabe/zwE__bUPq6dnEw,Alexandre Cabanel,1848/1880,óleo sobre tela,Árabe,,,,,,,
Canvas,https://artsandculture.google.com/asset/srie-cinco-carimbo-iii/awG1fEIZJYjWvQ,Paiva Brasil,1976,tinta vinílica sobre tela,Série cinco-carimbo III,w100 x d100 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/a-copa/fQEgzx9MxYGNxQ,Pedro Alexandrino,1897,óleo sobre tela,A copa,w178.7 x h213.8 cm,,,,,,
Canvas,https://artsandculture.google.com/asset/bom-tempo-ou-idlio-campestre/gQFLqYtjCSn2Ng,Belmiro de Almeida,1893,óleo sobre tela,Bom tempo ou Idílio campestre,,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-de-lusa-francisca-panasco/TwFTYLh1LZpFAA,August Müller,1843,óleo sobre tela,Retrato de Luísa Francisca Panasco,,,,,,,
Canvas,https://artsandculture.google.com/asset/composio-n-16/1AHEPLCpC-JFfA,Roberto Burle Marx,1970,óleo sobre tela,Composição nº 16,,,,,,,
Canvas,https://artsandculture.google.com/asset/interior-de-ateli/ygGhQ1zbTFScCg,Milton Dacosta,1944,óleo sobre tela,Interior de ateliê,w87 x d80 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/santa-maria-madalena-penitente/WwHFMWdldCEDYQ,Andrea Vaccaro,1620/1670,óleo sobre tela,Santa Maria Madalena Penitente,,,,,,,
Canvas,https://artsandculture.google.com/asset/peixes/HQHKmvXyocuC0A,Djanira,1950,têmpera sobre tela,Peixes,,,,,,,
Canvas,https://artsandculture.google.com/asset/igreja-de-santa-teresa/oQEZPG6bBcfhqg,Eliseu Visconti,1981/1988,óleo sobre tela,Igreja de Santa Teresa,,,,,,,
Canvas,https://artsandculture.google.com/asset/maternidade/jgHKpq3xeL-Nwg,HENRIQUE BERNARDELLI,1885,óleo sobre tela,Maternidade,w150 x d100 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/trabalhador-de-cal/RgGVQdAPrMRacg,Djanira,1974,óleo sobre tela,Trabalhador de cal,,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-de-maria-esposa-do-artista/ygHIeG5xSZ6EEA,Candido Portinari,1932,óleo sobre tela,"Retrato de Maria, esposa do artista",,,,,,,
Canvas,https://artsandculture.google.com/asset/estrada-de-ferro/8gGlO0dE9EC_yA,Roberto Burle Marx,1938,óleo sobre tela,Estrada de ferro,,,,,,,
Canvas,https://artsandculture.google.com/asset/trecho-do-jardim-botnico-rio-de-janeiro-rj/5AHu8Kdkp2CTow,Alberto da Veiga Guignard,1938,óleo sobre tela,"Trecho do Jardim Botânico, Rio de Janeiro, RJ",,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-do-cardeal-luigi-alessandro-omodei/vAEylOM5FX_1zA,"Baciccia, Giovanni Battista Gaulli, Dito",1925,óleo sobre tela,Retrato do Cardeal Luigi Alessandro Omodei,w97 x h122 cm,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-da-artista-senhora-escobar/BwErEHufGEHz8Q,Décio Vilares,1889,óleo sobre tela,Retrato da artista Senhora Escobar,,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-de-mulher/eQHb2-7XMwNZBA,François Biard,1929,óleo sobre tela,Retrato de mulher,w201 x h152 cm,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-do-crtico-de-arte-lus-gonzaga-duque-estrada/HQE1NL8BTZyDeQ,Eliseu Visconti,1899,óleo sobre tela,Retrato do crítico de arte Luís Gonzaga Duque Estrada,,,,,,,
Canvas,https://artsandculture.google.com/asset/natureza-morta/LAFpJ6bzfIJEnA,Estevão Silva,1891,óleo sobre tela,Natureza-morta,,,,,,,
Canvas,https://artsandculture.google.com/asset/cristo-com-esfera/8QFZFsRAWdD-Hw,Autor desconhecido,1600/1816,óleo sobre tela,Cristo com Esfera,,,,,,,
Canvas,https://artsandculture.google.com/asset/marte-e-venus/8QETIr7XAovBdA,Autor desconhecido,1600/1859,óleo sobre tela,Marte e Venus,,,,,,,
Canvas,https://artsandculture.google.com/asset/d-afonso-consultando-o-ermito/pQFdeB9iKMlR6A,Autor desconhecido,1600/1821,óleo sobre tela,D. Afonso consultando o ermitão,,,,,,,
Canvas,https://artsandculture.google.com/asset/ilha-da-boa-viagem-niteri-rj/3AFGEDqH0IQk5g,Gustavo Dall'ara,1910,óleo sobre tela,"Ilha da Boa Viagem, Niterói, RJ",,,,,,,
Canvas,https://artsandculture.google.com/asset/trabalhadores-de-cal/ugHL1E5ymtOOyg,Djanira,1974,óleo sobre tela,Trabalhadores de cal,,,,,,,
Canvas,https://artsandculture.google.com/asset/brodsqui/yQG4rqI52vRmBA,Candido Portinari,1948,óleo sobre tela,Brodósqui,,,,,,,
Canvas,https://artsandculture.google.com/asset/o-cozinheiro/cgE7sEKiIkhg8w,Joseph Bail,1880/1910,óleo sobre tela,O Cozinheiro,,,,,,,
Canvas,https://artsandculture.google.com/asset/autorretrato/bQH1HXV0rR8y2w,Teodoro de Bonna,1941,óleo sobre tela,Autorretrato,,,,,,,
Canvas,https://artsandculture.google.com/asset/pintura-206/0wFjM-9FkTV3zA,Ivan Serpa,1957,óleo sobre tela,Pintura 206,w100 x d100 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/vista-da-enseada-de-botafogo/1QFxMspVk6igoA,Nicolas Antoine Taunay,1816,óleo sobre tela,Vista da enseada de Botafogo,w46 x h32 cm,,,,,,
Canvas,https://artsandculture.google.com/asset/a-caminho-da-escola/zQGnqUcXyuvy6A,Eliseu Visconti,,óleo sobre tela,A caminho da escola,w65 x d81 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/gvea-golf/ywH5eNUGUN6eOA,Lucílio De Albuquerque,1928,óleo sobre tela,Gávea Golf,,,,,,,
Canvas,https://artsandculture.google.com/asset/loth-e-as-filhas/MwGNCAqHYj-SwQ,Andrea Vaccaro,1937,óleo sobre tela,Loth e as filhas,,,,,,,
Canvas,https://artsandculture.google.com/asset/bacantes-em-festa/dAGGXoUsWJZIsw,Rodolfo Chambelland,1905,óleo sobre tela,Bacantes em festa,,,,,,,
Canvas,https://artsandculture.google.com/asset/acidente-de-trabalho/rwF0JTCLIuVgTw,Eugênio Sigaud,1944,encáustica sobre tela,Acidente de trabalho,w132 x d95 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/vaso-com-flores/YwHAILOQf6V91Q,Belmiro de Almeida,1893,óleo sobre tela,Vaso com flores,,,,,,,
Canvas,https://artsandculture.google.com/asset/tarefa-pesada-favela/bQHQJHj16tQvCA,Gustavo Dall'ara,1913,óleo sobre tela,,,,,,,,
Canvas,https://artsandculture.google.com/asset/paisagem-de-ouro-preto-mg/GAGSAt-AXlCMUA,Anita Malfatti,1948,óleo sobre tela,"Paisagem de Ouro Preto, MG",,,,,,,
Canvas,https://artsandculture.google.com/asset/morte-do-visconde-de-turenne-marechal-de-frana/0gHu6PxM6zzBvA,Félix Émile Taunay,1800/1881,óleo sobre tela,"Morte do Visconde de Turenne, Marechal de França",,,,,,,
Canvas,https://artsandculture.google.com/asset/corando-a-roupa/9gFptiK4rpq9ww,George Morren,1894,óleo sobre tela,Corando a roupa,,,,,,,
Canvas,https://artsandculture.google.com/asset/a-charrete/2AFuLLLfNCH5Dw,Georgina de Albuquerque,1900/1960,óleo sobre tela,A charrete,,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-do-pintor-jean-baptiste-debret-cpia-do-original-de-manuel-de-arajo-porto-alegre/zQH4LssvODrC6g,Rodolfo Amoedo,,óleo sobre tela,Retrato do pintor Jean Baptiste Debret - cópia do original de Manuel de Araújo Porto-Alegre,,,,,,,
Canvas,https://artsandculture.google.com/asset/so-mateus-evangelista/2AHeMaHDxWfogQ,Nicolas Antoine Taunay,1800/1825,óleo sobre tela,São Mateus Evangelista,,,,,,,
Canvas,https://artsandculture.google.com/asset/autorretrato/pgFkDS2FcxP1xg,Angelina Agostini,1915,óleo sobre tela,Autorretrato,,,,,,,
Canvas,https://artsandculture.google.com/asset/vacas-no-prado-no-vale-do-toques/QAGQcsZ4sVobpQ,Eugène Boudin,1892,óleo sobre tela,Vacas no prado no Vale do Toques,w58.3 x h36,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-de-moa/RQH_4WCLFqcgQg,Eliseu Visconti,1900/1940,óleo sobre tela,Retrato de moça,,,,,,,
Canvas,https://artsandculture.google.com/asset/frutas/nAFCSEqs7rMA9g,Estevão Silva,1888,óleo sobre tela,Frutas,,,,,,,
Canvas,https://artsandculture.google.com/asset/panorama-do-rio-de-janeiro/KgEQ_V8VJaW3Ew,Nicola Facchinetti,1850/1880,óleo sobre tela,Panorama do Rio de Janeiro,w100 x d300 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/vestido-rosa/IQGU3aiT86v47A,Henrique Cavalleiro,1921,óleo sobre tela,Vestido rosa,,,,,,,
Canvas,https://artsandculture.google.com/asset/nos-bastidores/NQEGaxbm3aryHQ,João Fahrion,1950,óleo sobre tela,Nos bastidores,,,,,,,
Canvas,https://artsandculture.google.com/asset/martrio-de-so-sebastio/LAG6Kqwx1A2h7g,Autor desconhecido,1937,óleo sobre tela,Martírio de São Sebastião,,,,,,,
Canvas,https://artsandculture.google.com/asset/cristo-no-horto-das-oliveiras/9wHTHzX6Ga75ww,"Guercino, Giovanni Francesco Barbieri, dito IL",1937,óleo sobre tela,Cristo no horto das Oliveiras,,,,,,,
Canvas,https://artsandculture.google.com/asset/xtase-de-santa-maria-madalena/VQG4b3iNMBBQDg,Francesco Albani,1937,óleo sobre tela,Êxtase de Santa Maria Madalena,,,,,,,
Canvas,https://artsandculture.google.com/asset/vista-da-baa-de-guanabara-tomada-de-santa-teresa-rio-de-janeiro-rj/gAHQ49QwHX9CTw,Djanira,1979,tinta acrílica sobre tela,"Vista da baía de Guanabara tomada de Santa Teresa, Rio de Janeiro, RJ",,,,,,,
Canvas,https://artsandculture.google.com/asset/bordeaux-o-porto/tAEe_37MIa7pFw,Eugène Boudin,1876,óleo sobre tela,Bordeaux. O porto,w46.7 x h31.2,,,,,,
Canvas,https://artsandculture.google.com/asset/paisagem/cAHRlVFzzQ3y_A,Francisco Rebolo,1954,óleo sobre tela,Paisagem,,,,,,,
Canvas,https://artsandculture.google.com/asset/lapa-rio-de-janeiro-rj/XwHjTj_GVsGN6w,Iberê Camargo,1947,óleo sobre tela,"Lapa, Rio de Janeiro, RJ",,,,,,,
Canvas,https://artsandculture.google.com/asset/a-deposio-do-cristo/MwF4Fo0H_BQW0Q,Autor desconhecido,1937,óleo sobre tela,A Deposição do Cristo,,,,,,,
Canvas,https://artsandculture.google.com/asset/paisagem-pernambucana/7AGKcYeJUme5VA,Teles Júnior,1901,"óleo sobre tela,",Paisagem pernambucana,,,,,,,
Canvas,https://artsandculture.google.com/asset/natureza-morta-com-frutas/UAHs0RZqL6SqFQ,Abraham Brueghel,1650/1697,óleo sobre tela,Natureza morta com frutas,,,,,,,
Canvas,https://artsandculture.google.com/asset/autorretrato/8gHWTSeelT4XIw,Georgina de Albuquerque,1904,óleo sobre tela,Autorretrato,,,,,,,
Canvas,https://artsandculture.google.com/asset/estudo-para-panorama-do-rio-de-janeiro-entrada-da-barra/1AHdsMkeYtJQXA,Vítor Meireles,1885,óleo sobre tela,,w195.3 x h57 cm,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-do-baro-de-so-joaquim/VAEbiGNrcrt26w,Edouard Vienot - Henri Georges Morisset,1877,óleo sobre tela,Retrato do Barão de São Joaquim,,,,,,,
Canvas,https://artsandculture.google.com/asset/consertando-a-rede/bwFSQvcNfUUMDw,Raimundo Cela,1947,óleo sobre tela,Consertando a rede,,,,,,,
Canvas,https://artsandculture.google.com/asset/cristo-carregando-a-cruz/JQEtaF7joXR_lg,Hieronymus Francken (atribuído),1937,óleo sobre tela,Cristo carregando a cruz,,,,,,,
Canvas,https://artsandculture.google.com/asset/sob-a-verdura/JQFXedy9WBhbwQ,José Julio De Souza Pinto,1870/1939,óleo sobre tela,Sob a verdura,,,,,,,
Canvas,https://artsandculture.google.com/asset/grota/wAGzCcKVpJ-iIA,Manuel de Araújo Porto Alegre,,óleo sobre tela,Grota,w35 x d27 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/pintura-n-2/HwHHn7Jk6DfH-g,Tomie Ohtake,1960,óleo sobre tela,Pintura nº 2,,,,,,,
Canvas,https://artsandculture.google.com/asset/morro-da-guia-cabo-frio-rj/MQGDs6zAOqyxAQ,Djanira,1970,óleo sobre tela,"Morro da Guia, Cabo Frio, RJ",,,,,,,
Canvas,https://artsandculture.google.com/asset/natureza-morta-com-flores/OQGmPVJX82WVIw,Abraham Brueghel,1655/1697,óleo sobre tela,Natureza morta com flores,,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-da-baronesa-de-so-joaquim/6wGHWk8QxIG6iw,Edouard Vienot - Henri Georges Morisset,1877,óleo sobre tela,Retrato da Baronesa de São Joaquim,,,,,,,
Canvas,https://artsandculture.google.com/asset/flores-no-vaso/AgF7D1DwaMUAwg,José Julio De Souza Pinto,1870/1939,óleo sobre tela,Flores no vaso,,,,,,,
Canvas,https://artsandculture.google.com/asset/exposed-painting-cadmium-orange/QwEjzzSqawv7_A,Callum Innes,1980/2010,óleo sobre tela,Exposed Painting Cadmium Orange,,,,,,,
Canvas,https://artsandculture.google.com/asset/sem-ttulo/rQGy6v0rmlIBpg,Beatriz Milhazes,1980/2010,acrílica sobre tela,Sem título,,,,,,,
Canvas,https://artsandculture.google.com/asset/nas-colinas/GAFDvKRvmKCvVA,Fernando Fader,1906,óleo sobre tela,Nas colinas,,,,,,,
Canvas,https://artsandculture.google.com/asset/pastoreio-gacho/mAEf__RMBRclfA,Fernando Fader,1906,óleo sobre tela,Pastoreio gaúcho,,,,,,,
Canvas,https://artsandculture.google.com/asset/vista-da-baa-de-guanabara-tomada-de-santa-teresa-rio-de-janeiro-rj/JQHLQM_r0Ji8GQ,Djanira,1979,tinta acrílica sobre tela,"Vista da baía de Guanabara tomada de Santa Teresa, Rio de Janeiro, RJ",,,,,,,
Canvas,https://artsandculture.google.com/asset/vista-de-npoles/XwFmH8u95qzRqQ,Giovanni Serritelli,1830/1860,óleo sobre tela,Vista de Nápoles,,,,,,,
Canvas,https://artsandculture.google.com/asset/so-lucas-evangelista/SAGOTIi6B4tTtw,Nicolas Antoine Taunay,1800/1825,óleo sobre tela,São Lucas Evangelista,,,,,,,
Canvas,https://artsandculture.google.com/asset/pescadores/gQG5SJARyJMt7A,Tomás Santa Rosa,1943,óleo sobre tela,Pescadores,,,,,,,
Canvas,https://artsandculture.google.com/asset/cruzadores-em-villefranche/AQG8W8W3iq2Ebw,Eugène Boudin,1882,óleo sobre tela,Cruzadores em Villefranche,w55.6 x h40.5,,,,,,
Canvas,https://artsandculture.google.com/asset/geraes-i-a-partir-de-rembrandt/xwGn_eYXUpOFHw,Walter Goldfarb,2003,"bordado, carvão, têmpera e tinta acrílica sobre lona",Gerações I - a partir de Rembrandt,,,,,,,
Canvas,https://artsandculture.google.com/asset/natureza-morta/jQHQi8gzjk07zQ,Djanira,1961/1970,óleo sobre tela,Natureza morta,,,,,,,
Canvas,https://artsandculture.google.com/asset/retrato-de-mulher/OQHgXwg1_eUhzw,Dimitri Ismailovitch,1937,óleo sobre tela,Retrato de mulher,,,,,,,
Canvas,https://artsandculture.google.com/asset/os-bandeirantes/iQFoadS7egoM6w,HENRIQUE BERNARDELLI,1930,óleo sobre tela,Os bandeirantes,w400 x d290 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/a-cascatinha-da-tijuca-rio-de-janeiro-rj/jgE8rqa66FH-Bw,Henri Nicolas Vinet,1876,óleo sobre tela,"A cascatinha da Tijuca, Rio de Janeiro, RJ",,,,,,,
Canvas,https://artsandculture.google.com/asset/saveiros/egGLrbXfh_RUmA,Antônio Garcia Bento,1925,óleo sobre tela,Saveiros,,,,,,,
Canvas,https://artsandculture.google.com/asset/estudo-de-reflexos/zwEYwsMqWo7WvA,Carlos Oswald,1909,óleo sobre tela,Estudo de reflexos,w76 x d58 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/olinda/tgEAb8kgHWUb-g,Frans Post,1637/1680,óleo sobre tela,Olinda,,,,,,,
Canvas,https://artsandculture.google.com/asset/so-joo-evangelista/9AHz8uG9Z0T6zA,Nicolas Antoine Taunay,1800/1825,óleo sobre tela,São João Evangelista,,,,,,,
Canvas,https://artsandculture.google.com/asset/zumbido-zoantrpico/TQHAjBBTt7tAVw,Jorge Guinle,1980,óleo sobre tela,Zumbido Zoantrópico,,,,,,,
Canvas,https://artsandculture.google.com/asset/sem-ttulo/kwGrdixWu0jYYw,Sergio Fingermann,2001,Óleo sobre tela,Sem Título,w180 x d239 (cm),,,,,,
Canvas,https://artsandculture.google.com/asset/bianca/bAHd-g0OSSKoCg,Eugênio Latour,1912,óleo sobre tela colada em cartão,Bianca,,,,,,,
Canvas,https://artsandculture.google.com/asset/paisagem-de-niteri-rj/LgEuVzSF7ZABnw,Firmino Monteiro,1880/1888,óleo sobre tela,"Paisagem de Niterói, RJ",,,,,,,
Canvas,https://artsandculture.google.com/asset/abril-ou-poesia-da-tarde/IQE_c7Vruv0c7w,João Batista da Costa,1895,óleo sobre tela,Abril ou Poesia da tarde,,,,,,,
