colecao,link_item,Criador,Data,Tipo,Título,Dimensões físicas,Data de criação,Meio,Nº de registro,Autor,Coleção,Material/Técnica
Oil paint,https://artsandculture.google.com/asset/estudo-para-combate-naval-do-riachuelo/vgH8JtbCQrKgQg,Vítor Meireles,1872,óleo sobre cartão colado em tela,Estudo para Combate naval do Riachuelo,w79 x d156 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/a-partida-de-jacob/XwHso-5O7ptbBQ,Rodolfo Amoedo,1884,óleo sobre tela,A partida de Jacob,,,,,,,
Oil paint,https://artsandculture.google.com/asset/alegoria-s-artes/XwEkF2F7jy5Fzg,Léon Pallière,1855,óleo sobre tela,Alegoria às artes,w415 x h305 cm,,,,,,
Oil paint,https://artsandculture.google.com/asset/vista-de-um-mato-virgem-que-se-est-reduzindo-a-carvo/QAGZO4ZH9R76fg,Félix Émile Taunay,1843,óleo sobre tela,Vista de um mato virgem que se está reduzindo a carvão,w134 x d195 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/gozando-os-rendimentos/FwGCbMZxTAH-gQ,José Malhoa,1893,óleo sobre madeira,Gozando os rendimentos,,,,,,,
Oil paint,https://artsandculture.google.com/asset/a-corar-a-roupa/WwEsWFhl8xnF5g,José Malhoa,1880/1922,óleo sobre tela,A corar a roupa,,,,,,,
Oil paint,https://artsandculture.google.com/asset/mamo-e-melancia/8gFHh5iPXAwn7w,Agostinho da Mota,1860,óleo sobre tela,Mamão e melancia,w54 x d65 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/estudo-para-questo-christie/LAGBo0FCHOH_NA,Vítor Meireles,1864,óleo sobre tela,"Estudo para ""Questão Christie""",,,,,,,
Oil paint,https://artsandculture.google.com/asset/pgaso/twGiLBfPrAeOlA,Jan Boeckhorst,1634/1688,óleo sobre tela,Pégaso,,,,,,,
Oil paint,https://artsandculture.google.com/asset/o-voto-de-heloisa/7QGW1awSEEztyg,Pedro Américo,1880,óleo sobre tela,O voto de Heloisa,w150 x d104 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/deucalio-e-pirra/FAFcD1x7hQsmcA,"RAFFAELLINO, Giovanni Maria Botalla, Dito IL",1633/1644,óleo sobre tela,Deucalião e Pirra,w52 x h38.9 cm,,,,,,
Oil paint,https://artsandculture.google.com/asset/roceiras/sAEDtvKEjm1clA,Georgina de Albuquerque,1930,óleo sobre tela,Roceiras,,,,,,,
Oil paint,https://artsandculture.google.com/asset/dia-de-vero/VQHa9yN5jImnCw,Georgina de Albuquerque,1926,óleo sobre tela,Dia de verão,w89 x h130 cm,,,,,,
Oil paint,https://artsandculture.google.com/asset/lagoa-rodrigo-de-freitas-rio-de-janeiro-rj/zAH7XGs6GZHZ8Q,Nicola Facchinetti,1884,óleo sobre madeira,"Lagoa Rodrigo de Freitas, Rio de Janeiro, RJ",w23 x d65 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/engenho-de-mandioca/BgFrMojhTFFp-Q,Modesto Brocos,,óleo sobre tela,Engenho de mandioca,,1892,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-da-criada-jeanneton/QgGwDNeTgStHuQ,Nicolas Antoine Taunay,,óleo sobre tela,Retrato da criada Jeanneton,,,,,,,
Oil paint,https://artsandculture.google.com/asset/estudo-para-casamento-da-princesa-isabel/BwH4OFr_DX5jpw,Vítor Meireles,1864,óleo sobre cartão colado em madeira,"Estudo para ""Casamento da Princesa Isabel"",",,,,,,,
Oil paint,https://artsandculture.google.com/asset/sapucaieiras-engalanadas-rio-de-janeiro-rj/HgGDSvsdIkksuw,João Batista da Costa,1922,óleo sobre tela,"Sapucaieiras engalanadas, Rio de Janeiro, RJ",,,,,,,
Oil paint,https://artsandculture.google.com/asset/vista-de-mourillon-toulon-frana/DgEuFdtD7pGBHw,Giovanni Battista Castagneto,1892,óleo sobre tela,"Vista de Mourillon, Toulon, França",,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-do-poeta-lus-nicolau-fagundes-varela/rwHIzksAsn3UPw,Pedro Américo,1868/1869,óleo sobre tela,Retrato do poeta Luís Nicolau Fagundes Varela,,,,,,,
Oil paint,https://artsandculture.google.com/asset/tarantela/JAE9qoMgtUHefg,Henrique Bernardelli,1886/1890,óleo sobre tela,Tarantela,,,,,,,
Oil paint,https://artsandculture.google.com/asset/alegoria-da-astronomia-urnia/KQFJxglwshmuaw,Francesco Cozza,1620/1675,óleo sobre tela,,,,,,,,
Oil paint,https://artsandculture.google.com/asset/trecho-da-praia-de-so-roque-em-paquet-rj/3gHHM5r7BZ5YGQ,Giovanni Battista Castagneto,1898,óleo sobre madeira,"Trecho da Praia de São Roque em Paquetá, RJ",,,,,,,
Oil paint,https://artsandculture.google.com/asset/igreja-de-so-cosme-e-so-damio-em-igarassu/SAGBCOBG8JM8cA,Frans Post,1637/1680,óleo sobre madeira,Igreja de São Cosme e São Damião em Igarassu,,,,,,,
Oil paint,https://artsandculture.google.com/asset/virgem-dolorosa/jAG7MAFcW-zkgg,Pedro Américo,1883,óleo sobre tela,Virgem dolorosa,,,,,,,
Oil paint,https://artsandculture.google.com/asset/descanso-da-modelo/BAEd3CGsYQzGTQ,JOSÉ FERRAZ DE ALMEIDA JÚNIOR,1882,óleo sobre tela,Descanso da modelo,w100 x d130 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/maestro-francisco-manuel-ditando-o-hino-nacional-a-suas-enteadas/SgEhzHQ-nJGTQg,José Correia de Lima,1850,óleo sobre tela,Maestro Francisco Manuel ditando o Hino Nacional a suas enteadas,,,,,,,
Oil paint,https://artsandculture.google.com/asset/mulher-no-banho/wQFoLfpdAkooEQ,Raphaël Collin,1880/1915,óleo sobre tela,Mulher no banho,,,,,,,
Oil paint,https://artsandculture.google.com/asset/paisagem-de-ouro-preto-mg/2QHARNpIOtDniA,Emeric Marcier,1967,óleo sobre tela,"Paisagem de Ouro Preto, MG",,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-de-jos-shaw-da-motta/9wG5AAgdIina5A,Djanira,1954,óleo sobre tela,Retrato de José Shaw da Motta,,,,,,,
Oil paint,https://artsandculture.google.com/asset/paisagem-de-pernambuco/8wFFvjFsevKYww,Frans Post,1637/1680,óleo sobre madeira,Paisagem de Pernambuco,,,,,,,
Oil paint,https://artsandculture.google.com/asset/paisagem-de-ouro-preto-mg/wgEn-NQ6XFVg7A,Emeric Marcier,1967,óleo sobre tela,"Paisagem de Ouro Preto, MG",w65 x d92 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/famlia-infeliz/SgHwdDk9sil9qg,Nicolas François Octave Tassaert,1854,óleo sobre tela,Família infeliz,,,,,,,
Oil paint,https://artsandculture.google.com/asset/recanto-de-praia/sQHS4RCL3ttpsA,Silva Porto,1880/1893,óleo sobre madeira,Recanto de praia,,,,,,,
Oil paint,https://artsandculture.google.com/asset/estudo-de-mulher/QQFb6_cKm65thg,Rodolfo Amoedo,1884,óleo sobre tela,Estudo de mulher,,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-do-imperador-dom-pedro-ii/owEpu5BvwLupOg,Félix Émile Taunay,1837,óleo sobre tela,Retrato do imperador dom Pedro II,,,,,,,
Oil paint,https://artsandculture.google.com/asset/retrato-do-intrpido-marinheiro-simo-carvoeiro-do-vapor-pernambucana/zgH-IM4NIEf8Hg,José Correia De Lima,1853,óleo sobre tela,"Retrato do intrépido marinheiro Simão, carvoeiro do vapor Pernambucana",w93 x d73 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/seqncia-um/-AGVLRciw8qapg,Antônio Henrique Amaral,1971,óleo sobre tela,Seqüência um,,,,,,,
Oil paint,https://artsandculture.google.com/asset/ms-notcias/pAFLlCjyAg-cFg,RODOLFO AMOEDO,1895,Pintura,Más notícias,w100 x d74 (cm),,óleo sobre tela,,,,
Oil paint,https://artsandculture.google.com/asset/autorretrato-ao-ar-livre/oAFLPCWgWhopow,Eliseu Visconti,1943,óleo sobre tela,Autorretrato ao ar livre,,,,,,,
Oil paint,https://artsandculture.google.com/asset/morro-da-viva-rio-de-janeiro-rj/sQHYoij-7fcBLA,Joaquim José da França Júnior,1888,óleo sobre tela,"Morro da Viúva, Rio de Janeiro, RJ",,,,,,,
Oil paint,https://artsandculture.google.com/asset/modelo-em-repouso/agG3aOeTPVq-6w,Artur Timóteo da Costa,1900/1922,óleo sobre tela,Modelo em repouso,,,,,,,
Oil paint,https://artsandculture.google.com/asset/judite-e-holofernes/hAHxMyqF_BZ6-w,Pedro Américo,1880,óleo sobre tela,Judite e Holofernes,w229 x d142 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/estrutura/wAGxPEOnVl69UA,Iberê Camargo,1961,óleo sobre tela,Estrutura,w90 x d128 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/paisagem-fluvial-petrpolis-rj/4wEQNN1bCaxnjA,João Batista da Costa,1922,óleo sobre madeira,"Paisagem fluvial, Petrópolis, RJ",,,,,,,
Oil paint,https://artsandculture.google.com/asset/teatro-da-loucura/pAHj0RcgI8bhNA,Nicolas Antoine Taunay,1800/1830,óleo sobre tela,Teatro da Loucura,,,,,,,
Oil paint,https://artsandculture.google.com/asset/abbora-e-anans/OQFkheJ-OG5zkQ,Agostinho da Mota,1850/1878,óleo sobre tela,Abóbora e ananás,w54 x d70 18 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/o-rio-morto-em-deauville/1wHEEAaTju0Nmw,Eugène Boudin,1890,óleo sobre tela,O rio morto em Deauville,w74.5 x h50.5,,,,,,
Oil paint,https://artsandculture.google.com/asset/xodo-ii/GwE8i8o9-x5SlA,Lasar Segall,1949,óleo sobre tela,Êxodo II,w110 x d81 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/oficinas/xQHsJFcnrRrSgg,José Pancetti,1940,óleo sobre tela,Oficinas,,,,,,,
Oil paint,https://artsandculture.google.com/asset/marinha-itanham/PgHiFmibMI2_EQ,José Pancetti,1945,óleo sobre tela,Marinha - Itanhaém,w46 x d65 (cm),,,,,,
Oil paint,https://artsandculture.google.com/asset/purgatrio/ewE4AGv4-6tAwA,Candido Portinari,1944,óleo sobre madeira,Purgatório,w200 x h60 cm,,,,,,
Oil paint,https://artsandculture.google.com/asset/anglica-e-medoro/DQFrhyf2AhHLgQ,Giovanni Lanfranco,1605/1647,óleo sobre tela,Angélica e Medoro,w168.8 x h133.8 cm,,,,,,
Oil paint,https://artsandculture.google.com/asset/vaidade/lwFhTmr1kEw73A,Angelina Agostini,1913,óleo sobre tela,Vaidade,,,,,,,
Oil paint,https://artsandculture.google.com/asset/cura-de-sol/tgHeJ-nCpoPNww,Eliseu Visconti,1919,óleo sobre tela,Cura de sol,w167 x d104 (cm),,,,,,
