link_item,titulo
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/13-museu-nacional-de-belas-artes-recebe-exposicao-de-obras-primas-do-vaticano.html,Museu Nacional de Belas Artes recebe exposição de obras-primas do Vaticano
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/12-museu-nacional-de-belas-artes-exibe-obras-restauradas.html,Museu Nacional de Belas Artes exibe obras restauradas
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/11-museu-nacional-de-belas-artes-galeria-de-arte-brasileira-do-sec-xix-programa-andante.html,Museu Nacional de Belas Artes - Galeria de Arte Brasileira do Séc. XIX - Programa Andante
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/10-museu-nacional-de-belas-artes-do-rio-recebe-exposicao.html,Museu Nacional de Belas Artes do Rio recebe exposição
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/9-conhecendo-museus-serie-l-museu-nacional-de-belas-artes.html,Conhecendo Museus - Série l - Museu Nacional de Belas Artes
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/8-conhecendo-museus-episodio-42-museu-nacional-de-belas-artes.html,Conhecendo Museus - Episódio 42: Museu Nacional de Belas Artes
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/7-museu-nacional-de-belas-artes-mnba.html,Museu Nacional de Belas Artes - MNBA
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/6-museu-nacional-de-belas-artes-rj.html,Museu Nacional de Belas Artes - RJ
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/5-museu-nacional-de-belas-artes-galeria-de-arte-brasileira-do-sec-xix-programa-andante.html,Museu Nacional de Belas Artes - Galeria de Arte Brasileira do Séc. XIX - Programa Andante
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/4-museu-nacional-de-belas-artes-mnba-rio-de-janeiro-parte-2.html,"Museu Nacional de Belas Artes (MNBA), Rio de Janeiro - Parte 2."
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/3-museu-nacional-de-belas-artes-mnba-no-rio-de-janeiro-parte-1.html,"Museu Nacional de Belas Artes (MNBA), no Rio de Janeiro - Parte 1"
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/2-rio-tv-camara-museu-nacional-de-belas-artes.html,Rio TV Câmara - Museu Nacional  de Belas Artes
https://mnba.gov.br/portal/imprensa/galeria-de-videos/video/1-conhecendo-museus-episodio-42-museu-nacional-de-belas-artes.html,Conhecendo Museus - Episódio 42: Museu Nacional de Belas Artes
