Assuntos;Catalogação Pré MARC;Descrição Física;Entradas Secundárias/Autor;Entradas Secundárias/Série;Notas;Número de chamada;Publicação;Série;Título Principal;Unidade_de_Informação;Endereço Eletrônico;Autor Principal;ISBN;Edição;Outros Títulos;ISSN;Nota de conteúdo;Número de Chamada;Título Uniforme/Original;Coleção;Notas de Resumo;Notas Locais;Acesso Eletrônico;Local e Editora da Publicação;Localização do Artigo;Título do Artigo;Autor do Artigo;Freqüência da Publicação;Título Anterior;Título Chave/Abreviado
Desenho  Etnografia  Astronomia  Botânica  Aquarelas  Ceará  Mineralogia;;"253  p. : il. ; 25 cm";Beserra, José Ramiro  org.;;;750  C331a  IPHAN-ES  750  C331a  CDP (Brasília)  750  A656  IPHAN-SC  750  A656  IPHAN-PA;Fortaleza : Iphan, 2016.;;Aquarelas & desenhos do Ceará oitocentista : o trabalho do José dos Reis Carvalho na Comissão Científica de Exploração (1859-1861) / Organização, José Ramiro Teles Beserra;IPHAN-PA(571);Imagem;;ISBN 9788573343038;;;;;;;;;;;;;;;;;
Bens culturais. preservação. educação patrimônial;;36 p.;Paiva, Olga Gomes de  coord.;;;370.098131  P149a  IPHAN-PA;Fortaleza : Iphan, 2000.;;Aracati : patrimônio de todos: roteiro para a preservação do patrimônio cultural / Coordenadora - Olga Gomes de Paiva;IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Arqueologia;;37 p.;Weissheimer, Maria Regina  org.;;;930.1  A772  IPHAN-PA;Brasília : Iphan, 2009.;;Arqueologia / [organização Maria Regina Weissheimer];IPHAN-PA(571);;;;;;;;;;;;;;;;;;;;
Amazônia  Amazônia - congressos  Antiguidades - congressos  Escavações;;2 v.;Pereira, Edithe  org.  Guapindaia, Vera (org.);;;981.811  P436a  IPHAN-PA;"Belém : MPEG; IPHAN, 2010.";;Arqueologia Amazônica / organizado por Edithe Pereira e Vera Guapindaia;IPHAN-PA(571);;;ISBN 9788561377212  ISBN 9788561377229;;;;;;;;;;;;;;;;;
Arqueologia  Patrimônio arqueologico  Arqueologia social;;214 p.;;;;930  B327a  IPHAN-PA;São Paulo : Superintendência do IPHAN em São Paulo, 2010.;;Uma arqueologia dos desaparecidos : identidades vulneráveis e memórias partidas /;IPHAN-PA(571);;Bastos, Rossano Lopes;;;;;;;;;;;;;;;;;;
Arqueologia  História  Preservação  Bens culturais;;"83 p. ; 24 cm";;;;930.10202  N162a  IPHAN-PA;Brasília : Iphan, 2005.;;Arqueologia histórica : manual / Rosana Najjar;IPHAN-PA(571);Imagem;Najjar, Rosana;;;;;;;;;;;;;;;;;;
Patrimônio arqueológico. arqueologia pública  Sociedade  Arqueologia;;163  p.;;;;902  A772  IPHAN-PA  930.1  A772a  IPHAN-AP;Erechim, RS : Habilis, 2007.;;A arqueologia na ótica institucional : IPHAN, contrato e sociedade  Organização: Rossano Lopes Bastos ...[et al.];IPHAN-PA(571);;;ISBN 9788560967001;;;;;;;;;;;;;;;;;
Bahia  Arqueologia  Bahia. pelourinho;;294  p. : il. color.  23 cm;Najjar, Rosana  org.;Registro;;930  N162a  IPHAN-PA  913.031  A772a  IPHAN-AP  930.981  A772  CDP (Rio de Janeiro);Brasília : IPHAN, MONUMENTA, 2010.;(Registro  3);Arqueologia no Pelourinho  Rosana Najjar (org.);IPHAN-PA(571);Imagem;;ISBN 9788573347168;;;;;;;;;;;;;;;;;
Conservação de bens culturais  Arqueologia preventiva;;312 p.;;;;930  S725a  IPHAN-PA;São Paulo : Iphan, 2010.;;Arqueologia preventiva : gestão e mediação de estudos comparativos;IPHAN-PA(571);;Souza, Marise Campos de (org.);;;;;;;;;;;;;;;;;;
Brasil  Brasil colonia. arquitetura e arte  Barroco;;256 p.;;;;724.19  B975a  IPHAN-PA;Brasília : IPHAN, MONUMENTA, 2006.;;Arquitetura e arte no Brasil colonial /;IPHAN-PA(571);;Bury, John;;;;;;;;;;;;;;;;;;
Brasil  Arquitetura moderna;;288 p.;;;;724.6081  M616  IPHAN-PA;Rio de Janeiro : Iphan, 2000.;;Arquitetura moderna no Brasil /;IPHAN-PA(571);;Mindlin, Henrique E.;;;;;;;;;;;;;;;;;;
Brasil. arquitetura  Arquitetura  Região sul  Brasil;;367 p.;;;;720.981  A772  2. ed.  IPHAN-PA;Brasília : Iphan, 2008.;;Arquitetura na formação do Brasil /;IPHAN-PA(571);;Bicca, Briane.;;2. ed.;;;;;;;;;;;;;;;;
Brasil  Arquitetura religiosa;;164 p.;;"Textos escolhidos da Revista do Instituto do Patrimônio Histórico Artístico Nacional; 6";Consulta local;726.50981  C331  Vol.6  IPHAN-PA;São Paulo, SP: Brasília, DF : USP, IPHAN, 1978.;"(Textos escolhidos da Revista do Instituto do Patrimônio Histórico Artístico Nacional; 6)";Arquitetura religiosa /;IPHAN-PA(571);;Carvalho, Ayrton Et Al;;;;;;;;;;;;;;;;;;
;;270 p.;;;;726.0981  A475  IPHAN-PA;Rio de Janeiro : UFRJ, IPHAN, 1997.;;Arquitetura Religiosa Colonial no Rio de Janeiro /;IPHAN-PA(571);;Alvim, Sandra   1951-;ISBN 85-7334-007-x;;;;;;;;;;;;;;;;;
