Nome;Condição;Tipo;UF;Município;Coordenada(s)_geográfica(s);Contatos;Bens_vinculados_Condição;Bens_vinculados_Nome;Bens_vinculados_Categoria;Bens_vinculados_Abrangência;Ações_vinculados_Tipo;Ações_vinculados_Nome;Ações_vinculados_Instrumento;Ações_vinculados_Situação;Página
APG (Associação das Paneleiras de Goiabeiras);Referência/Partícipe;Associação de detentores;ES;Vitória;-20,269182000000008   -40,302948;Nenhum registro encontrado;Registrado;Ofício das Paneleiras de Goiabeiras;Saberes;Local;Reconhecimento;Registro do Ofício das Paneleiras de Goiabeiras como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/1/
Apina (Conselho das Aldeias Wajãpi);Referência/Partícipe;Associação de detentores;AP;Pedra Branca do Amapari;1,168229682440268   -52,836003430156126;Nenhum registro encontrado;Registrado;Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi;Formas de expressão;Local;Reconhecimento;Registro da Arte Kusiwá - Pintura Corporal e Arte Gráfica Wajãpi como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/2/
Museu do Índio/FUNAI;Referência/Partícipe;Instituição pública federal;RJ;Rio de Janeiro;-22,952019656067456   -43,191305861489866;Nenhum registro encontrado;Registrado;Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi;Formas de expressão;Local;Reconhecimento;Registro da Arte Kusiwá - Pintura Corporal e Arte Gráfica Wajãpi como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/3/
IEPE - Instituto de Pesquisa e Formação em Educação Índigena;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);AP;Macapá;0,043015696725105856   -51,0668877305691;Nenhum registro encontrado;Registrado;Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi;Formas de expressão;Local;Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;"Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Publicação dos livros ""Kusiwarã"" e “Povos Indígenas no Amapá e Norte do Pará""||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Oficina sobre legislação e direitos autorais||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - 3ª Reunião do Conselho Consultivo do Plano de Salvaguarda Wajãpi||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - “Exposição Transfronteiriça: Memória e Identidade dos Kali’na Tilewuyu”||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Publicação do livro ""Casa de Farinha""||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Reedição Dossiê de Registro vol. 2||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Exposição ""Jane reko Mokasia""||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - formação de documentarista indígena||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2009/2010 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Biblioteca||Salvaguarda da Arte Kusiwa do Povo Indígena Wajãpi - Pontão de Cultura Arte e Vida dos Povos Indígenas do Amapá e Norte do Pará (Convênio 2007/2008 celebrado com o Instituto de Pesquisa e Educação Indígena - Iepé) - Capacitação em pesquisa e registro||Edital PNPI 2005 - Artesãs do Maramará||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2005 - Mapeamento, Documentação e Apoio ao Patrimônio Cultural Imaterial";Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/4/
Arquidiocese de Belém;Referência/Partícipe;Instituição religiosa;PA;Belém;-1,4506370286537937   -48,485489705076475;Nenhum registro encontrado;Registrado;Círio de Nossa Senhora de Nazaré, na cidade de Belém, estado do Pará;Celebrações;Local;Reconhecimento;Registro do Círio de Nazaré como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/5/
Obras Sociais da Paróquia de Nazaré;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);PA;Belém;-1,4524603455003404   -48,48149321364275;Nenhum registro encontrado;Registrado;Círio de Nossa Senhora de Nazaré, na cidade de Belém, estado do Pará;Celebrações;Local;Reconhecimento;Registro do Círio de Nazaré como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/6/
Associação Cultural do Samba de Roda Dalva Damiana de Freitas;Referência/Partícipe;Associação de detentores;BA;Cachoeira;-12,599321250738829   -38,96433217299062;Nenhum registro encontrado;Registrado;Samba de Roda do Recôncavo Baiano;Formas de expressão;Local;Reconhecimento;Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/7/
Associação Cultural Filhos de Nagô;Referência/Partícipe;Associação de detentores;BA;São Félix;-12,6086504620899   -38,97255223953788;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/8/
ASSEBA (Associação dos Sambadores e Sambadeiras do Estado da Bahia);Referência/Partícipe;Associação de detentores;BA;Santo Amaro;-12,553240529543228   -38,70446977457248;Nenhum registro encontrado;Registrado;Samba de Roda do Recôncavo Baiano;Formas de expressão;Local;Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010) - Articulação de parcerias para realização de eventos e reuniões da associação||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Capacitação para elaboração de projetos e captação de recursos||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”.||Samba de Roda - Ocupação do espaço físico, aluguel ou empréstimo de espaço||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Oficinas de Samba de Roda e Maculelê||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA)ʺ.- Apresentações gratuitas||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA )ʺ.||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Quinzenas do Samba;Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/9/
Associação de Pesquisa em Cultura Popular e Música Tradicional do Recôncavo;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);BA;Cachoeira;-12,602991127239337   -38,9639781213998;Nenhum registro encontrado;Registrado;Samba de Roda do Recôncavo Baiano;Formas de expressão;Local;Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;Registro do Samba de Roda do Recôncavo Baiano como Patrimônio Cultural do Brasil||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Prêmio (doação de instrumentos e tecidos)||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010) - Articulação de parcerias para realização de eventos e reuniões da associação||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA ) - Ocupação do espaço físico para projeto “Aprender Mais”.||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Quinzenas do Samba||Samba de Roda - Ocupação do espaço físico, aluguel ou empréstimo de espaço||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA) - Oficinas de Samba de Roda e Maculelê||Salvaguarda do Samba de Roda - Casa do Samba (Convênio 2009/2010 celebrado com ASSEBA)ʺ.- Apresentações gratuitas;Registro||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Registrado||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/10/
Secretaria Estadual de Cultura do Mato Grosso;Referência/Partícipe;Instituição pública estadual;MT;Cuiabá;-15,596933739012051   -56,09667128144637;Nenhum registro encontrado;Identificado;Viola de Cocho;Saberes;Regional;Reconhecimento;Registro do Modo Fazer Viola de Cocho como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/11/
Fundação de Cultura e Turismo do Pantanal;Referência/Partícipe;Instituição pública estadual;MS;Corumbá;-19,004398710106603   -57,653059907991235;Nenhum registro encontrado;Identificado;Viola de Cocho;Saberes;Regional;Reconhecimento;Registro do Modo Fazer Viola de Cocho como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/12/
Abam (Associação das Baianas de Acarajé, Mingau, Receptivos e Similares do Estado da Bahia);Referência/Partícipe;Associação de detentores;BA;Salvador;-12,971968479470364   -38,50855908669091;Nenhum registro encontrado;Registrado||Identificado;Ofício das Baianas de Acarajé||Tabuleiro da Baiana;Saberes||Lugares;Nacional||Nacional;Reconhecimento||Apoio e fomento;Registro do Ofício das Baianas de Acarajé como Patrimônio Cultural do Brasil||Salvaguarda do Ofício de Baiana do Acarajé - Publicação do Dossiê de Registro vol. 6;Registro||Ação de salvaguarda;Registrado||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/13/
Centro de Estudos Afro-Orientais;Referência/Partícipe;Fundação universitária;BA;Salvador;-12,981576472121466   -38,51657889164568;Nenhum registro encontrado;Registrado||Identificado;Ofício das Baianas de Acarajé||Tabuleiro da Baiana;Saberes||Lugares;Nacional||Nacional;Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Identificação||Apoio e fomento;"Registro do Ofício das Baianas de Acarajé como Patrimônio Cultural do Brasil||Salvaguarda do Ofício de Baiana do Acarajé - Publicação do Dossiê de Registro vol. 6||Salvaguarda do Ofício de Baiana do Acarajé - A arte e o ofício da baiana do Acarajé (Convênio 2007/2008 celebrado com a Associação de Baianas de Acarajé e Mingau - ABAM) - Divulgação do Memorial da Baiana||Ação - IPHAN - Ofício das Baianas de Acarajé - Instalação de Memorial, contendo setor de documentação, oficina, cozinha cênica do acarajé e loja;||INRC - Tabuleiro das Baianas de Acarajé de Salvador||Salvaguarda do Ofício de Baiana do Acarajé - A arte e o ofício da baiana do Acarajé (Convênio 2007/2008 celebrado com a Associação de Baianas de Acarajé e Mingau - ABAM) - Instalação do Memorial da Baiana";Registro||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||INRC||Ação de salvaguarda;Registrado||Concluída||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/14/
Terreiro Ilê Axé Opô Afonjá;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);BA;Salvador;-12,94844615025164   -38,46686951196977;Nenhum registro encontrado;Registrado||Identificado;Ofício das Baianas de Acarajé||Tabuleiro da Baiana;Saberes||Lugares;Nacional||Nacional;Identificação||Reconhecimento||Apoio e fomento||Apoio e fomento||Apoio e fomento||Apoio e fomento;"INRC - Tabuleiro das Baianas de Acarajé de Salvador||Registro do Ofício das Baianas de Acarajé como Patrimônio Cultural do Brasil||Salvaguarda do Ofício de Baiana do Acarajé - Publicação do Dossiê de Registro vol. 6||Salvaguarda do Ofício de Baiana do Acarajé - A arte e o ofício da baiana do Acarajé (Convênio 2007/2008 celebrado com a Associação de Baianas de Acarajé e Mingau - ABAM) - Divulgação do Memorial da Baiana||Ação - IPHAN - Ofício das Baianas de Acarajé - Instalação de Memorial, contendo setor de documentação, oficina, cozinha cênica do acarajé e loja;||Salvaguarda do Ofício de Baiana do Acarajé - A arte e o ofício da baiana do Acarajé (Convênio 2007/2008 celebrado com a Associação de Baianas de Acarajé e Mingau - ABAM) - Instalação do Memorial da Baiana";INRC||Registro||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda||Ação de salvaguarda;Concluída||Registrado||Concluída||Concluída||Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/15/
FEC (Fundação Euclides da Cunha de Apoio Institucional à Universidade Federal Fluminense);Referência/Partícipe;Fundação universitária;RJ;Niterói;-22,90178574671065   -43,11411202179782;Nenhum registro encontrado;Registrado;Jongo no Sudeste;Formas de expressão;Regional;Reconhecimento;Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/16/
Pró – Reitoria de Extensão da Universidade Federal Fluminense;Referência/Partícipe;Fundação universitária;RJ;Niterói;-22,903579520595613   -43,116322162026464;Nenhum registro encontrado;Registrado;Jongo no Sudeste;Formas de expressão;Regional;Reconhecimento;Registro do Jongo no Sudeste como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/17/
FOIRN (Federação das Organizações Indígenas do Rio Negro);Referência/Partícipe;Associação de detentores;AM;São Gabriel da Cachoeira;-0,1317298944188162   -67,08812888742433;Nenhum registro encontrado;Registrado;Cachoeira de Iauaretê – Lugar sagrado dos povos indígenas dos rios Uaupés e Papuri;Lugares;Local;Reconhecimento;Registro da Cachoeira de Iauaretê - Lugar Sagrado dos Povos Indígenas dos rios Uaupés e Papuri como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/18/
Vídeo nas Aldeias;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);PE;Olinda;-8,015260679850327   -34,847909847759546;Nenhum registro encontrado;Registrado;Cachoeira de Iauaretê – Lugar sagrado dos povos indígenas dos rios Uaupés e Papuri;Lugares;Local;Apoio e fomento||Apoio e fomento;Edital PNPI 2007 - Kene - Pinturas Tradicionais Kaxinawá||Edital do Programa Nacional do Patrimônio Imaterial (PNPI) 2007 - Apoio e Fomento ao Patrimônio Cultural Imaterial;Ação de salvaguarda||Ação de salvaguarda;Concluída||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/19/
Instituto Sócio Ambiental;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);AM;São Gabriel da Cachoeira;-0,11979945748313506   -67,09119733453556;Nenhum registro encontrado;Registrado;Arte Kusiwa – Pintura Corporal e Arte Gráfica Wajãpi;Formas de expressão;Local;Reconhecimento;Registro da Cachoeira de Iauaretê - Lugar Sagrado dos Povos Indígenas dos rios Uaupés e Papuri como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/20/
Prefeitura Municipal de Caruaru;Referência/Partícipe;Instituição pública municipal;PE;Caruaru;-8,28477438935492   -35,97139798456358;Nenhum registro encontrado;Registrado;Feira de Caruaru;Lugares;Local;Reconhecimento;Registro da Feira de Caruaru como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/21/
Fundação de Cultura e Turismo de Caruaru Espaço Cultural Tancredo Neves;Referência/Partícipe;Instituição pública municipal;PE;Caruaru;-8,284848707445857   -35,971365798056304;Nenhum registro encontrado;Registrado;Feira de Caruaru;Lugares;Local;Reconhecimento;Registro da Feira de Caruaru como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/22/
Prefeitura do Recife;Referência/Partícipe;Instituição pública municipal;PE;Recife;-8,054247857693827   -34,87248016340948;Nenhum registro encontrado;Registrado;Frevo;Formas de expressão;Estadual;Reconhecimento;Registro do Frevo como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/23/
Prefeitura de São Luís;Referência/Partícipe;Instituição pública municipal;MA;São Luís;-2,5275136487790943   -44,30601218909886;Nenhum registro encontrado;Registrado;Tambor de Crioula do Maranhão;Formas de expressão;Estadual;Reconhecimento||Apoio e fomento;"Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil||Salvaguarda do Tambor de Crioula no Maranhão"" - parceria para Pontão de Cultura";Registro||Ação de salvaguarda;Registrado||Concluída;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/24/
Conselho Cultural do Tambor de Crioula do Maranhão;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);MA;São Luís;-2,560314211918858   -44,30370280713704;Nenhum registro encontrado;Registrado;Tambor de Crioula do Maranhão;Formas de expressão;Estadual;Apoio e fomento||Reconhecimento;"Salvaguarda do Tambor de Crioula no Maranhão"" - parceria para Pontão de Cultura||Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil";Ação de salvaguarda||Registro;Concluída||Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/25/
Secretaria de Estado da Cultura do Maranhão;Referência/Partícipe;Instituição pública estadual;MA;São Luís;-2,5406650571447114   -44,254470860669194;Nenhum registro encontrado;Registrado;Tambor de Crioula do Maranhão;Formas de expressão;Estadual;Apoio e fomento||Reconhecimento;"Salvaguarda do Tambor de Crioula no Maranhão"" - parceria para Pontão de Cultura||Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil";Ação de salvaguarda||Registro;Concluída||Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/26/
Secretaria de Estado da Cultura do Maranhão;Referência/Partícipe;Instituição pública estadual;MA;São Luís;-2,533122038731967   -44,28036222428991;Nenhum registro encontrado;Registrado;Tambor de Crioula do Maranhão;Formas de expressão;Estadual;Reconhecimento;Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/27/
Instituto de Desenvolvimento Sustentável Bem Comum / Ponto de Cultura Tambores da Ilha;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);MA;São Luís;-2,5370020764338155   -44,29598340959402;Nenhum registro encontrado;Registrado;Tambor de Crioula do Maranhão;Formas de expressão;Estadual;Reconhecimento;Registro do Tambor de Crioula do Maranhão como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/28/
Centro Cultural Cartola;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);RJ;Rio de Janeiro;-22,908869210476063   -43,23271916867793;Nenhum registro encontrado;Registrado;Matrizes do Samba no Rio de Janeiro: Partido Alto, Samba de Terreiro e Samba-Enredo;Formas de expressão;Estadual;Reconhecimento;Registro das Matrizes do Samba no Rio de Janeiro: partido alto, samba de terreiro e samba-enredo como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/29/
Secretaria de Estado da Cultura de Minas Gerais;Referência/Partícipe;Instituição pública estadual;MG;Belo Horizonte;-19,78672754631599   -43,95034137931732;Nenhum registro encontrado;Registrado||Identificado||Identificado||Identificado;Modo artesanal de fazer Queijo de Minas, nas regiões do Serro e das serras da Canastra e do Salitre/Alto Parnaíba||Modo de Fazer do Queijo Artesanal de Minas (Serro)||Modo de fazer do Queijo Artesanal tipo Alto Paranaíba||Modo de fazer do Queijo Artesanal tipo Canastra;Saberes||Saberes||Saberes||Saberes;Local||Local||Local||Local;Reconhecimento||Reconhecimento||Reconhecimento;Registro do Modo de fazer Queijo Artesanal de Minas nas regiões do Serro, da Serra da Canastra e Salitre/ AltoParanaíba como Patrimônio Cultural do Brasil||Registro do Toque dos Sinos em Minas Gerais - tendo como referência São João Del Rei e as cidades de Ouro Preto, Mariana, Catas Altas, Congonhas do Campo, Diamantina, Sabará, Serro e Tiradentes como Patrimônio Cultural do Brasil||Registro do Ofício de Sineiro como Patrimônio Cultural do Brasil;Registro||Registro||Registro;Registrado||Registrado||Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/30/
AASER (Associação dos Amigos do Serro);Referência;Associação de detentores;MG;Belo Horizonte;-19,933547696328212   -43,95113531318535;Nenhum registro encontrado;Registrado||Identificado;Modo artesanal de fazer Queijo de Minas, nas regiões do Serro e das serras da Canastra e do Salitre/Alto Parnaíba||Modo de Fazer do Queijo Artesanal de Minas (Serro);Saberes||Saberes;Local||Local;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/31/
AASER (Associação dos Amigos do Serro);Referência;Associação de detentores;MG;Belo Horizonte;-19,9237437446036   -43,94401136604223;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/32/
APROCAN (Associação dos Produtores de Queijo Canastra);Referência;Associação de detentores;MG;São Roque de Minas;-20,247855818590647   -46,366623233447;Nenhum registro encontrado;Registrado||Identificado;Modo artesanal de fazer Queijo de Minas, nas regiões do Serro e das serras da Canastra e do Salitre/Alto Parnaíba||Modo de fazer do Queijo Artesanal tipo Canastra;Saberes||Saberes;Local||Local;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/33/
IPHAN (Instituto do Patrimônio Histórico e Artístico Nacional);Partícipe;Instituição pública federal;DF;Brasília;-15,824436533141716   -47,91897173485873;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Complexo Cultural do Bumba-meu-Boi do Maranhão como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/34/
(Asderen) Associação para o Desenvolvimento da Renda;Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);SE;Divina Pastora;-10,678443384624146   -37,14779120178213;Nenhum registro encontrado;Registrado;Modo de Fazer Renda Irlandesa, tendo como referência este ofício em Divina Pastora/SE;Saberes;Local;Reconhecimento;Registro do Modo de fazer Renda Irlandesa tendo como referência este Ofício em Divina Pastora/SE como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/35/
Secretaria de Estado da Cultura de Minas Gerais;Partícipe;Instituição pública estadual;MG;Belo Horizonte;-19,916642560335163   -43,94126478401097;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Nenhum registro encontrado;Reconhecimento;Registro do Toque dos Sinos em Minas Gerais - tendo como referência São João Del Rei e as cidades de Ouro Preto, Mariana, Catas Altas, Congonhas do Campo, Diamantina, Sabará, Serro e Tiradentes como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/36/
(ASOP) Associação dos Sineiros de Ouro Preto;Referência/Partícipe;Associação de detentores;MG;Ouro Preto;-20,398478290108027   -43,50287851411759;Nenhum registro encontrado;Identificado||Registrado||Identificado||Identificado||Identificado||Identificado||Identificado||Identificado||Identificado||Identificado||Identificado;Toque dos Sinos (Ouro Preto)||Toque dos Sinos em Minas Gerais, tendo como referência São João dei-Rei e as cidades de Ouro Preto, Mariana, Catas Altas, Congonhas do Campo, Diamantina, Sabará, Serro e Tiradentes||Toque de Chamada de Missa||Toque de Chamada para Missa de Quaresma||Toque de Aviso Fúnebre para Irmão||Toque de Aviso Fúnebre para Religioso||Repique de Glória, da Consagração Eucarística e da Benção do Santíssimo Sacramento||Toque de Alvorada||Chamada para Adoração ao Santíssimo Sacramento||Toque de Procissão (Ouro Preto)||Toque Te Deum;Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão||Formas de expressão;Estadual||Regional||Local||Local||Local||Nacional||Local||Local||Local||Local||Local;Reconhecimento||Reconhecimento;Registro do Toque dos Sinos em Minas Gerais - tendo como referência São João Del Rei e as cidades de Ouro Preto, Mariana, Catas Altas, Congonhas do Campo, Diamantina, Sabará, Serro e Tiradentes como Patrimônio Cultural do Brasil||Registro do Ofício de Sineiro como Patrimônio Cultural do Brasil;Registro||Registro;Registrado||Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/37/
Prefeitura Municipal de Pirenópolis;Referência/Partícipe;Instituição pública municipal;GO;Pirenópolis;-15,851886283253478   -48,95835953909847;Nenhum registro encontrado;Registrado;Festa do Divino Espírito Santo de Pirenópolis, no Estado de Goiás;Celebrações;Local;Reconhecimento;Registro da Festa do Divino Espírito Santo de Pirenópolis como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/38/
OPAN (Operação Amazônia Nativa);Referência/Partícipe;Instituição privada sem fins lucrativos (ONG, OSCIP, Cooperativas, etc);MT;Cuiabá;-15,596158704974636   -56,10538846074372;Nenhum registro encontrado;Registrado;Ritual Yaokwa do Povo Indígena Enawene Nawe;Celebrações;Local;Reconhecimento;Registro do Ritual Yaokwa do Povo Indígena Enawene Nawe como Patrimônio Cultural do Brasil;Registro;Registrado;https://sicg.iphan.gov.br/sicg/bemImaterial/instituicao/39/
