Assuntos,Desc. física,Ent. princ.,Imprenta,Link,Título,Unidade de descrição,Material,Ent. sec.,Título analítico fonte,Série,ISBN,Forma do registro,Edição,Título não controlado
1. Em processamento,15 p.,"Marinho, Josafá","Salvador (BA, BR) : Centro de estudos baianos da Universidade Federal da Banhia, 1985.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=7058,"Universidade, cultura e política / Josaphat Marinho.",Folheto,,,,"(Universidade Federal da Bahia. Centro de Estudos Baianos, Publicação; v. 119))",,,,
1. Arquivos e educação - Teses 2. Jogos digitais - Teses 3. Jogos educativos - Teses 4. Fundação Casa de Rui Barbosa. Serviço de Arquivo Histórico e Institucional - Teses,153 f : il.,"Jaccoud, Leandro de Abreu Souza","Rio de Janeiro (RJ,BR) : Fundação Casa de Rui Barbosa, 2018.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=218161,"A educação patrimonial com/nos arquivos e o uso de jogos cooperativos on-line : monitoramento e avaliação do módulo educativo do sítio Escravidão, abolição e pós-abolição / Leandro de Abreu Souza Jaccoud; Profa. Dra. Marta Ribeiro Rocha e Silva de Senna (orientadora).",Dissertação de mestrado - Português,,,,,(Enc.),,,
1. Abolicionismo 2. Escravidão,,"Barbosa, Rui, 1849-1923",,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=20469,O dia máximo,Capítulo de livro,,,Queda do Império : diário de Notícias,,,,,
1. Arianos 2. Civilização - História,"xli, 450 p.","Seillière, Ernest Antoine Aimé Léon, baron de","Paris (França) : Plon-Nourrit, 1903.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=44812,Le comte de Gobineau : et l'aryanisme histórique,Livro,,"I. Gobineau, Joseph Arthur, comte, 1816-1882",,"(La Philosophie de l´Imperialisme, 1)",,,,
,1 doc : Datilografado.,"Castelo Branco, Carlos","[S. l.] : [s.n.], s.d.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=198490,Eram quatro horas da tarde quando...,Documento textual de arquivo,,,,,,Conto.,,
"1. Nota de dedicatória 2. História de Recife (PE) 3. Viagem - Recife (PB, BR) 4. Recife (PB, BR) - Guia",182 p. : il.,"Freyre, Gilberto, 1900-1987","Rio de Janeiro (BR) : J. Olympio, 1961.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=54378,"Guia prático, histórico e sentimental da cidade do Recife / Gilberto Freyre ; ilustrações de Luís Jardim.",Livro - Português,,"I. Jardim, Luis (il)",,(Obras reunidas de Gilberto Freyre)),,,"3. ed., rev., aum. e atual",
,,,"New York, 17 jul. 1890",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=76514,The Weekly Post,,Fonte de analítica avulsa,,,,,,,
,,,[S.l.: s.n.].,http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=152504,,[Sem material definido],,,,,,CD-ROM.,,
1. Nota de dedicatória 2. São Paulo (Estado) - Politica,165 p.,"Coelho, Henrique José","São Paulo (BR) : Diario Official, 1910.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=39939,A organização politica do Estado de São Paulo e as suas leis constitucionaes,Livro - Português,,,,,,,,
1. Literatura francesa - Romance - Século XIX 2. Literatura francesa - Romance - Século XX,,"Capus, Alfred","Paris (França) : Calmann-Lévy, s.d.",http://acervos.casaruibarbosa.gov.br/index.asp?codigo_sophia=57425,Faux départ / Illustrations de Charles Roussel.,Folheto - Francês,,,,,,,,
