Autor,Descrição,Desenho Livre,Document,Dossiê,Função Sérgio Britto,Link do Item,Local,Nome do material,Tipo de artigo,Título,Ano,Tipo de publicação,Elenco,Equipe Técnica,Veículo da publicação,Material de Divulgação,Número de páginas,Projeto Gráfico,Observação
,"Colocamos no site de financiamento coletivo Benfeitoria o Portal Sergio Britto Memórias. Uma das recompensas para os colaboradores era um bate papo com Nathalia Timberg. Esse evento aconteceu no dia 14 de setembro no Teatro dos Quatro e foi mediado por Hermes Frederico. Nas fotos Nathalia Timberg, Hermes Frederico e Marilia Brito",,,Sergio Britto,Personalidade,https://www.funarte.gov.br/acervo-sergio-britto-digital/evento-benfeitoria/,Rio de Janeiro - RJ | Teatro dos 4,Fotografia,,Evento Benfeitoria,2015,,,,,,,,
,Matéria sobre o jogo de futebol entre o elenco da peça Chapetuba e o elenco do espetáculo Mambembe.,,,Mambembe,,https://www.funarte.gov.br/acervo-sergio-britto-digital/na-cancha-chapetuba-x-madureira/,,Hemeroteca,,"Na cancha, Chapetuba X Madureira",,reportagem,,,,,,,
,"Programa sobre as peças de formatura dos alunos do primeiro semestre de 2015, são elas: Com a pulga atrás da orelha, Costureiro de madame e Folias do coração",,,CAL,,https://www.funarte.gov.br/acervo-sergio-britto-digital/impresso-das-pecas-de-formatura-dos-formandos-do-primeiro-semestre-de-2015/,Espaço Sergio Britto | Instituto CAL,Impresso,,Impresso das peças de formatura dos formandos do primeiro semestre de 2015,2015,,no programa,no programa,,Programa,8,,
,"Ópera II campanello de Dozinzetti
Elenco: Paulo Fortes, Ruth Staerke, Lício Bruno, Norma Geraldy e Luis Fernando Lobo. Direção: Sergio Britto e Cirlei de Hollanda.",,,Il Campanello,Diretor,https://www.funarte.gov.br/acervo-sergio-britto-digital/il-campanello-2/,,Fotografia,,Il Campanello,1992,,"Elenco: Paulo Fortes, Ruth Staerke, Lício Bruno, Norma Geraldy e Luis Fernando Lobo",Direção: Sergio Britto e Cirlei de Hollanda.,,,,,
,"Peça  Meu Querido Mentiroso com Natália Timberg e Sérgio Britto , inspirada na troca de correspondências entre Bernard Shaw e Stella Patrick Campbell    .",,,Meu Querido Mentiroso,,https://www.funarte.gov.br/acervo-sergio-britto-digital/sergio-britto-conta-porque-parou-com-a-televisao/,Rio de Janeiro,Hemeroteca,,Sergio Britto conta porque parou com a televisão,1965,reportagem,,,Revista do Rádio,,,,
,"Peça História de muitos amores de Domingos de Oliveira, que também fez a produção e direção. No Teatro Maison de France. 
Elenco Sergio Britto, Napoleão Moniz Freire, Milton Moraes, Maria Esmeralda, Isabel Tereza e Vera Gertel.",,,A História de Muitos Amores,Ator,https://www.funarte.gov.br/acervo-sergio-britto-digital/a-historia-de-muitos-amores-3/,Rio de Janeiro | Teatro Maison de France,Fotografia,,A história de muitos amores,1964,,"Elenco Sergio Britto, Napoleão Moniz Freire, Milton Moraes, Maria Esmeralda, Isabel Tereza e Vera Gertel.","Autoria de Domingos de Oliveira, que também fez a produção e direção",,,,,
,Imagens do lan'camento do Portal Sergio Britto,,,Lançamento Portal,Personalidade,https://www.funarte.gov.br/acervo-sergio-britto-digital/lancamento-portal/,Casa de Cultura Laura Alvim | Ipanema | Rio de Janeiro,Fotografia,,Lan'camento Portal,2014,,,,,,,,
Paulo Mendonça,Matéria sobre a montagem de Hamlet,,,Teatro do Estudante,,https://www.funarte.gov.br/acervo-sergio-britto-digital/hamlet-consideracoes-e-sugestoes-2/,São Paulo,Hemeroteca,,Hamlet considerações e sugestões,1948,reportagem,,,Estado de São Paulo,,,,
,"Peça Sergio 80 de Domingos de Oliveira, no Teatro Candido Mendes.
Em Brasília no Teatro do Conjunto Cultural da Caixa.
Elenco: Sergio Britto. Direção: Domingos de Oliveira.
""Sérgio volta ao início de sua carreia, revelando que tudo começou num sobrado da Rua da Alfândega, onde nasceu em 29 de junho de 1923. Depois vieram as passagens pelo Externato São José, a Faculdade de Medicina e a Escola Nacional de Música em 1945. Foi quando aceitou o convite de Jerusa Camões para participar da montagem de Carlota Joaquina. Na época era médico-residente e não sonhava em ser ator. Ganhou o papel de Pedro I, mas o espetáculo não chegou a estrear. Mas as lembranças importantes são mesmo as do teatro."" Revista Aplauso - número 48",,,Sergio 80,,https://www.funarte.gov.br/acervo-sergio-britto-digital/sergio-80-7/,Rio de Janeiro,Hemeroteca,,Sergio 80,2003,reportagem,,,veículos diversos,,,,
Luiz Carlos Pedroso,Matéria sobre os dez anos do Teatro dos Quatro.,,,Teatro dos Quatro,,https://www.funarte.gov.br/acervo-sergio-britto-digital/dez-anos-essa-noite/,,Hemeroteca,,Dez anos essa noite,,reportagem,,,conforme legenda,,,,
