Autor,Descrição,Desenho Livre,Document,Dossiê,Função Sérgio Britto,Link do Item,Local,Nome do material,Tipo de artigo,Título,Ano,Tipo de publicação,Elenco,Equipe Técnica,Veículo da publicação,Material de Divulgação,Número de páginas,Projeto Gráfico,Observação
,"Matéria sobre o espetáculo A festa de aniversário no Teatro Senac. A matéria é ilustrada com foto de Claudio Marzo, Sergio Britto e Amir Haddad durante leitura da peça.


Peça Festa de Aniversário de Harold Pinter, tradução Barbara Heliodora.
Elenco: Sergio Britto. Cláudio Marzo, Elza Gomes, Renata Sorrah, Roberto Bonfim e Afonso Stuart. Direção: Amir Haddad. Teatro Senac. Cenários Joel de Carvalho.",,,A festa de aniversário,,https://www.funarte.gov.br/acervo-sergio-britto-digital/a-festa-de-aniversario-3/,,Hemeroteca,,A festa de aniversário,1973,reportagem,,,Diário de Notícias,,,,
Ney Machado,"Matéria sobre a estréia do espetáculo A festa de aniversário no Teatro Senac. A matéria é ilustrada com foto de Claudio Marzo, que após longa ausência, volta nesse espetáculo aos palcos.


Peça Festa de Aniversário de Harold Pinter, tradução Barbara Heliodora.
Elenco: Sergio Britto. Cláudio Marzo, Elza Gomes, Renata Sorrah, Roberto Bonfim e Afonso Stuart. Direção: Amir Haddad. Teatro Senac. Cenários Joel de Carvalho.",,,A festa de aniversário,,https://www.funarte.gov.br/acervo-sergio-britto-digital/a-festa-de-aniversario-2/,,Hemeroteca,,A festa de aniversário,1973,reportagem,,,Correio da Manhã,,,,
Yan Michalski,"Matéria sobre a estréia do espetáculo A festa de aniversário.


Peça Festa de Aniversário de Harold Pinter, tradução Barbara Heliodora.
Elenco: Sergio Britto. Cláudio Marzo, Elza Gomes, Renata Sorrah, Roberto Bonfim e Afonso Stuart. Direção: Amir Haddad. Teatro Senac. Cenários Joel de Carvalho.",,,A festa de aniversário,,https://www.funarte.gov.br/acervo-sergio-britto-digital/a-festa-de-aniversario/,Rio de Janeiro,Hemeroteca,,A festa de aniversário,1973,reportagem,,,Jornal do Brasil,,,,
Gilberto Tumscitz,"Matéria sobre os melhores atores de 72, entre eles Sergio Britto por sua atuação em Tango: Sergio Britto chegou indubtavelmente ao ápice de sua carreira, num papel que lhe caiu como uma luva.

Peça Tango de Slawomir Mrozek.
Elenco: Elza Gomes, Sadi Cabral, Roberto Bonfim, Ari Coslov, Tereza rachel, Sergio Britto e Renata Sorrah. Direção Amir Haddad.",,,Tango,,https://www.funarte.gov.br/acervo-sergio-britto-digital/retrospecto-72-os-atores/,Rio de Janeiro,Hemeroteca,,Retrospecto 72 - os atores,1973,reportagem,,,Globo,,,,
Yan Michalski,"Matéria sobre as estréias no Rio, entre elas a peça A festa de aniversário, produzida por Sergio Britto, que volta a assumir o Teatro Senac.

Peça Festa de Aniversário de Harold Pinter, tradução Barbara Heliodora.
Elenco: Sergio Britto. Cláudio Marzo, Elza Gomes, Renata Sorrah, Roberto Bonfim e Afonso Stuart. Direção: Amir Haddad. Teatro Senac. Cenários Joel de Carvalho.",,,A festa de aniversário,,https://www.funarte.gov.br/acervo-sergio-britto-digital/a-imprevisivel-rotina-do-teatro-carioca/,Rio de Janeiro,Hemeroteca,,A imprevisível rotina do teatro carioca,1972,reportagem,,,Jornal do Brasil,,,,
Anamaria de Moraes,"Matéria sobre a peça A festa de aniversário, produzida por Sergio Britto.

Peça Festa de Aniversário de Harold Pinter, tradução Barbara Heliodora.
Elenco: Sergio Britto. Cláudio Marzo, Elza Gomes, Renata Sorrah, Roberto Bonfim e Afonso Stuart. Direção: Amir Haddad. Teatro Senac. Cenários Joel de Carvalho.",,,A festa de aniversário,,https://www.funarte.gov.br/acervo-sergio-britto-digital/espetaculos-a-festa-que-ameaca/,,Hemeroteca,,Espetáculos A festa que ameaça,1972,reportagem,,,Desfile,,,,
José Márcio Penido,"Matéria sobre os dez melhores espetáculos de 1972, entre eles Tango descrito como: Audaciosa direção de Amir Haddad e belo cenário para o texto de Slawomir Mrozeck.

Peça Tango de Slawomir Mrozek.
Elenco: Elza Gomes, Sadi Cabral, Roberto Bonfim, Ari Coslov, Tereza rachel, Sergio Britto e Renata Sorrah. Direção Amir Haddad.",,,Tango,,https://www.funarte.gov.br/acervo-sergio-britto-digital/os-dez-espetaculos-de-72/,,Hemeroteca,,Os dez espetáculos de 72,1968,reportagem,,,Veja,,,,
,"Matéria sobre a peça A volta ao lar.

Um professor de filosofia, filho de uma família suburbana de Londres, retorna dos Estados Unidos com a mulher depois de mais de seis anos de ausência para rever seu lar: a casa onde nasceu, o pai, o tio e os dois irmãos. Ao final da peça, a mulher do professor é possuída e comercializada pela família e ele volta para seus três filhos pequenos que ficaram nos Estados Unidos.

Elenco: Fernanda Montenegro, Ziembinski, Paulo Padilha, Sergio Britto, Cecil Thire e Delorges Caminha. Cecil Thiré foi substituído por Carlos Eduardo Dolabella. Direção: Fernando Torres. No Teatro Gláucio Gil. Cenários de Túlio Costa e figurinos de Kalma Murtinho.",,,A Volta ao Lar,,https://www.funarte.gov.br/acervo-sergio-britto-digital/magica-mas-so-para-magicos-2/,,Hemeroteca,,Mágica mas só para mágicos,1968,reportagem,,,,,,,
Sergio Britto,Manuscritos contendo tudo que aparece no álbum de 1973.,Não,,A Missa Leiga,Ator | Diretor | Produtor,https://www.funarte.gov.br/acervo-sergio-britto-digital/album-1973/,,Manuscrito,escrito,Álbum 1973,1973,,,,,,,,"O álbum também fala de La Traviata, Caso Especial Mulher, Os efeitos dos raios gama nas margaridas do campo, Festa de aniversárioo"
,"Matéria sobre a novela Sangue do meu sangue de Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/barra-limpa-dois-homens-contra-um-patife/,,Hemeroteca,,Barra Limpa dois homens contra um patife,1969,reportagem,,,,,,,
,"Matéria sobre as empregadas da casa de Madame Pola Renon na novela Sangue do meu sangue de Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/eles-estao-fazendo-muita-fofoca/,,Hemeroteca,,Eles estão fazendo muita fofoca,1969,reportagem,,,,,,,
,"Matéria sobre Sadi Cabral, ques tá na novela Sangue do meu sangue de Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/variedades-retrato-de-um-moco-chamado-sadi/,,Hemeroteca,,Variedades retrato de um moço chamado Sadi,1969,reportagem,,,,,,,
,"Matéria sobre Sergio Britto que está no ar como o Tenente Paranhos, além de dirigir a novela Sangue do meu sangue.


Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/sergio-britto-e-um-gala-de-vida-simples/,,Hemeroteca,,Sérgio Britto é um galã de vida simples,1969,reportagem,,,Última Hora,,,,
,"Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/fernanda-montenegro-e-tonia-carrero-amigas-na-estoria-e-na-vida-real/,,Hemeroteca,,Fernanda Montenegro e Tônia Carrero amigas na estória e na vida real,1969,reportagem,,,,,,,
Tevelino sabe-tudo,"Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/mauroo-e-rita-uma-cena-de-amor/,,Hemeroteca,,"Mauroo e Rita, uma cena de amor",1969,reportagem,,,,,,,
,"Matéria sobre Fernanda Montenegro, destaque de Sangue do meu sangue.

Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/sangue-do-meu-sangue-4/,,Hemeroteca,,Sangue do meu sangue,1969,reportagem,,,,,,,
,"Matéria sobre Renato Machado, um ator pouco conhecido na televiisão mas já bastante conhecido no teatro.

Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/futuro/,,Hemeroteca,,Futuro,1969,reportagem,,,,,,,
Genet,"Ensaios de O Balcão de Victor Garcia, mas não chega a fazer o espetáculo. No Teatro Ruth Escobar.
Lembro de meus ensaios, em 69, São Paulo, como o juiz no Balcão de Genet-Garcia. Antes de começar o primeiro ensaio, me lembro que Luiz Linhares perguntou a Victor Garcia como era Genet. Victor recusou falar qualquer coisa. Linhares ainda insistiu:""mas você conheceu Genet, podia nos falar alguma coisa sobre o mundo dele."" Victor retrucou que nunca faria isso, seria uma grande indiscrição falar do mundo particular de seu amigo Genet, quem quizesse que lesse a obra do homem e tentasse entende-lo. Ele, Victor, não iria esclarecer nada. Nesse primeiro ensaio, Garcia pediu: ""leiam bem rápido e bem alto, eu odeio ouvir texto, gritem, corram com essa chatice, só quero ouvir o absurdo de vocês berrando aí, durante meia hora."" Eu percebi o jogo do danado do Victor: berrando, gritando, a gente acabava achando o essencial do texto, e, olhem o essencial reduziria cada página a duas linhas no máximo.
No Balcão, Garcia pegou a ideia assim: o bordel de Irina, lugar onde as pessoas vem se satisfazer, é prazer sexual que se procura. O Juiz, o General, o Bispo, são pessoas querendo viver o poder, através do prazer de viver o seu instante de juiz, general ou bispo. O ritual que lhes permite viver esse jogo de representações é igual ao prazer sexual que se encontra num bordel de bom nível: existem convenções, limites, palavras, códigos para que tudo chegue ao bom tom, a um bom resultado, ou seja a um bom orgasmo.",,,Outros,,https://www.funarte.gov.br/acervo-sergio-britto-digital/o-balcao/,Teatro Ruth Scobar,Hemeroteca,,O Balcão,1969,reportagem,,,,,,,
,"Matéria sobre os ensaios de O Balcão de Victor Garcia, mas não chega a fazer o espetáculo. No Teatro Ruth Escobar.",,,Outros,,https://www.funarte.gov.br/acervo-sergio-britto-digital/teatro-esse-balcao-e-um-funil/,,Hemeroteca,,Teatro esse balcão é um funil,1969,reportagem,,,Gazeta,,,,
,"Matéria sobre a família comandada por Nicete Bruno na novela, ser um dos motivos do sucesso de Sangue do meu sangue.

Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivea Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/familia-garante-ibope/,Santos,Hemeroteca,,Família garante Ibope,1969,reportagem,,,Cidade de Santos,,,,
,"Matéria sobre Nathalia Timberg e seu papel na novela Sangue do meu sangue

Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivea Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/cultura-somente-com-dialogo-em-brasileiro/,São Paulo,Hemeroteca,,Cultura somente com  diálogo em brasileiro,1969,reportagem,,,Jornal da Tarde,,,,
,"Matéria sobre a volta de Armando Bogus a televisão na novela Sangue do meu sangue

Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivea Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/na-tv-volta/,,Hemeroteca,,Na TV volta,1969,reportagem,,,,,,,
,"Matéria sobre como uma idéia se transforma nos capítulos de uma novela

Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivea Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/sangue-do-meu-sangue-3/,São Paulo,Hemeroteca,,Sangue do meu sangue,1969,reportagem,,,Folha de São Paulo,,,,
,"Matéria sobre a entrada de Salomé Parisio, uma das damas do samba rebolado, como atriz na novela Sangue do meu sangue.
Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivea Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/saloome-parisio-seu-sangue-no-9/,,Hemeroteca,,"Saloomé Parisio, seu sangue no 9",1969,reportagem,,,,,,,
,"Matéria sobre a entrada de novos personagens na novela Sangue do meu sangue, um deles interpretado pelo ator Rodolfo Mayer.
Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivea Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/mais-gente-no-sangue/,,Hemeroteca,,Mais gente no sangue,1969,reportagem,,,,,,,
,"Matéria sobre a exigência da censura para que a novela Sangue do meu sangue mude de horário.

Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivea Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/por-ordem-da-censura-sangue-do-meu-sangue-muda-de-horario/,,Hemeroteca,,Por ordem da censura Sangue do meu sangue muda de horário,1969,reportagem,,,,,,,
Nelson Portella,Postal enviado de Milão por Nelson Portella para Sergio Britto.,Não,,Sergio Britto,Personalidade,https://www.funarte.gov.br/acervo-sergio-britto-digital/postal-nelson-portella/,Milão,Manuscrito,escrito,Postal Nelson Portella,1981,,,,,,,,
Sergio Britto,"Folha de rosto do álbum 18, referente ao ano de 1969. Na folha de rosto estão descritos os temas de todas as colagens presentes no álbum.",Não,,Novelas e Minisséries,Autor,https://www.funarte.gov.br/acervo-sergio-britto-digital/album-18/,São Paulo,Manuscrito,escrito,Álbum 18,1969,,,,,,,,
,"Novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus",,,Novelas e Minisséries,Ator | Diretor,https://www.funarte.gov.br/acervo-sergio-britto-digital/sangue-do-meu-sangue-2/,,Fotografia,,Sangue do meu sangue,1969,,"Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,,,,
,"Matéria sobre a alteração de horário da  novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/por-causa-da-censura-essa-novela-muda-de-horario/,,Hemeroteca,,Por causa da censura essa novela muda de horário,1969,reportagem,,,Popular da Tarde,,,,
Jeffeerson Del Rios,"Matéria sobre a carreira de Sergio Britto, destacando seus trabalhos de diretor, como na  novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/o-diretor-conta-a-historia-pela-imagem/,São Paulo,Hemeroteca,,O diretor conta a historia pela imagem,1969,reportagem,,,Folha de São Paulo,,,,
,"Matéria sobre a entrada de dois personagens na  novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/estreia-5/,,Hemeroteca,,Estréia,1969,reportagem,,,,,,,
,"Matéria sobre a retransmissão da  novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/o-cana-9-resume-hoje-sangue-do-meu-sangue/,,Hemeroteca,,O cana 9 resume hoje Sangue do meu sangue,1969,reportagem,,,Folha ilustrada,,,,
,"Matéria sobre a mudança de horário da novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/censura-muda-o-horario-de-sangue-do-meu-sangue/,,Hemeroteca,,Censura muda o horário de sangue do meu sangue,1969,reportagem,,,,,,,
,"Matéria sobre a novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/uma-festa-requintada-hoje-a-noite-no-nove/,,Hemeroteca,,Uma festa requintada hoje a noite no nove,1969,reportagem,,,,,,,
,"Matéria sobre o aniversário de sete anos de Elaine Leik, comemorados noos estúdios da novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/elaine-faz-anos/,São Paulo,Hemeroteca,,Elaine faz anos,1969,reportagem,,,A Gazeta Esportiva,,,,
,"Matéria sobre a novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/sao-tres-historias-em-sangue-do-meu-sangue/,,Hemeroteca,,São três histórias em sangue do meu sangue,1969,reportagem,,,A Gazeta,,,,
,"Matéria sobre a disputa romantica entre as personagens de Tônia Carrero e Nicete Bruno pelo personagem de Francisco Cuoco, na novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/televisao-tonia-x-nicete/,,Hemeroteca,,Televisão Tônia x Nicete,1969,reportagem,,,,,,,
,"Matéria com Peirão de Castro, que está no elenco da novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/peirao-de-castro-um-vigarista-de-primeira-classe-no-canal-9/,,Hemeroteca,,"Peirão de Castro, um vigarista de primeira classe, no Canal 9",1969,reportagem,,,Última Hora,,,,
,"Matéria com Tônia Carrero, que está no elenco da novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/tonia-carrero-a-principiante-em-telenovela/,São Paulo,Hemeroteca,,"Tonia Carrero, a principiante em telenovela",1969,reportagem,,,,,,,
Alberto Witkowski,"Matéria com Tônia Carrero, que está no elenco da novela Sangue do meu sangue escrita por Vicente Sesso, direção Sergio Britto, na TV Excelsior. 
Elenco Francisco Cuoco, Nivia Maria, Tonia Carrero, Edmundo Lopes, Sadi Cabral, Sergio Britto, Rodolfo Mayer, Aldo de Maio, Geraldo Louzano, Carminha Brandão, Fernanda Montenegro, Nicete Bruno, Henrique Martins, Armando Bogus e Salomé Parizio.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/imagem-e-som-tonia-tambem-aderiu/,Santos,Hemeroteca,,Imagem e som Tônia também aderiu,1969,reportagem,,,Cidade de Santos,,,,
,"Matéria sobre a volta do teleteatro com a montagem de A noite tudo encobre, de Emlyn Williams, direção Sergio Britto. 
Elenco Gianfrancesco Guarniere, Arlete Montenegro, Carminha Brandão, Serafim Gonzales, Gledi Marize, entre outros. Especial para a TV Excelsior.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/televisao-e-o-teleteatro-que-volta-por-cima/,,Hemeroteca,,Televisão é o teleteatro que volta por cima,1969,reportagem,,,,,,,
,"Matéria com foto de Arlete Montenegro e Gianfrancesco Guarnieri em A noite tudo encobre, de Emlyn Williams, direção Sergio Britto. 
Elenco Gianfrancesco Guarniere, Arlete Montenegro, Carminha Brandão, Serafim Gonzales, Gledi Marize, entre outros. Especial para a TV Excelsior.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/todos-os-domingos/,São Paulo,Hemeroteca,,Todos os domingos,1969,reportagem,,,Folha de São Paulo,,,,
,"Matéria sobre 	A noite tudo encobre, de Emlyn Williams, direção Sergio Britto. 
Elenco Gianfrancesco Guarniere, Arlete Montenegro, Carminha Brandão, Serafim Gonzales, Gledi Marize, entre outros. Especial para a TV Excelsior.",,,Novelas e Minisséries,,https://www.funarte.gov.br/acervo-sergio-britto-digital/barra-limpa-terror-e-suspense-no-estudio-9-2/,,Hemeroteca,,Barra limpa terror e suspense no Estúdio 9,1969,reportagem,,,,,,,
